# path	line_coverage_percent	note
quant/codebook.rs	98.15	Task 39 baseline raised by reviews/task-39/004-quant-careful-coverage
quant/grouped_pq.rs	94.72	Task 39 baseline raised by reviews/task-39/004-quant-careful-coverage
quant/hadamard.rs	92.70	Task 39 baseline raised by reviews/task-39/004-quant-careful-coverage
quant/mod.rs	100.00	Task 39 baseline raised by reviews/task-39/020-quant-family-coverage
quant/mse.rs	100.00	Task 39 baseline raised by reviews/task-39/004-quant-careful-coverage
quant/prod.rs	93.02	Task 39 baseline raised by reviews/task-39/004-quant-careful-coverage
quant/qjl.rs	100.00	Task 39 baseline raised by reviews/task-39/004-quant-careful-coverage
quant/rabitq.rs	81.43	Task 39 baseline raised by reviews/task-39/004-quant-careful-coverage
quant/rotation.rs	98.53	Task 39 baseline raised by reviews/task-39/004-quant-careful-coverage
quant/simd.rs	94.59	Task 39 baseline raised by reviews/task-39/005-simd-mutation-triage
storage/page.rs	97.90	Task 39 baseline raised by reviews/task-39/010-storage-page-coverage
storage/buffer_guard.rs	100.00	Task 39 baseline raised by reviews/task-39/025-storage-guard-coverage
storage/lock_guard.rs	100.00	Task 39 baseline raised by reviews/task-39/025-storage-guard-coverage
storage/relation_guard.rs	100.00	Task 39 baseline raised by reviews/task-39/025-storage-guard-coverage
storage/scan_guard.rs	95.83	Task 39 baseline raised by reviews/task-39/025-storage-guard-coverage
storage/slot_guard.rs	91.30	Task 39 baseline raised by reviews/task-39/025-storage-guard-coverage
storage/snapshot_guard.rs	82.93	Task 39 baseline raised by reviews/task-39/025-storage-guard-coverage
storage/spi_guard.rs	100.00	Task 39 baseline raised by reviews/task-39/025-storage-guard-coverage
am/ec_diskann/page.rs	97.35	Task 39 baseline raised by reviews/task-39/011-diskann-page-coverage
am/ec_hnsw/page.rs	84.76	Task 39 baseline raised by reviews/task-39/012-hnsw-page-coverage
am/ec_ivf/page.rs	95.86	Task 39 baseline raised by reviews/task-39/018-ivf-page-coverage
am/ec_spire/page.rs	0.00	Task 39 baseline from reviews/task-39/002-coverage-baseline
am/ec_spire/storage/assignment.rs	87.14	Task 39 baseline raised by reviews/task-39/021-spire-storage-codec-coverage
am/ec_spire/storage/header.rs	82.00	Task 39 baseline raised by reviews/task-39/021-spire-storage-codec-coverage
am/ec_spire/storage/helpers.rs	83.50	Task 39 baseline raised by reviews/task-39/021-spire-storage-codec-coverage
am/ec_spire/storage/leaf_v1.rs	97.70	Task 39 baseline raised by reviews/task-39/021-spire-storage-codec-coverage
am/ec_spire/storage/leaf_v2.rs	71.76	Task 39 baseline raised by reviews/task-39/021-spire-storage-codec-coverage
am/ec_spire/storage/leaf_v2_parts.rs	77.52	Task 39 baseline raised by reviews/task-39/021-spire-storage-codec-coverage
am/ec_spire/storage/local_store.rs	78.21	Task 39 baseline raised by reviews/task-39/021-spire-storage-codec-coverage
am/ec_spire/storage/local_store_set.rs	41.52	Task 39 baseline raised by reviews/task-39/021-spire-storage-codec-coverage
am/ec_spire/storage/relation_plan.rs	82.98	Task 39 baseline raised by reviews/task-39/022-spire-relation-plan-coverage
am/ec_spire/storage/relation_store.rs	0.00	Task 39 baseline from reviews/task-39/002-coverage-baseline
am/ec_spire/storage/routing_delta.rs	88.46	Task 39 baseline raised by reviews/task-39/021-spire-storage-codec-coverage
am/ec_spire/storage/top_graph.rs	90.32	Task 39 baseline raised by reviews/task-39/021-spire-storage-codec-coverage
am/ec_spire/storage/vec_id.rs	69.05	Task 39 baseline raised by reviews/task-39/021-spire-storage-codec-coverage
am/ec_spire/coordinator/diagnostics.rs	0.00	Task 39 baseline from reviews/task-39/002-coverage-baseline
am/ec_diskann/build.rs	96.69	Task 39 baseline raised by reviews/task-39/019-diskann-core-coverage
am/ec_diskann/routine.rs	0.00	Task 39 baseline from reviews/task-39/002-coverage-baseline
am/ec_diskann/scan.rs	96.95	Task 39 baseline raised by reviews/task-39/019-diskann-core-coverage
am/common/cost.rs	98.98	Task 39 baseline raised by reviews/task-39/015-planner-cost-mutation
