# Suite Report: task31-result-fixture

- config: `crates/ecaz-cli/suites/task31-m5-ivf-100k.json`
- config_sha256: `fixture`
- dry_run: `false`
- steps: completed 4, failed 0, skipped 0, dry-run 0, missing artifacts 0, stale 0

| Step | Kind | Status | Duration ms | Artifacts |
| --- | --- | --- | ---: | --- |
| load-fixture | load | Succeeded | 45760 | `review/30173-task31-m5-pqg8-100k-n128-w500-baseline/artifacts/load_real100k_pqg8_n128_w500_allow_manifest_mismatch.log` |
| recall-fixture | recall | Succeeded | 11000 | `review/30176-task31-m5-100k-candidate-repeatability/artifacts/recall10_repeat_real100k_pqg8_n128_p96_w500.log` |
| latency-fixture | latency | Succeeded | 10800 | `review/30176-task31-m5-100k-candidate-repeatability/artifacts/latency_repeat_real100k_pqg8_n128_p96_w500.log` |
| storage-fixture | storage | Succeeded | 1000 | `review/30173-task31-m5-pqg8-100k-n128-w500-baseline/artifacts/storage_real100k_pqg8_n128.log` |

## Parsed Results

| Step | Kind | Metric | Values |
| --- | --- | --- | --- |
| load-fixture | load | load_timing | `phase=copy_corpus`, `seconds=15.020000`, `subject=task31_m5_real100k_pqg8_n128_corpus` |
| load-fixture | load | load_timing | `phase=encode_corpus`, `seconds=5.890000`, `subject=task31_m5_real100k_pqg8_n128_corpus` |
| load-fixture | load | load_timing | `phase=copy_queries`, `seconds=0.183480`, `subject=task31_m5_real100k_pqg8_n128_queries` |
| load-fixture | load | load_timing | `phase=build_index`, `seconds=18.690000`, `subject=task31_m5_real100k_pqg8_n128_idx` |
| load-fixture | load | load_timing | `phase=total`, `seconds=45.760000`, `subject=task31_m5_real100k_pqg8_n128` |
| recall-fixture | recall | recall | `mean q-time=11.00 ms`, `ndcg@k=0.9997`, `nprobe=96`, `recall@k=0.9980` |
| latency-fixture | latency | latency | `count=100`, `hwm_peak_kb=0`, `max=15.5 ms`, `mean=10.8 ms`, `memory_samples=0`, `min=9.51 ms`, `nprobe=96`, `p50=10.8 ms`, `p95=11.4 ms`, `p99=11.9 ms`, `rss_peak_kb=0`, `stddev=0.63 ms` |
| storage-fixture | storage | storage_field | `field=prefix`, `value=task31_m5_real100k_pqg8_n128` |
| storage-fixture | storage | storage_field | `field=corpus`, `value=task31_m5_real100k_pqg8_n128_corpus` |
| storage-fixture | storage | storage_field | `field=rows`, `value=100000` |
| storage-fixture | storage | storage_field | `field=heap`, `value=13.0 MiB` |
| storage-fixture | storage | storage_field | `field=table (heap + toast + fsm/vm)`, `value=1.6 GiB` |
| storage-fixture | storage | storage_field | `field=indexes`, `value=23.7 MiB` |
| storage-fixture | storage | storage_field | `field=total`, `value=1.6 GiB` |
| storage-fixture | storage | storage_field | `field=per row (total)`, `value=16954.8 B` |
| storage-fixture | storage | storage_field | `field=per row (heap only)`, `value=136.8 B` |
| storage-fixture | storage | storage_index | `access method=ec_ivf`, `index=task31_m5_real100k_pqg8_n128_idx`, `per row=202.9 B`, `profile=ec_ivf`, `reloptions={storage_format=pq_fastscan,pq_group_size=8,nlists=128,nprobe=48,rerank=heap_f32,rerank_width=500}`, `size=19.4 MiB` |
| storage-fixture | storage | storage_index | `access method=btree`, `index=task31_m5_real100k_pqg8_n128_corpus_pkey`, `per row=45.1 B`, `profile=<unknown>`, `reloptions={}`, `size=4.3 MiB` |
wrote review/30180-task31-suite-runner-auto-mode/artifacts/results.jsonl
