# Suite Report: task101-hnsw-exact-mode-counter-suite

- config: `reviews/task-101/002-hnsw-exact-mode-counter-evidence/artifacts/task101-hnsw-exact-mode-counter-suite.json`
- config_sha256: `9e301364546786fc0914947dc2b2077962d91a9dc7b9fca50e6594d82f913133`
- dry_run: `false`
- steps: completed 15, failed 0, skipped 0, dry-run 0, missing artifacts 0, stale 0

| Step | Kind | Status | Duration ms | Artifacts |
| --- | --- | --- | ---: | --- |
| generate-hnsw-tq-1k-corpus | raw | Succeeded | 801 | `reviews/task-101/002-hnsw-exact-mode-counter-evidence/artifacts/task101_hnsw_tq_1k_corpus.tsv` |
| generate-hnsw-tq-1k-queries | raw | Succeeded | 60 | `reviews/task-101/002-hnsw-exact-mode-counter-evidence/artifacts/task101_hnsw_tq_1k_queries.tsv` |
| load-hnsw-tq-1k | load | Succeeded | 2633 | `reviews/task-101/002-hnsw-exact-mode-counter-evidence/artifacts/load-hnsw-tq-1k.log` |
| recall-full_lut-1k-kernel-on | recall | Succeeded | 3418 | `reviews/task-101/002-hnsw-exact-mode-counter-evidence/artifacts/recall-full_lut-1k-kernel-on.log` |
| latency-full_lut-1k-kernel-on | latency | Succeeded | 728 | `reviews/task-101/002-hnsw-exact-mode-counter-evidence/artifacts/latency-full_lut-1k-kernel-on.log` |
| recall-full_lut-1k-kernel-off | recall | Succeeded | 2420 | `reviews/task-101/002-hnsw-exact-mode-counter-evidence/artifacts/recall-full_lut-1k-kernel-off.log` |
| latency-full_lut-1k-kernel-off | latency | Succeeded | 273 | `reviews/task-101/002-hnsw-exact-mode-counter-evidence/artifacts/latency-full_lut-1k-kernel-off.log` |
| recall-tiled_lut-1k-kernel-on | recall | Succeeded | 2450 | `reviews/task-101/002-hnsw-exact-mode-counter-evidence/artifacts/recall-tiled_lut-1k-kernel-on.log` |
| latency-tiled_lut-1k-kernel-on | latency | Succeeded | 334 | `reviews/task-101/002-hnsw-exact-mode-counter-evidence/artifacts/latency-tiled_lut-1k-kernel-on.log` |
| recall-tiled_lut-1k-kernel-off | recall | Succeeded | 2362 | `reviews/task-101/002-hnsw-exact-mode-counter-evidence/artifacts/recall-tiled_lut-1k-kernel-off.log` |
| latency-tiled_lut-1k-kernel-off | latency | Succeeded | 283 | `reviews/task-101/002-hnsw-exact-mode-counter-evidence/artifacts/latency-tiled_lut-1k-kernel-off.log` |
| recall-int8_approx-1k-kernel-on | recall | Succeeded | 2289 | `reviews/task-101/002-hnsw-exact-mode-counter-evidence/artifacts/recall-int8_approx-1k-kernel-on.log` |
| latency-int8_approx-1k-kernel-on | latency | Succeeded | 263 | `reviews/task-101/002-hnsw-exact-mode-counter-evidence/artifacts/latency-int8_approx-1k-kernel-on.log` |
| recall-int8_approx-1k-kernel-off | recall | Succeeded | 2260 | `reviews/task-101/002-hnsw-exact-mode-counter-evidence/artifacts/recall-int8_approx-1k-kernel-off.log` |
| latency-int8_approx-1k-kernel-off | latency | Succeeded | 248 | `reviews/task-101/002-hnsw-exact-mode-counter-evidence/artifacts/latency-int8_approx-1k-kernel-off.log` |

## Parsed Results

| Step | Kind | Metric | Values |
| --- | --- | --- | --- |
| load-hnsw-tq-1k | load | load_timing | `phase=copy_corpus`, `prefix=task101_hnsw_tq_1k`, `profile=ec_hnsw`, `quant=turboquant`, `seconds=0.827450`, `storage_format=turboquant`, `subject=task101_hnsw_tq_1k_corpus`, `suite_database=tqvector_task101`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-hnsw-tq-1k | load | load_timing | `phase=encode_corpus`, `prefix=task101_hnsw_tq_1k`, `profile=ec_hnsw`, `quant=turboquant`, `seconds=0.272090`, `storage_format=turboquant`, `subject=task101_hnsw_tq_1k_corpus`, `suite_database=tqvector_task101`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-hnsw-tq-1k | load | load_timing | `phase=copy_queries`, `prefix=task101_hnsw_tq_1k`, `profile=ec_hnsw`, `quant=turboquant`, `seconds=0.076990`, `storage_format=turboquant`, `subject=task101_hnsw_tq_1k_queries`, `suite_database=tqvector_task101`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-hnsw-tq-1k | load | load_timing | `phase=build_index`, `prefix=task101_hnsw_tq_1k`, `profile=ec_hnsw`, `quant=turboquant`, `seconds=0.263490`, `storage_format=turboquant`, `subject=task101_hnsw_tq_1k_turboquant_m16_idx`, `suite_database=tqvector_task101`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-hnsw-tq-1k | load | load_timing | `phase=total`, `prefix=task101_hnsw_tq_1k`, `profile=ec_hnsw`, `quant=turboquant`, `seconds=2.620000`, `storage_format=turboquant`, `subject=task101_hnsw_tq_1k`, `suite_database=tqvector_task101`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-full_lut-1k-kernel-on | recall | recall | `ef_search=80`, `mean q-time=18.64 ms`, `ndcg@k=0.9872`, `prefix=task101_hnsw_tq_1k`, `profile=ec_hnsw`, `quant=turboquant`, `queries=64`, `recall@k=0.8375`, `recall_ci95_high=0.8641`, `recall_ci95_low=0.8069`, `recall_p10=0.7000`, `recall_p50=0.9000`, `recall_p90=0.9000`, `recall_trials=640`, `recall_worst=0.6000`, `storage_format=turboquant`, `suite_database=tqvector_task101`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-full_lut-1k-kernel-on | latency | latency | `cache_state=task101_full_lut_1k_on`, `count=32`, `ef_search=80`, `max=26.0 ms`, `mean=18.7 ms`, `min=16.9 ms`, `p50=18.1 ms`, `p95=24.7 ms`, `p99=25.9 ms`, `prefix=task101_hnsw_tq_1k`, `profile=ec_hnsw`, `quant=turboquant`, `stddev=2.21 ms`, `storage_format=turboquant`, `suite_database=tqvector_task101`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-full_lut-1k-kernel-on | latency | block_kernel_counters | `cache_state=task101_full_lut_1k_on`, `candidates=27868`, `command=latency`, `elapsed_ms=459.435287`, `elapsed_nanos=459435287`, `flushes=13321`, `isa=scalar`, `kernel_candidates=64`, `kernel_elapsed_ms=0.065163`, `kernel_elapsed_nanos=65163`, `kernel_flushes=2`, `label=ef_search=80`, `prefix=task101_hnsw_tq_1k`, `profile=ec_hnsw`, `quant=turboquant`, `scalar_candidates=27804`, `scalar_elapsed_ms=459.370124`, `scalar_elapsed_nanos=459370124`, `scalar_flushes=13319`, `storage_format=turboquant`, `suite_database=tqvector_task101`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `surface=hnsw` |
| recall-full_lut-1k-kernel-off | recall | recall | `ef_search=80`, `mean q-time=4.78 ms`, `ndcg@k=0.9872`, `prefix=task101_hnsw_tq_1k`, `profile=ec_hnsw`, `quant=turboquant`, `queries=64`, `recall@k=0.8375`, `recall_ci95_high=0.8641`, `recall_ci95_low=0.8069`, `recall_p10=0.7000`, `recall_p50=0.9000`, `recall_p90=0.9000`, `recall_trials=640`, `recall_worst=0.6000`, `storage_format=turboquant`, `suite_database=tqvector_task101`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
