# Suite Report: task94-width-latency-rerun

- config: `reviews/task-94/027-latency-width-rerun/artifacts/task94-width-latency-rerun-suite.json`
- config_sha256: `7ba3c426b9438063c2e9f1a776801b779ad47ae7f9bb463d6865709f08417e44`
- dry_run: `false`
- steps: completed 2, failed 0, skipped 0, dry-run 0, missing artifacts 0, stale 0

| Step | Kind | Status | Duration ms | Artifacts |
| --- | --- | --- | ---: | --- |
| latency-ivf-pqfastscan-10k-batch-on | latency | Succeeded | 3627 | `reviews/task-94/027-latency-width-rerun/artifacts/latency-ivf-pqfastscan-10k-batch-on.log` |
| latency-diskann-pqfastscan-50k-grouped-pq | latency | Succeeded | 5276 | `reviews/task-94/027-latency-width-rerun/artifacts/latency-diskann-pqfastscan-50k-grouped-pq.log` |

## Parsed Results

| Step | Kind | Metric | Values |
| --- | --- | --- | --- |
| latency-ivf-pqfastscan-10k-batch-on | latency | latency | `cache_state=task94_width_rerun_10k_batch_on`, `count=500`, `isa=avx2`, `max=6.46 ms`, `mean=2.72 ms`, `min=2.31 ms`, `nprobe=32`, `p50=2.70 ms`, `p95=2.93 ms`, `p99=3.23 ms`, `prefix=task94_local_pqfs10k_roff`, `profile=ec_ivf`, `quant=grouped_pq`, `stddev=0.24 ms`, `storage_format=pq_fastscan`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-ivf-pqfastscan-10k-batch-on | latency | latency | `cache_state=task94_width_rerun_10k_batch_on`, `count=500`, `isa=avx2`, `max=8.08 ms`, `mean=4.15 ms`, `min=3.86 ms`, `nprobe=64`, `p50=4.10 ms`, `p95=4.46 ms`, `p99=4.68 ms`, `prefix=task94_local_pqfs10k_roff`, `profile=ec_ivf`, `quant=grouped_pq`, `stddev=0.24 ms`, `storage_format=pq_fastscan`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-ivf-pqfastscan-10k-batch-on | latency | block_kernel_counters | `cache_state=task94_width_rerun_10k_batch_on`, `candidates=2409055`, `command=latency`, `elapsed_ms=377.323722`, `elapsed_nanos=377323722`, `flushes=9680`, `isa=avx2`, `kernel_candidates=2409055`, `kernel_elapsed_ms=377.323722`, `kernel_elapsed_nanos=377323722`, `kernel_flushes=9680`, `label=nprobe=32`, `prefix=task94_local_pqfs10k_roff`, `profile=ec_ivf`, `quant=grouped_pq`, `scalar_candidates=0`, `scalar_elapsed_ms=0.000000`, `scalar_elapsed_nanos=0`, `scalar_flushes=0`, `storage_format=pq_fastscan`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `surface=ivf`, `width_16_31=40`, `width_8_15=20`, `width_ge32=9605`, `width_lt8=15` |
| latency-ivf-pqfastscan-10k-batch-on | latency | block_kernel_counters | `cache_state=task94_width_rerun_10k_batch_on`, `candidates=5000000`, `command=latency`, `elapsed_ms=778.138742`, `elapsed_nanos=778138742`, `flushes=20000`, `isa=avx2`, `kernel_candidates=5000000`, `kernel_elapsed_ms=778.138742`, `kernel_elapsed_nanos=778138742`, `kernel_flushes=20000`, `label=nprobe=64`, `prefix=task94_local_pqfs10k_roff`, `profile=ec_ivf`, `quant=grouped_pq`, `scalar_candidates=0`, `scalar_elapsed_ms=0.000000`, `scalar_elapsed_nanos=0`, `scalar_flushes=0`, `storage_format=pq_fastscan`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `surface=ivf`, `width_16_31=500`, `width_8_15=0`, `width_ge32=19500`, `width_lt8=0` |
| latency-diskann-pqfastscan-50k-grouped-pq | latency | latency | `cache_state=task94_width_rerun_diskann_50k_grouped_pq`, `count=120`, `isa=avx2`, `list_size=64`, `max=23.2 ms`, `mean=15.5 ms`, `min=14.3 ms`, `p50=15.3 ms`, `p95=16.9 ms`, `p99=18.8 ms`, `prefix=task67_local_fullq_50k_diskann`, `profile=ec_diskann`, `quant=grouped_pq`, `stddev=0.99 ms`, `storage_format=pq_fastscan`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-diskann-pqfastscan-50k-grouped-pq | latency | latency | `cache_state=task94_width_rerun_diskann_50k_grouped_pq`, `count=120`, `isa=avx2`, `list_size=128`, `max=24.3 ms`, `mean=15.6 ms`, `min=14.5 ms`, `p50=15.5 ms`, `p95=16.6 ms`, `p99=18.5 ms`, `prefix=task67_local_fullq_50k_diskann`, `profile=ec_diskann`, `quant=grouped_pq`, `stddev=0.97 ms`, `storage_format=pq_fastscan`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-diskann-pqfastscan-50k-grouped-pq | latency | block_kernel_counters | `cache_state=task94_width_rerun_diskann_50k_grouped_pq`, `candidates=151458`, `command=latency`, `elapsed_ms=23.374684`, `elapsed_nanos=23374684`, `flushes=8575`, `isa=avx2`, `kernel_candidates=151458`, `kernel_elapsed_ms=23.374684`, `kernel_elapsed_nanos=23374684`, `kernel_flushes=8575`, `label=list_size=64`, `prefix=task67_local_fullq_50k_diskann`, `profile=ec_diskann`, `quant=grouped_pq`, `scalar_candidates=0`, `scalar_elapsed_ms=0.000000`, `scalar_elapsed_nanos=0`, `scalar_flushes=0`, `storage_format=pq_fastscan`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `surface=diskann`, `width_16_31=4873`, `width_8_15=2531`, `width_ge32=201`, `width_lt8=970` |
| latency-diskann-pqfastscan-50k-grouped-pq | latency | block_kernel_counters | `cache_state=task94_width_rerun_diskann_50k_grouped_pq`, `candidates=246852`, `command=latency`, `elapsed_ms=42.896912`, `elapsed_nanos=42896912`, `flushes=16019`, `isa=avx2`, `kernel_candidates=246852`, `kernel_elapsed_ms=42.896912`, `kernel_elapsed_nanos=42896912`, `kernel_flushes=16019`, `label=list_size=128`, `prefix=task67_local_fullq_50k_diskann`, `profile=ec_diskann`, `quant=grouped_pq`, `scalar_candidates=0`, `scalar_elapsed_ms=0.000000`, `scalar_elapsed_nanos=0`, `scalar_flushes=0`, `storage_format=pq_fastscan`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `surface=diskann`, `width_16_31=7515`, `width_8_15=5295`, `width_ge32=206`, `width_lt8=3003` |
wrote reviews/task-94/027-latency-width-rerun/artifacts/results-report.jsonl
