# Suite Report: task102-diskann-tq

- config: `reviews/task-102/002-neon-repack-diskann-tq-batching/artifacts/task102-diskann-tq-suite.json`
- config_sha256: `cc8fe8c49b739e0f9c0949d9c5e0763502d093bf7e184455adb350010596bdcd`
- dry_run: `false`
- steps: completed 7, failed 0, skipped 0, dry-run 0, missing artifacts 0, stale 0

| Step | Kind | Status | Duration ms | Artifacts |
| --- | --- | --- | ---: | --- |
| generate-diskann-tq-2k-corpus | raw | Succeeded | 1551 | `reviews/task-102/002-neon-repack-diskann-tq-batching/artifacts/task102_diskann_tq_2k_corpus.tsv` |
| generate-diskann-tq-2k-queries | raw | Succeeded | 58 | `reviews/task-102/002-neon-repack-diskann-tq-batching/artifacts/task102_diskann_tq_2k_queries.tsv` |
| load-diskann-tq-2k | load | Succeeded | 10943 | `reviews/task-102/002-neon-repack-diskann-tq-batching/artifacts/load-diskann-tq-2k.log` |
| recall-diskann-tq-2k-kernel-on | recall | Succeeded | 4476 | `reviews/task-102/002-neon-repack-diskann-tq-batching/artifacts/recall-diskann-tq-2k-kernel-on.log` |
| recall-diskann-tq-2k-kernel-off | recall | Succeeded | 4236 | `reviews/task-102/002-neon-repack-diskann-tq-batching/artifacts/recall-diskann-tq-2k-kernel-off.log` |
| latency-diskann-tq-2k-kernel-on | latency | Succeeded | 1857 | `reviews/task-102/002-neon-repack-diskann-tq-batching/artifacts/latency-diskann-tq-2k-kernel-on.log` |
| latency-diskann-tq-2k-kernel-off | latency | Succeeded | 2527 | `reviews/task-102/002-neon-repack-diskann-tq-batching/artifacts/latency-diskann-tq-2k-kernel-off.log` |

## Parsed Results

| Step | Kind | Metric | Values |
| --- | --- | --- | --- |
| load-diskann-tq-2k | load | load_timing | `phase=copy_corpus`, `prefix=task102_diskann_tq_2k`, `profile=ec_diskann`, `quant=turboquant`, `seconds=1.580000`, `storage_format=turboquant`, `subject=task102_diskann_tq_2k_corpus`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-diskann-tq-2k | load | load_timing | `phase=encode_corpus`, `prefix=task102_diskann_tq_2k`, `profile=ec_diskann`, `quant=turboquant`, `seconds=0.538630`, `storage_format=turboquant`, `subject=task102_diskann_tq_2k_corpus`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-diskann-tq-2k | load | load_timing | `phase=copy_queries`, `prefix=task102_diskann_tq_2k`, `profile=ec_diskann`, `quant=turboquant`, `seconds=0.081380`, `storage_format=turboquant`, `subject=task102_diskann_tq_2k_queries`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-diskann-tq-2k | load | load_timing | `phase=build_index`, `prefix=task102_diskann_tq_2k`, `profile=ec_diskann`, `quant=turboquant`, `seconds=6.500000`, `storage_format=turboquant`, `subject=task102_diskann_tq_2k_turboquant_idx`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-diskann-tq-2k | load | load_timing | `phase=total`, `prefix=task102_diskann_tq_2k`, `profile=ec_diskann`, `quant=turboquant`, `seconds=10.930000`, `storage_format=turboquant`, `subject=task102_diskann_tq_2k`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-diskann-tq-2k-kernel-on | recall | recall | `isa=avx2`, `list_size=64`, `mean q-time=4.48 ms`, `ndcg@k=0.9726`, `prefix=task102_diskann_tq_2k`, `profile=ec_diskann`, `quant=turboquant`, `queries=64`, `recall@k=0.7516`, `recall_ci95_high=0.7835`, `recall_ci95_low=0.7167`, `recall_p10=0.6000`, `recall_p50=0.8000`, `recall_p90=0.9000`, `recall_trials=640`, `recall_worst=0.5000`, `storage_format=turboquant`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-diskann-tq-2k-kernel-off | recall | recall | `list_size=64`, `mean q-time=5.51 ms`, `ndcg@k=0.9726`, `prefix=task102_diskann_tq_2k`, `profile=ec_diskann`, `quant=turboquant`, `queries=64`, `recall@k=0.7516`, `recall_ci95_high=0.7835`, `recall_ci95_low=0.7167`, `recall_p10=0.6000`, `recall_p50=0.8000`, `recall_p90=0.9000`, `recall_trials=640`, `recall_worst=0.5000`, `storage_format=turboquant`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-diskann-tq-2k-kernel-on | latency | latency | `cache_state=task102_diskann_tq_2k_on`, `count=200`, `isa=avx2`, `list_size=64`, `max=8.39 ms`, `mean=4.08 ms`, `min=3.81 ms`, `p50=4.01 ms`, `p95=4.40 ms`, `p99=4.81 ms`, `prefix=task102_diskann_tq_2k`, `profile=ec_diskann`, `quant=turboquant`, `stddev=0.36 ms`, `storage_format=turboquant`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-diskann-tq-2k-kernel-on | latency | latency | `cache_state=task102_diskann_tq_2k_on`, `count=200`, `isa=avx2`, `list_size=128`, `max=8.69 ms`, `mean=4.53 ms`, `min=4.31 ms`, `p50=4.47 ms`, `p95=4.80 ms`, `p99=5.03 ms`, `prefix=task102_diskann_tq_2k`, `profile=ec_diskann`, `quant=turboquant`, `stddev=0.33 ms`, `storage_format=turboquant`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
