# Suite Report: task106-intel-ivf-rabitq-multibit

- config: `reviews/task-106/002-intel-avx2-bench/task106-intel-ivf-rabitq-multibit.json`
- config_sha256: `62bdb3fae7d12b5d3129f3bcb983c132de6871d7985f7fd6d3cbf931fd735e97`
- dry_run: `false`
- steps: completed 8, failed 0, skipped 0, dry-run 0, missing artifacts 0, stale 0

| Step | Kind | Status | Duration ms | Artifacts |
| --- | --- | --- | ---: | --- |
| load-ivf-rb1 | load | Succeeded | 10319 | `reviews/task-106/002-intel-avx2-bench/artifacts/suite/load-ivf-rb1.log` |
| latency-ivf-rb1 | latency | Succeeded | 620 | `reviews/task-106/002-intel-avx2-bench/artifacts/suite/latency-ivf-rb1.log` |
| load-ivf-rb2 | load | Succeeded | 9851 | `reviews/task-106/002-intel-avx2-bench/artifacts/suite/load-ivf-rb2.log` |
| latency-ivf-rb2 | latency | Succeeded | 1844 | `reviews/task-106/002-intel-avx2-bench/artifacts/suite/latency-ivf-rb2.log` |
| load-ivf-rb4 | load | Succeeded | 9187 | `reviews/task-106/002-intel-avx2-bench/artifacts/suite/load-ivf-rb4.log` |
| latency-ivf-rb4 | latency | Succeeded | 828 | `reviews/task-106/002-intel-avx2-bench/artifacts/suite/latency-ivf-rb4.log` |
| load-ivf-rb8 | load | Succeeded | 9228 | `reviews/task-106/002-intel-avx2-bench/artifacts/suite/load-ivf-rb8.log` |
| latency-ivf-rb8 | latency | Succeeded | 741 | `reviews/task-106/002-intel-avx2-bench/artifacts/suite/latency-ivf-rb8.log` |

## Parsed Results

| Step | Kind | Metric | Values |
| --- | --- | --- | --- |
| load-ivf-rb1 | load | load_timing | `phase=copy_corpus`, `prefix=task106_intel_ivf_rb1`, `profile=ec_ivf`, `quant=rabitq`, `seconds=4.130000`, `storage_format=rabitq`, `subject=task106_intel_ivf_rb1_corpus`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-ivf-rb1 | load | load_timing | `phase=encode_corpus`, `prefix=task106_intel_ivf_rb1`, `profile=ec_ivf`, `quant=rabitq`, `seconds=3.750000`, `storage_format=rabitq`, `subject=task106_intel_ivf_rb1_corpus`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-ivf-rb1 | load | load_timing | `phase=copy_queries`, `prefix=task106_intel_ivf_rb1`, `profile=ec_ivf`, `quant=rabitq`, `seconds=0.100780`, `storage_format=rabitq`, `subject=task106_intel_ivf_rb1_queries`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-ivf-rb1 | load | load_timing | `phase=build_index`, `prefix=task106_intel_ivf_rb1`, `profile=ec_ivf`, `quant=rabitq`, `seconds=1.150000`, `storage_format=rabitq`, `subject=task106_intel_ivf_rb1_rabitq_idx`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-ivf-rb1 | load | load_timing | `phase=total`, `prefix=task106_intel_ivf_rb1`, `profile=ec_ivf`, `quant=rabitq`, `seconds=10.310000`, `storage_format=rabitq`, `subject=task106_intel_ivf_rb1`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-ivf-rb1 | latency | latency | `cache_state=unspecified`, `count=200`, `isa=avx2`, `max=4.38 ms`, `mean=1.64 ms`, `min=1.40 ms`, `nprobe=16`, `p50=1.61 ms`, `p95=1.87 ms`, `p99=2.02 ms`, `prefix=task106_intel_ivf_rb1`, `profile=ec_ivf`, `quant=rabitq`, `stddev=0.23 ms`, `storage_format=rabitq`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-ivf-rb1 | latency | block_kernel_counters | `candidates=530088`, `command=latency`, `elapsed_ms=38.775569`, `elapsed_nanos=38775569`, `flushes=2163`, `isa=avx2`, `kernel_candidates=530088`, `kernel_elapsed_ms=38.775569`, `kernel_elapsed_nanos=38775569`, `kernel_flushes=2163`, `label=nprobe=16`, `prefix=task106_intel_ivf_rb1`, `profile=ec_ivf`, `quant=rabitq`, `scalar_candidates=0`, `scalar_elapsed_ms=0.000000`, `scalar_elapsed_nanos=0`, `scalar_flushes=0`, `storage_format=rabitq`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `surface=ivf`, `width_16_31=6`, `width_8_15=5`, `width_ge32=2148`, `width_lt8=4` |
| load-ivf-rb2 | load | load_timing | `phase=copy_corpus`, `prefix=task106_intel_ivf_rb2`, `profile=ec_ivf`, `quant=rabitq`, `seconds=4.610000`, `storage_format=rabitq`, `subject=task106_intel_ivf_rb2_corpus`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-ivf-rb2 | load | load_timing | `phase=encode_corpus`, `prefix=task106_intel_ivf_rb2`, `profile=ec_ivf`, `quant=rabitq`, `seconds=2.790000`, `storage_format=rabitq`, `subject=task106_intel_ivf_rb2_corpus`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
