0	[-0.000066,0.000164,-0.230716,-0.006113,0.150041,0.227869,-0.122342,0.056721,0.136207,0.134362,-0.096064,0.202420,-0.026705,-0.046575,-0.109778,0.237619,-0.123457,-0.158852,-0.170688,0.029179,-0.018833,0.132152,0.053561,-0.026356,0.003592,-0.087164,-0.158866,-0.086256,-0.010503,-0.012655,0.065406,0.172011,-0.090805,0.059011,0.052899,0.211706,0.000837,0.078097,-0.004280,-0.060209,-0.102084,-0.195548,-0.103640,-0.111480,0.019170,0.213579,0.133319,-0.034560,-0.037199,0.184069,-0.097368,-0.057675,0.175526,-0.245230,0.179995,-0.075927,-0.021400,0.319947,0.169218,0.034045,0.010770,-0.062662,0.067845,0.072956]
1	[0.180452,-0.119881,0.199381,0.128306,0.151626,-0.231900,0.116122,-0.063815,-0.085185,0.216100,0.134135,-0.011041,0.247352,-0.032948,0.013112,-0.093251,0.082291,-0.027472,0.162494,0.047329,-0.024389,0.016821,0.016351,0.029790,-0.034372,0.080905,-0.042695,0.108342,-0.206973,0.005073,-0.089464,0.170615,-0.273643,0.016183,-0.067803,0.147786,0.021098,0.018640,0.020348,0.127823,-0.088227,-0.187610,-0.031000,0.170241,0.078373,0.186849,-0.053724,0.193881,0.058874,0.105016,-0.004398,0.101896,-0.059772,0.094194,0.014590,0.235248,-0.169047,0.083575,0.019062,0.037021,-0.256777,-0.034163,0.194136,-0.106242]
2	[0.041297,0.240996,0.084457,0.088877,0.020819,0.060193,0.082807,-0.165488,-0.137928,0.059209,-0.105685,0.039374,0.035837,-0.121619,0.126189,0.159396,0.008473,0.221401,0.113596,-0.013625,0.200734,-0.105692,-0.071849,0.065840,0.071599,-0.058770,0.054546,-0.022928,-0.328473,0.017435,0.067136,0.122734,0.034083,0.287933,-0.022900,-0.082128,-0.065299,-0.061820,0.123007,0.096929,0.153644,0.056139,0.285290,-0.027520,0.042905,0.013164,-0.012268,0.146426,0.007065,-0.149102,0.080164,-0.080428,0.007704,-0.334292,0.030957,-0.159786,-0.104234,0.037417,0.002602,0.196725,-0.003283,-0.074779,-0.101222,-0.185682]
3	[-0.014359,0.003159,-0.028753,0.052800,0.055205,0.193078,0.201999,0.157381,-0.246343,-0.082670,-0.005282,0.017921,0.080049,0.121024,-0.114335,-0.080253,-0.114621,0.041681,0.127300,-0.088040,-0.105356,0.182081,0.277143,0.081971,0.037144,-0.231573,-0.084703,0.021628,0.020897,-0.110293,-0.016166,0.015383,-0.145708,-0.036798,-0.018938,-0.071294,-0.126601,0.008034,-0.051744,-0.084592,-0.072744,-0.263346,-0.233929,0.044676,0.050570,-0.079220,-0.193386,-0.097053,-0.100579,-0.231738,-0.166872,0.002395,-0.117421,-0.052769,0.045296,-0.196353,-0.194122,0.021968,-0.004188,-0.000999,-0.304492,0.064161,0.034511,0.115989]
4	[0.012418,0.126499,0.168276,0.023685,0.032261,-0.103484,-0.027368,-0.053101,0.019981,0.093586,0.095423,-0.143935,0.026710,0.291016,0.270755,0.021171,0.111396,0.069466,0.013866,-0.042846,-0.017779,-0.003646,-0.096134,-0.262953,-0.180169,-0.114521,-0.142552,-0.039837,-0.023407,0.037933,0.063161,0.092047,0.070518,0.092447,-0.021557,-0.124546,0.054138,-0.067177,-0.190794,-0.018570,0.162049,0.056095,0.194161,-0.060139,-0.015874,0.046509,-0.225655,0.025590,0.186010,-0.122178,-0.044601,0.116704,-0.087223,0.277416,0.192008,-0.106284,0.053265,0.086235,-0.097561,-0.293498,-0.090107,-0.001266,0.020081,-0.225553]
5	[-0.111763,-0.042258,0.145923,0.127607,0.067176,-0.030025,-0.124448,0.109894,0.047242,-0.078481,0.086282,0.308588,-0.052822,0.016088,0.256416,-0.121631,0.093587,-0.033510,0.060766,0.012806,0.165049,-0.306166,0.065444,0.025575,-0.093889,-0.352942,-0.101871,0.029491,-0.169790,0.005131,0.113713,-0.033952,-0.033798,0.038275,0.028322,0.115365,-0.057631,0.084426,0.115712,0.081300,-0.066721,-0.125118,-0.081263,0.045391,0.143507,-0.220154,0.051478,-0.100252,-0.035994,0.026868,0.063126,-0.081419,-0.038367,-0.032039,0.159917,0.049329,-0.004211,0.350636,0.126312,-0.160828,0.039475,-0.082283,0.137407,0.021490]
6	[0.083242,0.046257,-0.207072,-0.108119,-0.092434,-0.216677,0.091016,0.142754,-0.268786,0.122928,0.038476,0.144528,0.000279,0.058752,0.086520,-0.115312,-0.034897,0.223551,0.106290,-0.037968,-0.114709,0.030594,-0.063000,-0.188912,0.098196,0.197719,-0.041420,-0.231177,-0.044280,0.002701,0.014755,-0.041372,0.028985,-0.025183,-0.141934,0.130586,0.077008,0.058980,0.045666,0.137630,0.135449,-0.044116,-0.003193,-0.063397,0.074275,0.042000,-0.079911,-0.203079,-0.219001,-0.112807,-0.327969,0.081619,-0.085106,-0.056341,-0.106337,-0.070180,-0.080217,0.173651,0.144516,-0.042591,0.070515,0.260793,-0.000614,0.102946]
7	[0.054331,0.045140,0.160591,0.089165,0.232051,-0.172832,0.243750,-0.009643,0.325842,-0.044105,0.082798,-0.044642,0.196570,-0.041116,0.034118,0.030231,0.012873,-0.151003,0.051031,-0.226139,0.058186,0.220921,0.238312,-0.094954,-0.065355,0.163383,0.068184,-0.095694,0.009510,0.117958,-0.016448,0.156140,0.015414,0.106507,0.132172,-0.074955,0.086877,0.018168,-0.216245,0.013996,0.079753,-0.003054,-0.028371,0.034235,0.048897,-0.036865,0.090393,0.027063,0.060453,0.022438,0.212895,-0.110993,0.132674,-0.138954,-0.268173,0.114892,0.129862,-0.195460,0.044023,0.029942,0.069290,0.110581,0.102057,-0.029155]
8	[0.086716,0.338801,0.149602,-0.056326,0.061438,0.011012,0.121579,-0.000875,0.063190,0.082007,0.098959,0.093192,0.147831,-0.065552,0.032357,0.215283,-0.120221,-0.056228,0.120573,0.061000,0.086054,-0.041287,-0.180927,-0.087026,-0.080980,0.025169,0.026240,-0.223695,0.074949,-0.067255,-0.248206,0.026883,0.168811,0.006073,-0.124953,-0.056509,0.065527,-0.067681,-0.140172,0.210628,0.064582,-0.148919,-0.016044,0.210883,0.156498,-0.041352,0.136898,0.061925,0.079644,-0.095973,0.083048,0.044380,-0.245723,0.316175,-0.080072,-0.043283,-0.115901,0.030270,-0.205067,0.129099,0.013296,0.007808,-0.089612,-0.023918]
9	[-0.131527,0.085702,-0.107641,0.056331,-0.050600,-0.267343,0.125993,0.119350,-0.137274,0.054138,0.107290,-0.182393,0.086039,-0.006973,0.126500,0.023775,0.060391,0.064383,-0.073890,0.029012,0.160009,-0.031844,0.216933,0.176011,-0.039184,-0.038213,0.118457,-0.177504,-0.140729,0.028117,0.107143,0.075507,0.022467,0.079257,-0.110083,0.228420,0.222920,-0.044718,-0.055863,0.070625,-0.000585,0.002876,0.133789,-0.003785,-0.006995,0.086568,-0.039509,0.013375,-0.138115,-0.195615,-0.059569,0.135871,-0.061922,0.311320,0.136335,0.111515,0.083063,-0.112548,-0.178344,0.048921,0.112148,-0.330269,-0.054196,0.115053]
