# Suite Report: task111h-1m-rerank-format-width-shared

- config: `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/task111h-1m-rerank-format-width-shared-suite.json`
- config_sha256: `8b7de524e34d23fcc4fc80b5ac0267640816b885f0f4f09f9591077b3bbbaf9e`
- dry_run: `false`
- steps: completed 124, failed 0, skipped 0, dry-run 0, missing artifacts 0, stale 0

| Step | Kind | Status | Duration ms | Artifacts |
| --- | --- | --- | ---: | --- |
| fetch-dbpedia-openai3-1m | corpus-fetch | Succeeded | 209626 | `data/benchmark-profile-inputs/dbpedia-openai3-1m-fetch/ecaz_fetch_manifest.json` |
| prepare-dbpedia-openai3-1m-anchor | corpus-prepare | Succeeded | 461119 | `data/benchmark-profile-inputs/dbpedia-openai3-1m-staged/ec_real_ann_benchmarks_anchor_manifest.json` |
| precheck-host | raw | Succeeded | 14 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/precheck-host.log` |
| create-extension | raw | Succeeded | 12 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/create-extension.log` |
| drop-1m-source-f32-w32-before | raw | Succeeded | 11 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-source-f32-w32-before.log` |
| load-1m-source-f32-w32 | load | Succeeded | 988858 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/load-1m-source-f32-w32.log` |
| recall-1m-source-f32-w32 | recall | Succeeded | 1177896 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/recall-1m-source-f32-w32.log` |
| latency-1m-source-f32-w32 | latency | Succeeded | 23206 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/latency-1m-source-f32-w32.log` |
| storage-1m-source-f32-w32 | storage | Succeeded | 60 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/storage-1m-source-f32-w32.log` |
| drop-1m-source-f32-w32-after | raw | Succeeded | 62 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-source-f32-w32-after.log` |
| drop-1m-source-f32-w64-before | raw | Succeeded | 12 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-source-f32-w64-before.log` |
| load-1m-source-f32-w64 | load | Succeeded | 273740 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/load-1m-source-f32-w64.log` |
| recall-1m-source-f32-w64 | recall | Succeeded | 18994 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/recall-1m-source-f32-w64.log` |
| latency-1m-source-f32-w64 | latency | Succeeded | 24481 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/latency-1m-source-f32-w64.log` |
| storage-1m-source-f32-w64 | storage | Succeeded | 47 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/storage-1m-source-f32-w64.log` |
| drop-1m-source-f32-w64-after | raw | Succeeded | 44 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-source-f32-w64-after.log` |
| drop-1m-source-f32-w128-before | raw | Succeeded | 11 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-source-f32-w128-before.log` |
| load-1m-source-f32-w128 | load | Succeeded | 269721 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/load-1m-source-f32-w128.log` |
| recall-1m-source-f32-w128 | recall | Succeeded | 20978 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/recall-1m-source-f32-w128.log` |
