             datname             |  size   
---------------------------------+---------
 postgres                        | 263 GB
 tqvector_bench                  | 100 GB
 task111a_dense_bench            | 89 GB
 task111h_rerank_100k_v7         | 16 GB
 task111h_rerank_1m              | 15 GB
 task111b_columnar_bench_r2      | 12 GB
 task111e_coarse_rerank          | 7176 MB
 task111_dense_bench             | 6618 MB
 task111_dense_bench_clean       | 6618 MB
 ivf_adr079                      | 5967 MB
 task111g_direct_tid             | 5967 MB
 task76_spire_pareto             | 5537 MB
 task79_spire_candidate_surface  | 5069 MB
 task75_spire_gate               | 3303 MB
 task75_spire_gate_fix           | 3303 MB
 ivf_attr_bench                  | 2716 MB
 task78_spire_rabitq_current     | 1686 MB
 task78_spire_rabitq_baseline    | 1686 MB
 task78_spire_turboquant_current | 1686 MB
 task77_spire_attribution        | 1686 MB
 task29_diskann_baseline         | 1610 MB
 task111b_columnar_bench         | 812 MB
 task28_ivf_fresh_20260427       | 212 MB
 tqvector_task101                | 199 MB
 ecaz_fault_probe_36_38          | 14 MB
 spire_phase12_measure           | 11 MB
 spire_phase12_readiness         | 8929 kB
 ecaz_30755                      | 8617 kB
 ecaz_30756                      | 8617 kB
 ecaz_30754_handoff              | 8617 kB
 ecaz_30753                      | 8497 kB
 template1                       | 7726 kB
 template0                       | 7497 kB
(33 rows)

