# Suite Report: task111h-100k-rabitq8-score-clip-ab

- config: `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/task111h-100k-rabitq8-score-clip-ab-suite.json`
- config_sha256: `a2ba3d9fa3d664a4577c217667278b678d2b69e82dc4cae1f452bfac8df2dfd2`
- dry_run: `false`
- steps: completed 4, failed 0, skipped 21, dry-run 0, missing artifacts 0, stale 0

| Step | Kind | Status | Duration ms | Artifacts |
| --- | --- | --- | ---: | --- |
| precheck-host-rabitq8-score-clip-ab | raw | Skipped | - | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/precheck-host.log` |
| load-100k-index-rabitq8-est-c2-w64 | load | Skipped | - | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/load-100k-index-rabitq8-est-c2-w64.log` |
| recall-100k-index-rabitq8-est-c2-w64 | recall | Skipped | - | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/recall-100k-index-rabitq8-est-c2-w64.log` |
| latency-100k-index-rabitq8-est-c2-w64 | latency | Skipped | - | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/latency-100k-index-rabitq8-est-c2-w64.log` |
| storage-100k-index-rabitq8-est-c2-w64 | storage | Skipped | - | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/storage-100k-index-rabitq8-est-c2-w64.log` |
| load-100k-index-rabitq8-ls-c2-w64 | load | Skipped | - | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/load-100k-index-rabitq8-ls-c2-w64.log` |
| recall-100k-index-rabitq8-ls-c2-w64 | recall | Skipped | - | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/recall-100k-index-rabitq8-ls-c2-w64.log` |
| latency-100k-index-rabitq8-ls-c2-w64 | latency | Skipped | - | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/latency-100k-index-rabitq8-ls-c2-w64.log` |
| storage-100k-index-rabitq8-ls-c2-w64 | storage | Skipped | - | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/storage-100k-index-rabitq8-ls-c2-w64.log` |
| load-100k-index-rabitq8-est-c3-w64 | load | Skipped | - | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/load-100k-index-rabitq8-est-c3-w64.log` |
| recall-100k-index-rabitq8-est-c3-w64 | recall | Skipped | - | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/recall-100k-index-rabitq8-est-c3-w64.log` |
| latency-100k-index-rabitq8-est-c3-w64 | latency | Skipped | - | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/latency-100k-index-rabitq8-est-c3-w64.log` |
| storage-100k-index-rabitq8-est-c3-w64 | storage | Skipped | - | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/storage-100k-index-rabitq8-est-c3-w64.log` |
| load-100k-index-rabitq8-ls-c3-w64 | load | Skipped | - | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/load-100k-index-rabitq8-ls-c3-w64.log` |
| recall-100k-index-rabitq8-ls-c3-w64 | recall | Skipped | - | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/recall-100k-index-rabitq8-ls-c3-w64.log` |
| latency-100k-index-rabitq8-ls-c3-w64 | latency | Skipped | - | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/latency-100k-index-rabitq8-ls-c3-w64.log` |
| storage-100k-index-rabitq8-ls-c3-w64 | storage | Skipped | - | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/storage-100k-index-rabitq8-ls-c3-w64.log` |
| load-100k-index-rabitq8-est-c4-w64 | load | Skipped | - | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/load-100k-index-rabitq8-est-c4-w64.log` |
| recall-100k-index-rabitq8-est-c4-w64 | recall | Skipped | - | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/recall-100k-index-rabitq8-est-c4-w64.log` |
| latency-100k-index-rabitq8-est-c4-w64 | latency | Skipped | - | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/latency-100k-index-rabitq8-est-c4-w64.log` |
| storage-100k-index-rabitq8-est-c4-w64 | storage | Skipped | - | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/storage-100k-index-rabitq8-est-c4-w64.log` |
| load-100k-index-rabitq8-ls-c4-w64 | load | Succeeded | 89034 | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/load-100k-index-rabitq8-ls-c4-w64.log` |
| recall-100k-index-rabitq8-ls-c4-w64 | recall | Succeeded | 15720 | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/recall-100k-index-rabitq8-ls-c4-w64.log` |
| latency-100k-index-rabitq8-ls-c4-w64 | latency | Succeeded | 9678 | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/latency-100k-index-rabitq8-ls-c4-w64.log` |
| storage-100k-index-rabitq8-ls-c4-w64 | storage | Succeeded | 32 | `reviews/task-111h/036-rabitq8-score-clip-ab/artifacts/suite-cont-ls-c4/storage-100k-index-rabitq8-ls-c4-w64.log` |

## Parsed Results

| Step | Kind | Metric | Values |
| --- | --- | --- | --- |
| load-100k-index-rabitq8-ls-c4-w64 | load | load_timing | `phase=copy_corpus`, `prefix=task111h036_100k_rq8_ls_c4_w64`, `profile=ec_ivf`, `seconds=39.130000`, `subject=task111h036_100k_rq8_ls_c4_w64_corpus`, `suite_database=task111h_rabitq8_score_clip_ab`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-100k-index-rabitq8-ls-c4-w64 | load | load_timing | `phase=encode_corpus`, `prefix=task111h036_100k_rq8_ls_c4_w64`, `profile=ec_ivf`, `seconds=27.620000`, `subject=task111h036_100k_rq8_ls_c4_w64_corpus`, `suite_database=task111h_rabitq8_score_clip_ab`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-100k-index-rabitq8-ls-c4-w64 | load | load_timing | `phase=copy_queries`, `prefix=task111h036_100k_rq8_ls_c4_w64`, `profile=ec_ivf`, `seconds=0.413900`, `subject=task111h036_100k_rq8_ls_c4_w64_queries`, `suite_database=task111h_rabitq8_score_clip_ab`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-100k-index-rabitq8-ls-c4-w64 | load | load_timing | `phase=build_index`, `prefix=task111h036_100k_rq8_ls_c4_w64`, `profile=ec_ivf`, `seconds=11.730000`, `subject=task111h036_100k_rq8_ls_c4_w64_idx`, `suite_database=task111h_rabitq8_score_clip_ab`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-100k-index-rabitq8-ls-c4-w64 | load | ec_ivf_build_timing | `flush_build_plan_us=1510574`, `heap_ingest_us=4989863`, `heap_tuples=100000`, `index_tuples=100000`, `parallel_begin_us=0`, `parallel_drain_us=0`, `parallel_sort_push_us=0`, `parallel_worker_tuple_buffer_capacity=0`, `parallel_worker_tuple_buffer_struct_bytes=0`, `prefix=task111h036_100k_rq8_ls_c4_w64`, `profile=ec_ivf`, `requested_workers=0`, `stage_assign_us=1986120`, `stage_build_plan_us=3415523`, `stage_centroids_us=549`, `stage_directory_us=99`, `stage_postings_us=46732`, `stage_pq_train_us=0`, `suite_database=task111h_rabitq8_score_clip_ab`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `train_model_us=1775131`, `workers_launched=0` |
| load-100k-index-rabitq8-ls-c4-w64 | load | load_timing | `phase=total`, `prefix=task111h036_100k_rq8_ls_c4_w64`, `profile=ec_ivf`, `seconds=89.030000`, `subject=task111h036_100k_rq8_ls_c4_w64`, `suite_database=task111h_rabitq8_score_clip_ab`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-100k-index-rabitq8-ls-c4-w64 | recall | recall | `mean q-time=3.00 ms`, `ndcg@k=0.9728`, `nprobe=8`, `prefix=task111h036_100k_rq8_ls_c4_w64`, `profile=ec_ivf`, `queries=200`, `recall@k=0.7850`, `recall_ci95_high=0.8024`, `recall_ci95_low=0.7665`, `recall_p10=0.5000`, `recall_p50=0.8000`, `recall_p90=1.0000`, `recall_trials=2000`, `recall_worst=0.2000`, `suite_database=task111h_rabitq8_score_clip_ab`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-100k-index-rabitq8-ls-c4-w64 | recall | recall | `mean q-time=3.54 ms`, `ndcg@k=0.9870`, `nprobe=16`, `prefix=task111h036_100k_rq8_ls_c4_w64`, `profile=ec_ivf`, `queries=200`, `recall@k=0.8685`, `recall_ci95_high=0.8826`, `recall_ci95_low=0.8530`, `recall_p10=0.7000`, `recall_p50=0.9000`, `recall_p90=1.0000`, `recall_trials=2000`, `recall_worst=0.4000`, `suite_database=task111h_rabitq8_score_clip_ab`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-100k-index-rabitq8-ls-c4-w64 | recall | recall | `mean q-time=4.60 ms`, `ndcg@k=0.9948`, `nprobe=32`, `prefix=task111h036_100k_rq8_ls_c4_w64`, `profile=ec_ivf`, `queries=200`, `recall@k=0.9305`, `recall_ci95_high=0.9408`, `recall_ci95_low=0.9185`, `recall_p10=0.8000`, `recall_p50=1.0000`, `recall_p90=1.0000`, `recall_trials=2000`, `recall_worst=0.5000`, `suite_database=task111h_rabitq8_score_clip_ab`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-100k-index-rabitq8-ls-c4-w64 | recall | recall | `mean q-time=6.54 ms`, `ndcg@k=0.9984`, `nprobe=64`, `prefix=task111h036_100k_rq8_ls_c4_w64`, `profile=ec_ivf`, `queries=200`, `recall@k=0.9670`, `recall_ci95_high=0.9740`, `recall_ci95_low=0.9582`, `recall_p10=0.9000`, `recall_p50=1.0000`, `recall_p90=1.0000`, `recall_trials=2000`, `recall_worst=0.6000`, `suite_database=task111h_rabitq8_score_clip_ab`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-100k-index-rabitq8-ls-c4-w64 | recall | recall | `mean q-time=10.33 ms`, `ndcg@k=0.9996`, `nprobe=128`, `prefix=task111h036_100k_rq8_ls_c4_w64`, `profile=ec_ivf`, `queries=200`, `recall@k=0.9880`, `recall_ci95_high=0.9919`, `recall_ci95_low=0.9822`, `recall_p10=0.9000`, `recall_p50=1.0000`, `recall_p90=1.0000`, `recall_trials=2000`, `recall_worst=0.9000`, `suite_database=task111h_rabitq8_score_clip_ab`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
