Scale	Format	Build path	Load seconds	Build-index seconds	Recall@10 ef=200	Recall mean q-time ef=200	Truth@10 in emitted pool	Truth@100 in emitted pool	Emitted pool	Exact rerank	Quantized rerank	Pool dropped before exact	Mean Spearman	Mean rank shift	Exact top4 max approx rank	Total storage	Total storage bytes
10k	turboquant	source-build	19.750000	1.670000	0.9705	1.86 ms	0.9965	0.9545	200.0	0.0	200.0	200.0	0.8404	22.79	6.1	172.1 MiB	180459930
10k	turboquant	compressed-build	19.080000	1.590000	0.9705	4.10 ms	0.9965	0.9545	200.0	0.0	200.0	200.0	0.8404	22.79	6.1	172.1 MiB	180459930
10k	pq_fastscan	source-build	19.800000	1.760000	0.9945	4.22 ms	0.9960	0.9543	200.0	200.0	0.0	0.0	0.8404	22.78	6.1	172.2 MiB	180564787
10k	pq_fastscan	compressed-build	19.770000	1.700000	0.9945	4.20 ms	0.9960	0.9543	200.0	200.0	0.0	0.0	0.8404	22.78	6.1	172.2 MiB	180564787
10k	rabitq	source-build	19.440000	1.740000	0.9480	4.46 ms	0.9705	0.9272	200.0	0.0	200.0	200.0	0.9086	16.85	4.9	172.1 MiB	180459930
10k	rabitq	compressed-build	19.510000	1.670000	0.9480	2.13 ms	0.9705	0.9272	200.0	0.0	200.0	200.0	0.9086	16.85	4.9	172.1 MiB	180459930
50k	turboquant	source-build	101.840000	19.250000	0.9315	2.26 ms	0.9815	0.8731	200.0	0.0	200.0	200.0	0.6818	34.53	10.6	860.0 MiB	901775360
50k	turboquant	compressed-build	99.870000	18.660000	0.9315	4.60 ms	0.9815	0.8731	200.0	0.0	200.0	200.0	0.6818	34.53	10.6	860.0 MiB	901775360
50k	pq_fastscan	source-build	104.130000	19.720000	0.9735	2.47 ms	0.9815	0.8730	200.0	200.0	0.0	0.0	0.6819	34.52	10.6	860.1 MiB	901880218
50k	pq_fastscan	compressed-build	101.230000	19.300000	0.9735	4.80 ms	0.9815	0.8730	200.0	200.0	0.0	0.0	0.6819	34.52	10.6	860.1 MiB	901880218
50k	rabitq	source-build	104.670000	19.670000	0.9130	4.50 ms	0.9530	0.8980	200.0	0.0	200.0	200.0	0.8092	26.20	6.7	860.0 MiB	901775360
50k	rabitq	compressed-build	107.090000	19.160000	0.9130	2.54 ms	0.9530	0.8980	200.0	0.0	200.0	200.0	0.8092	26.20	6.7	860.0 MiB	901775360
100k	turboquant	source-build	229.850000	55.660000	0.9245	4.66 ms	0.9675	0.8397	200.0	0.0	200.0	200.0	0.6747	35.07	10.7	1.7 GiB	1825361101
100k	turboquant	compressed-build	237.400000	61.610000	0.9245	3.97 ms	0.9675	0.8397	200.0	0.0	200.0	200.0	0.6747	35.07	10.7	1.7 GiB	1825361101
100k	pq_fastscan	source-build	235.100000	57.790000	0.9630	4.62 ms	0.9675	0.8396	200.0	200.0	0.0	0.0	0.6747	35.07	10.7	1.7 GiB	1825361101
100k	pq_fastscan	compressed-build	241.970000	60.510000	0.9630	4.32 ms	0.9675	0.8396	200.0	200.0	0.0	0.0	0.6747	35.07	10.7	1.7 GiB	1825361101
100k	rabitq	source-build	235.920000	57.560000	0.8990	4.62 ms	0.9325	0.8458	200.0	0.0	200.0	200.0	0.8111	26.12	6.6	1.7 GiB	1825361101
100k	rabitq	compressed-build	237.210000	58.980000	0.8990	4.12 ms	0.9325	0.8458	200.0	0.0	200.0	200.0	0.8111	26.12	6.6	1.7 GiB	1825361101
