scale	nprobe	recall_at_10	ndcg_at_10	recall_mean_q_time	latency_mean	latency_p95	latency_p99	index_size	total_size	index_bytes	total_bytes
10k	8	0.9920	0.9996	36.16 ms	35.4 ms	46.5 ms	48.5 ms	9.1 MiB	168.0 MiB	9542042	176160768
10k	16	0.9985	0.9999	66.62 ms	64.2 ms	76.5 ms	79.1 ms	9.1 MiB	168.0 MiB	9542042	176160768
10k	24	1.0000	1.0000	96.94 ms	95.7 ms	122.8 ms	130.3 ms	9.1 MiB	168.0 MiB	9542042	176160768
10k	32	1.0000	1.0000	119.10 ms	119.4 ms	134.0 ms	139.0 ms	9.1 MiB	168.0 MiB	9542042	176160768
50k	8	0.8550	0.9885	78.01 ms	75.2 ms	93.2 ms	99.3 ms	42.5 MiB	836.3 MiB	44564480	876924109
50k	16	0.9265	0.9942	140.46 ms	139.9 ms	162.7 ms	179.3 ms	42.5 MiB	836.3 MiB	44564480	876924109
50k	24	0.9480	0.9962	211.96 ms	212.7 ms	260.1 ms	281.0 ms	42.5 MiB	836.3 MiB	44564480	876924109
50k	32	0.9625	0.9975	279.91 ms	291.7 ms	345.9 ms	368.4 ms	42.5 MiB	836.3 MiB	44564480	876924109
100k	8	0.7695	0.9744	109.95 ms	109.2 ms	139.9 ms	150.5 ms	83.6 MiB	1.6 GiB	87660954	1717986918
100k	16	0.8495	0.9835	203.51 ms	208.3 ms	266.2 ms	277.8 ms	83.6 MiB	1.6 GiB	87660954	1717986918
100k	24	0.8940	0.9889	317.05 ms	314.1 ms	378.6 ms	411.5 ms	83.6 MiB	1.6 GiB	87660954	1717986918
100k	32	0.9205	0.9927	423.69 ms	420.6 ms	495.4 ms	543.9 ms	83.6 MiB	1.6 GiB	87660954	1717986918
