      data_directory
---------------------------
 /home/peter/.pgrx/data-18
(1 row)

             datname             |  size   |    bytes
---------------------------------+---------+--------------
 postgres                        | 263 GB  | 282650441407
 tqvector_bench                  | 100 GB  | 107479578303
 task111a_dense_bench            | 89 GB   |  95040304831
 task111h_corrected_100k_v9      | 27 GB   |  29266450111
 task111h_rerank_1m_v7           | 15 GB   |  16594769599
 task111h_corrected_1m_locked_v9 | 15 GB   |  16594196159
 task111h_corrected_50k_v9       | 14 GB   |  14732801727
 task111b_columnar_bench_r2      | 12 GB   |  13230519999
 task111e_coarse_rerank          | 7176 MB |   7524841151
 task111_dense_bench_clean       | 6618 MB |   6939997887
 task111_dense_bench             | 6618 MB |   6939997887
 ivf_adr079                      | 5967 MB |   6256645823
 task111g_direct_tid             | 5967 MB |   6256645823
 task76_spire_pareto             | 5537 MB |   5805916687
 task79_spire_candidate_surface  | 5069 MB |   5315338767
 task111h_cold_50k               | 4419 MB |   4633908927
 task75_spire_gate               | 3303 MB |   3463569935
 task75_spire_gate_fix           | 3303 MB |   3463553551
 task111h_corrected_10k_v9       | 2861 MB |   2999834303
 ivf_attr_bench                  | 2716 MB |   2847913663
(20 rows)
