scale	nprobe	queries	route_sum	candidate_sum	avg_candidates	object_bytes_sum	avg_object_bytes	leaf_object_read_ms	row_score_ms	materialize_ms	heap_append_ms	avg_unique_heap_blocks	avg_heap_block_transitions
10k	8	200	1600	178022	890.11	143177024	715885	38.53	45.182	9.362	9.278	63.75	859.14
10k	16	200	3200	346583	1732.92	278752460	1393762	73.29	86.429	16.731	17.118	73.36	1680.82
10k	24	200	4800	504117	2520.59	405469548	2027348	116.577	134.569	25.9	28.411	81.08	2452.14
10k	32	200	6400	654012	3270.06	526046880	2630234	139.61	163.709	30.833	34.595	87.52	3187.67
50k	8	200	1600	361672	1808.36	290678080	1453390	83.892	94.094	17.954	18.653	202.37	1769.12
50k	16	200	3200	721302	3606.51	579715464	2898577	168.374	189.16	34.566	39.054	264.39	3554.22
50k	24	200	4800	1073113	5365.57	862469380	4312347	243.23	281.09	49.99	59.396	303.33	5303.61
50k	32	200	6400	1427764	7138.82	1147504096	5737520	315.693	368.2	64.523	76.512	332.54	7069.5
100k	8	200	1600	496829	2484.15	399235124	1996176	115.458	131.984	23.954	26.542	528.32	2458.69
100k	16	200	3200	1015253	5076.27	815818556	4079093	228.896	260.498	45.978	53.912	713.32	5043.01
100k	24	200	4800	1524096	7620.48	1224705240	6123526	345.907	396.055	69.69	87.145	803.77	7581.74
100k	32	200	6400	2047399	10237	1645204612	8226023	452.201	522.994	90.603	118.107	851.4	10193.76
