scale	nprobe	stage_ordinal	stage_name	contained_truth	truth_top_k	containment_pct	missing_truth	avg_candidate_or_object	avg_bytes	avg_latency_ms	missing_reasons
10k	8	1	topology_route_set	0	2000	0	2000	8	0		routing_miss=2000
10k	8	2	selected_leaves	0	2000	0	2000	8	715885	0.193	routing_miss=2000
10k	8	3	selected_leaf_blocks	0	2000	0	2000	0	0	0	routing_miss=2000
10k	8	4	local_candidate_frontier	1984	2000	99.2	16	890.11	0	0.319	routing_miss=16
10k	8	5	exact_source_rerank_frontier	1984	2000	99.2	16	890.11	0		routing_miss=16
10k	8	6	final_top_k	1984	2000	99.2	16	10	0		routing_miss=16
10k	16	1	topology_route_set	0	2000	0	2000	16	0		routing_miss=2000
10k	16	2	selected_leaves	0	2000	0	2000	16	1393762	0.366	routing_miss=2000
10k	16	3	selected_leaf_blocks	0	2000	0	2000	0	0	0	routing_miss=2000
10k	16	4	local_candidate_frontier	1997	2000	99.85	3	1732.92	0	0.601	routing_miss=3
10k	16	5	exact_source_rerank_frontier	1997	2000	99.85	3	1732.92	0		routing_miss=3
10k	16	6	final_top_k	1997	2000	99.85	3	10	0		routing_miss=3
10k	24	1	topology_route_set	0	2000	0	2000	24	0		routing_miss=2000
10k	24	2	selected_leaves	0	2000	0	2000	24	2027348	0.583	routing_miss=2000
10k	24	3	selected_leaf_blocks	0	2000	0	2000	0	0	0	routing_miss=2000
10k	24	4	local_candidate_frontier	2000	2000	100	0	2520.59	0	0.944
10k	24	5	exact_source_rerank_frontier	2000	2000	100	0	2520.59	0
10k	24	6	final_top_k	2000	2000	100	0	10	0
10k	32	1	topology_route_set	0	2000	0	2000	32	0		routing_miss=2000
10k	32	2	selected_leaves	0	2000	0	2000	32	2630234	0.698	routing_miss=2000
10k	32	3	selected_leaf_blocks	0	2000	0	2000	0	0	0	routing_miss=2000
10k	32	4	local_candidate_frontier	2000	2000	100	0	3270.06	0	1.146
10k	32	5	exact_source_rerank_frontier	2000	2000	100	0	3270.06	0
10k	32	6	final_top_k	2000	2000	100	0	10	0
50k	8	1	topology_route_set	0	2000	0	2000	8	0		routing_miss=2000
50k	8	2	selected_leaves	0	2000	0	2000	8	1453390	0.419	routing_miss=2000
50k	8	3	selected_leaf_blocks	0	2000	0	2000	0	0	0	routing_miss=2000
50k	8	4	local_candidate_frontier	1710	2000	85.5	290	1808.36	0	0.654	routing_miss=290
50k	8	5	exact_source_rerank_frontier	1710	2000	85.5	290	1808.36	0		routing_miss=290
50k	8	6	final_top_k	1710	2000	85.5	290	10	0		routing_miss=290
50k	16	1	topology_route_set	0	2000	0	2000	16	0		routing_miss=2000
50k	16	2	selected_leaves	0	2000	0	2000	16	2898577	0.842	routing_miss=2000
