scale	nprobe	full_candidates	l2_candidates	candidate_reduction_pct	full_selected_blocks	l2_selected_blocks	selected_block_reduction_pct	l2_skipped_blocks
10k	8	133410	124052	7.01	2803	2470	11.88	333
10k	16	263559	244148	7.36	5576	4930	11.59	646
10k	24	397724	369632	7.06	8366	7441	11.06	925
10k	32	520143	483392	7.07	10954	9819	10.36	1135
50k	8	605002	197609	67.34	10172	3200	68.54	6972
50k	16	1200394	395201	67.08	20280	6400	68.44	13880
50k	24	1758477	590740	66.41	29812	9600	67.80	20212
50k	32	2326779	784248	66.29	39513	12800	67.61	26713
100k	8	1232065	202892	83.53	19935	3200	83.95	16735
100k	16	2514557	404669	83.91	40677	6400	84.27	34277
100k	24	3816799	605895	84.13	61735	9600	84.45	52135
100k	32	5165224	806794	84.38	83532	12800	84.68	70732
