scale	variant	nprobe	available_blocks	selected_blocks	skipped_blocks	candidates	summary_bytes	row_bytes
10k	full	8	2803	2803	0	133410	4544734	108817248
10k	full	16	5576	5576	0	263559	9042128	214966344
10k	full	24	8366	8366	0	397724	13566348	324392912
10k	full	32	10954	10954	0	520143	17771812	424243608
10k	l2	8	2803	2470	333	124052	4544734	108817248
10k	l2	16	5576	4930	646	244148	9042128	214966344
10k	l2	24	8366	7441	925	369632	13566348	324392912
10k	l2	32	10954	9819	1135	483392	17771812	424243608
50k	full	8	10172	10172	0	605002	16253728	493248736
50k	full	16	20280	20280	0	1200394	32406388	978668152
50k	full	24	29812	29812	0	1758477	47641000	1433671320
50k	full	32	39513	39513	0	2326779	63143738	1897002720
50k	l2	8	10172	3200	6972	197609	16253728	493248736
50k	l2	16	20280	6400	13880	395201	32406388	978668152
50k	l2	24	29812	9600	20212	590740	47641000	1433671320
50k	l2	32	39513	12800	26713	784248	63143738	1897002720
100k	full	8	19935	19935	0	1232065	31802926	1004442712
100k	full	16	40677	40677	0	2514557	64892066	2049987560
100k	full	24	61735	61735	0	3816799	98481906	3111630520
100k	full	32	83532	83532	0	5165224	133249592	4210922560
100k	l2	8	19935	3200	16735	202892	31802926	1004442712
100k	l2	16	40677	6400	34277	404669	64892066	2049987560
100k	l2	24	61735	9600	52135	605895	98481906	3111630520
100k	l2	32	83532	12800	70732	806794	133249592	4210922560
