scale	variant	nprobe	recall_at_k	recall_ci95_low	recall_ci95_high	ndcg_at_k	latency_mean_ms	latency_p95_ms	latency_p99_ms
10k	full	8	0.9905	0.9852	0.9939	0.9994	7.27	8.33	9.20
10k	full	16	0.9940	0.9895	0.9966	0.9995	7.43	8.28	9.34
10k	full	24	0.9945	0.9902	0.9969	0.9995	7.61	8.35	9.06
10k	full	32	0.9965	0.9928	0.9983	0.9999	8.49	9.51	10.3
10k	l2	8	0.9795	0.9723	0.9849	0.9987	9.92	11.8	13.0
10k	l2	16	0.9830	0.9763	0.9878	0.9988	7.90	11.0	14.1
10k	l2	24	0.9835	0.9769	0.9882	0.9988	8.02	9.53	10.8
10k	l2	32	0.9855	0.9793	0.9899	0.9991	8.12	8.99	10.1
50k	full	8	0.8885	0.8740	0.9016	0.9908	8.44	9.42	10.2
50k	full	16	0.9370	0.9255	0.9468	0.9949	11.1	12.5	13.1
50k	full	24	0.9585	0.9488	0.9664	0.9970	13.5	15.9	17.9
50k	full	32	0.9725	0.9644	0.9788	0.9987	16.0	18.4	19.2
50k	l2	8	0.5010	0.4791	0.5229	0.9424	7.62	8.55	10.6
50k	l2	16	0.5295	0.5076	0.5513	0.9481	9.45	10.7	12.4
50k	l2	24	0.5410	0.5191	0.5627	0.9502	10.5	11.5	12.3
50k	l2	32	0.5505	0.5286	0.5722	0.9524	11.8	13.0	14.9
100k	full	8	0.7250	0.7050	0.7441	0.9649	11.4	12.7	13.4
100k	full	16	0.8525	0.8363	0.8674	0.9835	16.0	17.9	21.4
100k	full	24	0.9045	0.8908	0.9166	0.9906	21.3	23.5	24.4
100k	full	32	0.9310	0.9190	0.9413	0.9934	26.8	30.4	31.9
100k	l2	8	0.4140	0.3926	0.4357	0.9065	8.09	8.72	10.1
100k	l2	16	0.4730	0.4512	0.4949	0.9225	10.5	11.7	12.6
100k	l2	24	0.4930	0.4711	0.5149	0.9289	12.8	14.3	15.6
100k	l2	32	0.5060	0.4841	0.5279	0.9323	14.9	16.3	16.9
