cell	nprobe	latency_p50_ms	latency_p95_ms	recall_at_10
b0_tr10_f8	4	60.686	83.550	0.8190
b0_tr10_f8	8	113.904	160.732	0.8885
b0_tr10_f8	12	173.649	237.522	0.9215
b0_tr10_f8	16	232.978	309.152	0.9370
b0_tr10_f8	24	336.253	446.060	0.9585
b0_tr10_f8	32	455.131	588.225	0.9725
b0_tr10_f8	48	735.999	849.005	0.9875
b0_tr10_f8	64	979.020	1060.524	0.9950
b0_tr10_f8	96	1503.223	1588.310	1.0000
b0_tr10_f16	4	65.536	107.334	0.8100
b0_tr10_f16	8	115.288	159.151	0.8860
b0_tr10_f16	12	174.756	230.421	0.9175
b0_tr10_f16	16	229.069	295.289	0.9390
b0_tr10_f16	24	354.716	434.802	0.9615
b0_tr10_f16	32	465.147	560.268	0.9750
b0_tr10_f16	48	738.968	821.850	0.9870
b0_tr10_f16	64	992.713	1123.922	0.9945
b0_tr10_f16	96	1494.388	1629.581	0.9995
