cell	nprobe	latency_p50_ms	latency_p95_ms	recall_at_10
b0_tr50_f8	4	62.340	86.481	0.8210
b0_tr50_f8	8	119.627	163.311	0.9020
b0_tr50_f8	12	170.082	239.991	0.9305
b0_tr50_f8	16	219.819	311.893	0.9475
b0_tr50_f8	24	340.280	467.843	0.9710
b0_tr50_f8	32	455.979	610.957	0.9810
b0_tr50_f8	48	757.812	888.651	0.9890
b0_tr50_f8	64	1028.760	1141.052	0.9960
b0_tr50_f8	96	1602.989	1684.300	1.0000
b1_tr10_f8	4	114.603	161.841	0.8920
b1_tr10_f8	8	203.586	260.896	0.9350
b1_tr10_f8	12	270.642	354.416	0.9575
b1_tr10_f8	16	348.501	446.030	0.9650
b1_tr10_f8	24	511.197	602.720	0.9760
b1_tr10_f8	32	697.122	796.378	0.9860
b1_tr10_f8	48	977.851	1116.596	0.9925
b1_tr10_f8	64	1225.481	1380.495	0.9975
b1_tr10_f8	96	1668.837	1871.956	1.0000
b1_tr50_f8	4	114.398	152.131	0.9020
b1_tr50_f8	8	207.778	261.012	0.9480
b1_tr50_f8	12	279.948	361.512	0.9625
b1_tr50_f8	16	370.070	454.095	0.9715
b1_tr50_f8	24	536.889	645.922	0.9895
b1_tr50_f8	32	730.339	858.418	0.9945
b1_tr50_f8	48	1054.866	1172.220	0.9980
b1_tr50_f8	64	1294.813	1417.144	0.9990
b1_tr50_f8	96	1793.851	1937.727	1.0000
