# Suite Report: task124-tq-phase6-local-cache-evict-100k-suite

- config: `reviews/task-124/015-tq-phase6-local-cache-evict/artifacts/task124-tq-phase6-local-cache-evict-100k-suite.json`
- config_sha256: `0fc8eec50bc8d3890ee702246c159c6f9e914d1eb9e2fafb38524302abc24e14`
- dry_run: `false`
- steps: completed 10, failed 0, skipped 0, dry-run 0, missing artifacts 0, stale 0

| Step | Kind | Status | Duration ms | Artifacts |
| --- | --- | --- | ---: | --- |
| load-100k-f32-w100 | load | Succeeded | 6133 | `reviews/task-124/015-tq-phase6-local-cache-evict/artifacts/local-cache-evict-100k/load-100k-f32-w100.log` |
| load-100k-tq-w75-g50-final15 | load | Succeeded | 6095 | `reviews/task-124/015-tq-phase6-local-cache-evict/artifacts/local-cache-evict-100k/load-100k-tq-w75-g50-final15.log` |
| storage-100k-f32-w100 | storage | Succeeded | 24 | `reviews/task-124/015-tq-phase6-local-cache-evict/artifacts/local-cache-evict-100k/storage-100k-f32-w100.log` |
| storage-100k-tq-w75-g50-final15 | storage | Succeeded | 14 | `reviews/task-124/015-tq-phase6-local-cache-evict/artifacts/local-cache-evict-100k/storage-100k-tq-w75-g50-final15.log` |
| evict-100k-f32-before-latency | raw | Succeeded | 14 | `reviews/task-124/015-tq-phase6-local-cache-evict/artifacts/local-cache-evict-100k/evict-100k-f32-before-latency.log` |
| latency-100k-f32-w100-cache-evict | latency | Succeeded | 1673 | `reviews/task-124/015-tq-phase6-local-cache-evict/artifacts/local-cache-evict-100k/latency-100k-f32-w100-cache-evict.log` |
| evict-100k-tq-before-latency | raw | Succeeded | 33 | `reviews/task-124/015-tq-phase6-local-cache-evict/artifacts/local-cache-evict-100k/evict-100k-tq-before-latency.log` |
| latency-100k-tq-w75-g50-final15-cache-evict | latency | Succeeded | 1785 | `reviews/task-124/015-tq-phase6-local-cache-evict/artifacts/local-cache-evict-100k/latency-100k-tq-w75-g50-final15-cache-evict.log` |
| recall-100k-f32-w100 | recall | Succeeded | 7046 | `reviews/task-124/015-tq-phase6-local-cache-evict/artifacts/local-cache-evict-100k/recall-100k-f32-w100.log` |
| recall-100k-tq-w75-g50-final15 | recall | Succeeded | 1578 | `reviews/task-124/015-tq-phase6-local-cache-evict/artifacts/local-cache-evict-100k/recall-100k-tq-w75-g50-final15.log` |

## Parsed Results

| Step | Kind | Metric | Values |
| --- | --- | --- | --- |
| load-100k-f32-w100 | load | load_timing | `phase=total`, `prefix=task124_phase6_f32_100k`, `profile=ec_ivf`, `seconds=6.120000`, `storage_format=coarse_rerank`, `subject=task124_phase6_f32_100k`, `suite_database=tqvector_bench`, `suite_host=/Users/peter/.pgrx`, `suite_port=28818` |
| load-100k-tq-w75-g50-final15 | load | load_timing | `phase=total`, `prefix=task124_phase6_tq_100k`, `profile=ec_ivf`, `quant=turboquant`, `seconds=6.090000`, `storage_format=coarse_rerank`, `subject=task124_phase6_tq_100k`, `suite_database=tqvector_bench`, `suite_host=/Users/peter/.pgrx`, `suite_port=28818` |
| storage-100k-f32-w100 | storage | storage_field | `field=prefix`, `prefix=task124_phase6_f32_100k`, `suite_database=tqvector_bench`, `suite_host=/Users/peter/.pgrx`, `suite_port=28818`, `value=task124_phase6_f32_100k` |
| storage-100k-f32-w100 | storage | storage_field | `field=corpus`, `prefix=task124_phase6_f32_100k`, `suite_database=tqvector_bench`, `suite_host=/Users/peter/.pgrx`, `suite_port=28818`, `value=task124_phase6_f32_100k_corpus` |
| storage-100k-f32-w100 | storage | storage_field | `field=rows`, `prefix=task124_phase6_f32_100k`, `suite_database=tqvector_bench`, `suite_host=/Users/peter/.pgrx`, `suite_port=28818`, `value=100000`, `value_bytes=100000` |
| storage-100k-f32-w100 | storage | storage_field | `field=heap`, `prefix=task124_phase6_f32_100k`, `suite_database=tqvector_bench`, `suite_host=/Users/peter/.pgrx`, `suite_port=28818`, `value=7.3 MiB`, `value_bytes=7654605` |
| storage-100k-f32-w100 | storage | storage_field | `field=table (heap + toast + fsm/vm)`, `prefix=task124_phase6_f32_100k`, `suite_database=tqvector_bench`, `suite_host=/Users/peter/.pgrx`, `suite_port=28818`, `value=1.6 GiB`, `value_bytes=1717986918` |
| storage-100k-f32-w100 | storage | storage_field | `field=indexes`, `prefix=task124_phase6_f32_100k`, `suite_database=tqvector_bench`, `suite_host=/Users/peter/.pgrx`, `suite_port=28818`, `value=24.6 MiB`, `value_bytes=25794970` |
| storage-100k-f32-w100 | storage | storage_field | `field=total`, `prefix=task124_phase6_f32_100k`, `suite_database=tqvector_bench`, `suite_host=/Users/peter/.pgrx`, `suite_port=28818`, `value=1.6 GiB`, `value_bytes=1717986918` |
| storage-100k-f32-w100 | storage | storage_field | `field=per row (total)`, `prefix=task124_phase6_f32_100k`, `suite_database=tqvector_bench`, `suite_host=/Users/peter/.pgrx`, `suite_port=28818`, `value=16905.1 B`, `value_bytes=16905` |
| storage-100k-f32-w100 | storage | storage_field | `field=per row (heap only)`, `prefix=task124_phase6_f32_100k`, `suite_database=tqvector_bench`, `suite_host=/Users/peter/.pgrx`, `suite_port=28818`, `value=76.6 B`, `value_bytes=77` |
| storage-100k-f32-w100 | storage | storage_index | `access method=ec_ivf`, `index=task124_phase6_f32_100k_coarse_rerank_idx`, `per row=235.8 B`, `per_row_bytes=235.8`, `prefix=task124_phase6_f32_100k`, `profile=ec_ivf`, `reloptions={nlists=64,nprobe=32,training_sample_rows=10000,coarse_format=rabitq,coarse_bits=1,rerank=heap_f32,rerank_placement=source,rerank_format=f32,rerank_width=100,storage_format=coarse_rerank}`, `size=22.5 MiB`, `size_bytes=23592960`, `suite_database=tqvector_bench`, `suite_host=/Users/peter/.pgrx`, `suite_port=28818` |
| storage-100k-f32-w100 | storage | storage_index | `access method=btree`, `index=task124_phase6_f32_100k_corpus_pkey`, `per row=22.6 B`, `per_row_bytes=22.6`, `prefix=task124_phase6_f32_100k`, `profile=<unknown>`, `reloptions={}`, `size=2.2 MiB`, `size_bytes=2306867`, `suite_database=tqvector_bench`, `suite_host=/Users/peter/.pgrx`, `suite_port=28818` |
| storage-100k-tq-w75-g50-final15 | storage | storage_field | `field=prefix`, `prefix=task124_phase6_tq_100k`, `quant=turboquant`, `storage_format=turboquant`, `suite_database=tqvector_bench`, `suite_host=/Users/peter/.pgrx`, `suite_port=28818`, `value=task124_phase6_tq_100k` |
| storage-100k-tq-w75-g50-final15 | storage | storage_field | `field=corpus`, `prefix=task124_phase6_tq_100k`, `quant=turboquant`, `storage_format=turboquant`, `suite_database=tqvector_bench`, `suite_host=/Users/peter/.pgrx`, `suite_port=28818`, `value=task124_phase6_tq_100k_corpus` |
| storage-100k-tq-w75-g50-final15 | storage | storage_field | `field=rows`, `prefix=task124_phase6_tq_100k`, `quant=turboquant`, `storage_format=turboquant`, `suite_database=tqvector_bench`, `suite_host=/Users/peter/.pgrx`, `suite_port=28818`, `value=100000`, `value_bytes=100000` |
| storage-100k-tq-w75-g50-final15 | storage | storage_field | `field=heap`, `prefix=task124_phase6_tq_100k`, `quant=turboquant`, `storage_format=turboquant`, `suite_database=tqvector_bench`, `suite_host=/Users/peter/.pgrx`, `suite_port=28818`, `value=7.3 MiB`, `value_bytes=7654605` |
| storage-100k-tq-w75-g50-final15 | storage | storage_field | `field=table (heap + toast + fsm/vm)`, `prefix=task124_phase6_tq_100k`, `quant=turboquant`, `storage_format=turboquant`, `suite_database=tqvector_bench`, `suite_host=/Users/peter/.pgrx`, `suite_port=28818`, `value=1.6 GiB`, `value_bytes=1717986918` |
| storage-100k-tq-w75-g50-final15 | storage | storage_field | `field=indexes`, `prefix=task124_phase6_tq_100k`, `quant=turboquant`, `storage_format=turboquant`, `suite_database=tqvector_bench`, `suite_host=/Users/peter/.pgrx`, `suite_port=28818`, `value=103.0 MiB`, `value_bytes=108003328` |
| storage-100k-tq-w75-g50-final15 | storage | storage_field | `field=total`, `prefix=task124_phase6_tq_100k`, `quant=turboquant`, `storage_format=turboquant`, `suite_database=tqvector_bench`, `suite_host=/Users/peter/.pgrx`, `suite_port=28818`, `value=1.7 GiB`, `value_bytes=1825361101` |
| storage-100k-tq-w75-g50-final15 | storage | storage_field | `field=per row (total)`, `prefix=task124_phase6_tq_100k`, `quant=turboquant`, `storage_format=turboquant`, `suite_database=tqvector_bench`, `suite_host=/Users/peter/.pgrx`, `suite_port=28818`, `value=17726.4 B`, `value_bytes=17726` |
| storage-100k-tq-w75-g50-final15 | storage | storage_field | `field=per row (heap only)`, `prefix=task124_phase6_tq_100k`, `quant=turboquant`, `storage_format=turboquant`, `suite_database=tqvector_bench`, `suite_host=/Users/peter/.pgrx`, `suite_port=28818`, `value=76.6 B`, `value_bytes=77` |
| storage-100k-tq-w75-g50-final15 | storage | storage_index | `access method=ec_ivf`, `index=task124_phase6_tq_100k_coarse_rerank_idx`, `per row=1057.2 B`, `per_row_bytes=1057.2`, `prefix=task124_phase6_tq_100k`, `profile=ec_ivf`, `quant=turboquant`, `reloptions={nlists=64,nprobe=32,training_sample_rows=10000,coarse_format=rabitq,coarse_bits=1,rerank=heap_f32,rerank_placement=index,rerank_format=turboquant,rerank_width=75,rerank_group_width=50,stage2_final_rerank_width=15,storage_format=coarse_rerank}`, `size=100.8 MiB`, `size_bytes=105696461`, `storage_format=turboquant`, `suite_database=tqvector_bench`, `suite_host=/Users/peter/.pgrx`, `suite_port=28818` |
