task124_tq_batch_width_profile backend=neon dim=1536 total_candidates=256000
width=1 iterations=256000 candidates=256000 total=327.71375ms ns_per_candidate=1280.1
width=7 iterations=36571 candidates=255997 total=95.136375ms ns_per_candidate=371.6
width=8 iterations=32000 candidates=256000 total=83.615292ms ns_per_candidate=326.6
width=15 iterations=17066 candidates=255990 total=87.768125ms ns_per_candidate=342.9
width=16 iterations=16000 candidates=256000 total=81.930834ms ns_per_candidate=320.0
width=25 iterations=10240 candidates=256000 total=103.97675ms ns_per_candidate=406.2
width=31 iterations=8258 candidates=255998 total=84.161166ms ns_per_candidate=328.8
width=32 iterations=8000 candidates=256000 total=81.248875ms ns_per_candidate=317.4
width=33 iterations=7757 candidates=255981 total=93.262541ms ns_per_candidate=364.3
width=50 iterations=5120 candidates=256000 total=101.06025ms ns_per_candidate=394.8
width=64 iterations=4000 candidates=256000 total=90.208125ms ns_per_candidate=352.4
width=75 iterations=3413 candidates=255975 total=96.414125ms ns_per_candidate=376.7
width=96 iterations=2666 candidates=255936 total=82.057583ms ns_per_candidate=320.6
width=100 iterations=2560 candidates=256000 total=90.232834ms ns_per_candidate=352.5
width=128 iterations=2000 candidates=256000 total=90.223709ms ns_per_candidate=352.4
width=256 iterations=1000 candidates=256000 total=81.5275ms ns_per_candidate=318.5
