task124_tq_qjl_profile backend=neon dim=1024 total_candidates=192000
width=1 iterations=192000 candidates=192000 total=150.557125ms ns_per_candidate=784.2
width=7 iterations=27428 candidates=191996 total=116.364125ms ns_per_candidate=606.1
width=8 iterations=24000 candidates=192000 total=34.463708ms ns_per_candidate=179.5
width=15 iterations=12800 candidates=192000 total=73.3755ms ns_per_candidate=382.2
width=16 iterations=12000 candidates=192000 total=34.390834ms ns_per_candidate=179.1
width=25 iterations=7680 candidates=192000 total=37.841667ms ns_per_candidate=197.1
width=31 iterations=6193 candidates=191983 total=53.239791ms ns_per_candidate=277.3
width=32 iterations=6000 candidates=192000 total=33.822167ms ns_per_candidate=176.2
width=33 iterations=5818 candidates=191994 total=36.598333ms ns_per_candidate=190.6
width=64 iterations=3000 candidates=192000 total=33.788833ms ns_per_candidate=176.0
width=96 iterations=2000 candidates=192000 total=33.803042ms ns_per_candidate=176.1
width=100 iterations=1920 candidates=192000 total=37.270375ms ns_per_candidate=194.1
width=128 iterations=1500 candidates=192000 total=33.778833ms ns_per_candidate=175.9
