task132 batch_tiled width profile dim=1536 candidate_budget=400000 isa=Neon
width=8 iterations=50000 ns_per_candidate=375.087
width=16 iterations=25000 ns_per_candidate=183.662
width=24 iterations=16666 ns_per_candidate=158.575
width=32 iterations=12500 ns_per_candidate=124.036
width=39 iterations=10256 ns_per_candidate=129.762
width=48 iterations=8333 ns_per_candidate=126.905
width=64 iterations=6250 ns_per_candidate=125.167
width=128 iterations=3125 ns_per_candidate=120.612
width=256 iterations=1562 ns_per_candidate=131.834
width=512 iterations=781 ns_per_candidate=133.171
width=1024 iterations=390 ns_per_candidate=136.351
