cell	step	nprobe	available	selected	skipped	leaf_candidate	truncated	sound_available	sound_missing	candidate_score_nanos
n1024	production-read-k10-geometry-fixed-default	8	9419	9419	0	139050	133400	9419	0	72131593
n1024	production-read-k10-geometry-fixed-default	16	20080	20080	0	298168	292168	20080	0	149887988
n1024	production-read-k10-geometry-fixed-default	32	41240	41229	11	612544	606544	41240	0	301013622
n1024	production-read-k10-geometry-fixed-default	64	83590	73435	10155	1116166	1110166	83590	0	552024265
n1024	production-read-k10-geometry-fixed-default	96	126184	76797	49387	1196856	1190856	126184	0	622545820
n1024	production-read-k10-geometry-ratio4-default	8	9419	9419	0	139050	133400	9419	0	72730399
n1024	production-read-k10-geometry-ratio4-default	16	20080	20080	0	298168	292168	20080	0	148945931
n1024	production-read-k10-geometry-ratio4-default	32	41240	41229	11	612544	606544	41240	0	301208616
n1024	production-read-k10-geometry-ratio4-default	64	83590	73435	10155	1116166	1110166	83590	0	553936170
n1024	production-read-k10-geometry-ratio4-default	96	126184	76797	49387	1196856	1190856	126184	0	622724068
n1024	production-read-k10-geometry-ratio8-default	8	9419	9419	0	139050	133400	9419	0	71845268
n1024	production-read-k10-geometry-ratio8-default	16	20080	20080	0	298168	292168	20080	0	149474040
n1024	production-read-k10-geometry-ratio8-default	32	41240	41229	11	612544	606544	41240	0	305413198
n1024	production-read-k10-geometry-ratio8-default	64	83590	73435	10155	1116166	1110166	83590	0	550693569
n1024	production-read-k10-geometry-ratio8-default	96	126184	76797	49387	1196856	1190856	126184	0	618535564
n128	production-read-k10-geometry-fixed-default	8	80648	61645	19003	981112	975302	80648	0	508765345
n128	production-read-k10-geometry-fixed-default	16	159604	76025	83579	1213663	1207663	159604	0	671347688
n128	production-read-k10-geometry-fixed-default	32	319339	76800	242539	1227780	1221780	319339	0	817845558
n128	production-read-k10-geometry-fixed-default	64	642292	76800	565492	1228091	1222091	642292	0	1076550875
n128	production-read-k10-geometry-fixed-default	96	964963	76800	888163	1228150	1222150	964963	0	1375809142
n128	production-read-k10-geometry-ratio4-default	8	80648	61645	19003	981112	975302	80648	0	514837585
n128	production-read-k10-geometry-ratio4-default	16	159604	76025	83579	1213663	1207663	159604	0	681761466
n128	production-read-k10-geometry-ratio4-default	32	319339	76800	242539	1227780	1221780	319339	0	810115810
n128	production-read-k10-geometry-ratio4-default	64	642292	76800	565492	1228091	1222091	642292	0	1078468021
n128	production-read-k10-geometry-ratio4-default	96	964963	76800	888163	1228150	1222150	964963	0	1368607160
n128	production-read-k10-geometry-ratio8-default	8	80648	61645	19003	981112	975302	80648	0	514831286
n128	production-read-k10-geometry-ratio8-default	16	159604	76025	83579	1213663	1207663	159604	0	674746948
n128	production-read-k10-geometry-ratio8-default	32	319339	76800	242539	1227780	1221780	319339	0	805738994
n128	production-read-k10-geometry-ratio8-default	64	642292	76800	565492	1228091	1222091	642292	0	1084827890
n128	production-read-k10-geometry-ratio8-default	96	964963	76800	888163	1228150	1222150	964963	0	1370080303
