kind	step	profile	prefix	probe_or_ef	recall	p50	p95	backend_build_profile	backend_node_profiles
recall	recall-10k-ivf-control	ec_ivf	t146_anchor_10k_ivf	16	1.0000			release	coordinator:28818:release
recall	recall-10k-ivf-control	ec_ivf	t146_anchor_10k_ivf	24	1.0000			release	coordinator:28818:release
recall	recall-10k-ivf-control	ec_ivf	t146_anchor_10k_ivf	32	1.0000			release	coordinator:28818:release
latency	latency-10k-ivf-control	ec_ivf	t146_anchor_10k_ivf	16		17.3 ms	18.4 ms	release	coordinator:28818:release
latency	latency-10k-ivf-control	ec_ivf	t146_anchor_10k_ivf	24		17.7 ms	19.0 ms	release	coordinator:28818:release
latency	latency-10k-ivf-control	ec_ivf	t146_anchor_10k_ivf	32		18.3 ms	20.5 ms	release	coordinator:28818:release
recall	recall-10k-hnsw-control	ec_hnsw	t146_anchor_10k_hnsw	64	0.9620			release	coordinator:28818:release
recall	recall-10k-hnsw-control	ec_hnsw	t146_anchor_10k_hnsw	128	0.9935			release	coordinator:28818:release
recall	recall-10k-hnsw-control	ec_hnsw	t146_anchor_10k_hnsw	200	0.9950			release	coordinator:28818:release
recall	recall-10k-hnsw-control	ec_hnsw	t146_anchor_10k_hnsw	400	0.9960			release	coordinator:28818:release
latency	latency-10k-hnsw-control	ec_hnsw	t146_anchor_10k_hnsw	64		3.99 ms	4.59 ms	release	coordinator:28818:release
latency	latency-10k-hnsw-control	ec_hnsw	t146_anchor_10k_hnsw	128		5.28 ms	6.22 ms	release	coordinator:28818:release
latency	latency-10k-hnsw-control	ec_hnsw	t146_anchor_10k_hnsw	200		6.45 ms	7.56 ms	release	coordinator:28818:release
latency	latency-10k-hnsw-control	ec_hnsw	t146_anchor_10k_hnsw	400		9.42 ms	10.8 ms	release	coordinator:28818:release
recall	recall-50k-ivf-control	ec_ivf	t146_anchor_50k_ivf	32	0.9900			release	coordinator:28818:release
recall	recall-50k-ivf-control	ec_ivf	t146_anchor_50k_ivf	48	0.9975			release	coordinator:28818:release
