2026-08-21 22:49:00.686 PDT [74077] LOG:  registered custom cumulative statistics "ecaz" with ID 25
2026-08-21 22:49:00.698 PDT [74077] LOG:  starting PostgreSQL 18.3 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0, 64-bit
2026-08-21 22:49:00.698 PDT [74077] LOG:  listening on IPv4 address "127.0.0.1", port 41600
2026-08-21 22:49:00.708 PDT [74083] LOG:  database system was shut down at 2026-08-21 22:48:58 PDT
2026-08-21 22:49:00.720 PDT [74077] LOG:  database system is ready to accept connections
2026-08-21 22:49:02.352 PDT [74136] WARNING:  ec_distann ambuild expects unit-normalized source vectors for the exact 1-ip build distance; sampled ||v|| = 2.0852 at position 0
2026-08-21 22:49:05.506 PDT [74184] WARNING:  ec_distann ambuild expects unit-normalized source vectors for the exact 1-ip build distance; sampled ||v|| = 2.0852 at position 0
2026-08-21 22:49:06.253 PDT [74192] ERROR:  ec_distann physical aminsert failed: EC_FAULT_INJECTED: physical insert failed after graph append before backlinks
2026-08-21 22:49:06.253 PDT [74192] STATEMENT:  SET ec_distann.debug_fail_insert=true; INSERT INTO mi VALUES (501,'00000000-0000-4000-8000-000000000501',(SELECT array_agg((sin(501 * 0.017 * (d + 1)) + cos(501 * 0.0031 * (d + 1)))::real)FROM generate_series(0, 4 - 1) d), encode_to_ecvector((SELECT array_agg((sin(501 * 0.017 * (d + 1)) + cos(501 * 0.0031 * (d + 1)))::real) FROM generate_series(0, 4 - 1) AS d), 4, 42));
2026-08-21 22:49:06.954 PDT [74244] ERROR:  [EC_PLACEMENT] vec_id 0xb5c08057d4068baf belongs to roster ordinal 2, not 0
2026-08-21 22:49:06.954 PDT [74244] STATEMENT:  SET ec_distann.roster='1@host=127.0.0.1 port=41600 dbname=postgres user=postgres options=-cstatement_timeout=3600000;2@host=127.0.0.1 port=41601 dbname=postgres user=postgres options=-cstatement_timeout=3600000;3@host=127.0.0.1 port=41602 dbname=postgres user=postgres options=-cstatement_timeout=3600000'; SET ec_distann.local_node_id=1; SELECT vec_id::text || '|' || COALESCE(array_to_string(neighbor_vec_ids, ','), '') FROM ec_distann_expand_physical_nodes('public.dm_idx'::regclass, decode('020033bcf489ec27ea1b7055182d6476c3a3889e1dfb61058275b08dc8fdee31902b', 'hex'), ARRAY[0,0,0,0]::real[], ARRAY[-5350135242608440401]::bigint[], NULL, NULL);
2026-08-21 22:49:13.241 PDT [74077] LOG:  received fast shutdown request
2026-08-21 22:49:13.273 PDT [74077] LOG:  aborting any active transactions
2026-08-21 22:49:13.274 PDT [74077] LOG:  background worker "logical replication launcher" (PID 74086) exited with exit code 1
2026-08-21 22:49:13.274 PDT [74081] LOG:  shutting down
2026-08-21 22:49:13.278 PDT [74081] LOG:  checkpoint starting: shutdown immediate
2026-08-21 22:49:13.611 PDT [74081] LOG:  checkpoint complete: wrote 675 buffers (4.1%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.011 s, sync=0.305 s, total=0.337 s; sync files=289, longest=0.008 s, average=0.002 s; distance=5842 kB, estimate=5842 kB; lsn=0/1D09030, redo lsn=0/1D09030
2026-08-21 22:49:13.624 PDT [74077] LOG:  database system is shut down
