2026-07-27 21:14:55.971 PDT [589578] LOG:  registered custom cumulative statistics "ecaz" with ID 25
2026-07-27 21:14:55.982 PDT [589578] LOG:  starting PostgreSQL 18.3 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0, 64-bit
2026-07-27 21:14:55.982 PDT [589578] LOG:  listening on IPv4 address "127.0.0.1", port 42080
2026-07-27 21:14:55.988 PDT [589585] LOG:  database system was shut down at 2026-07-27 21:13:14 PDT
2026-07-27 21:14:55.992 PDT [589578] LOG:  database system is ready to accept connections
2026-07-27 21:15:17.987 PDT [589770] FATAL:  role "peter" does not exist
2026-07-27 21:15:26.957 PDT [589846] LOG:  logging memory contexts of PID 589846
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 1; TopMemoryContext: 99488 total in 5 blocks; 3240 free (10 chunks); 96248 used
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 2; search_path processing cache: 8192 total in 1 blocks; 5616 free (8 chunks); 2576 used
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 2; RowDescriptionContext: 8192 total in 1 blocks; 6912 free (0 chunks); 1280 used
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 2; MessageContext: 16384 total in 2 blocks; 3552 free (0 chunks); 12832 used
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 3; per-parsetree message context: 8192 total in 1 blocks; 160 free (0 chunks); 8032 used
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 2; Operator class cache: 8192 total in 1 blocks; 576 free (0 chunks); 7616 used
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 2; smgr relation table: 16384 total in 2 blocks; 4616 free (2 chunks); 11768 used
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 2; PgStat Shared Ref Hash: 9280 total in 2 blocks; 704 free (0 chunks); 8576 used
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 2; PgStat Shared Ref: 4096 total in 3 blocks; 1536 free (2 chunks); 2560 used
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 2; PgStat Pending: 8192 total in 4 blocks; 5928 free (19 chunks); 2264 used
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 2; TopTransactionContext: 8192 total in 1 blocks; 7760 free (1 chunks); 432 used
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 2; TransactionAbortContext: 32768 total in 1 blocks; 32528 free (0 chunks); 240 used
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 2; Portal hash: 8192 total in 1 blocks; 576 free (0 chunks); 7616 used
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 2; TopPortalContext: 8192 total in 1 blocks; 7680 free (0 chunks); 512 used
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 3; PortalContext: 1024 total in 1 blocks; 616 free (0 chunks); 408 used: <unnamed>
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 4; ExecutorState: 8192 total in 1 blocks; 3368 free (0 chunks); 4824 used
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 5; printtup: 8192 total in 1 blocks; 7952 free (0 chunks); 240 used
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 5; ExprContext: 8192 total in 1 blocks; 7952 free (0 chunks); 240 used
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 2; Relcache by OID: 16384 total in 2 blocks; 3528 free (2 chunks); 12856 used
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 2; CacheMemoryContext: 524288 total in 7 blocks; 93488 free (1 chunks); 430800 used
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 3; index info: 3072 total in 2 blocks; 1032 free (1 chunks); 2040 used: pg_db_role_setting_databaseid_rol_index
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 3; index info: 3072 total in 2 blocks; 1120 free (1 chunks); 1952 used: pg_opclass_am_name_nsp_index
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 3; index info: 2048 total in 2 blocks; 720 free (3 chunks); 1328 used: pg_foreign_data_wrapper_name_index
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 3; index info: 2048 total in 2 blocks; 752 free (2 chunks); 1296 used: pg_enum_oid_index
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 3; index info: 3072 total in 2 blocks; 1224 free (3 chunks); 1848 used: pg_class_relname_nsp_index
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 3; index info: 2048 total in 2 blocks; 752 free (2 chunks); 1296 used: pg_foreign_server_oid_index
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 3; index info: 2048 total in 2 blocks; 752 free (2 chunks); 1296 used: pg_publication_pubname_index
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 3; index info: 3072 total in 2 blocks; 1088 free (2 chunks); 1984 used: pg_statistic_relid_att_inh_index
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 3; index info: 3072 total in 2 blocks; 1224 free (3 chunks); 1848 used: pg_cast_source_target_index
2026-07-27 21:15:26.957 PDT [589846] LOG:  level: 3; index info: 2048 total in 2 blocks; 752 free (2 chunks); 1296 used: pg_language_name_index
2026-07-27 21:15:26.958 PDT [589846] LOG:  level: 3; index info: 2048 total in 2 blocks; 752 free (2 chunks); 1296 used: pg_transform_oid_index
2026-07-27 21:15:26.958 PDT [589846] LOG:  level: 3; index info: 2048 total in 2 blocks; 752 free (2 chunks); 1296 used: pg_collation_oid_index
2026-07-27 21:15:26.958 PDT [589846] LOG:  level: 3; index info: 2240 total in 2 blocks; 152 free (0 chunks); 2088 used: pg_amop_fam_strat_index
2026-07-27 21:15:26.958 PDT [589846] LOG:  level: 3; index info: 2048 total in 2 blocks; 592 free (2 chunks); 1456 used: pg_index_indexrelid_index
2026-07-27 21:15:26.958 PDT [589846] LOG:  level: 3; index info: 3072 total in 2 blocks; 1224 free (3 chunks); 1848 used: pg_ts_template_tmplname_index
2026-07-27 21:15:26.958 PDT [589846] LOG:  level: 3; index info: 3072 total in 2 blocks; 1120 free (1 chunks); 1952 used: pg_ts_config_map_index
2026-07-27 21:15:26.958 PDT [589846] LOG:  level: 3; index info: 2048 total in 2 blocks; 592 free (2 chunks); 1456 used: pg_opclass_oid_index
2026-07-27 21:15:26.958 PDT [589846] LOG:  level: 3; index info: 2048 total in 2 blocks; 720 free (3 chunks); 1328 used: pg_foreign_data_wrapper_oid_index
2026-07-27 21:15:26.958 PDT [589846] LOG:  level: 3; index info: 2048 total in 2 blocks; 720 free (3 chunks); 1328 used: pg_publication_namespace_oid_index
2026-07-27 21:15:26.958 PDT [589846] LOG:  level: 3; index info: 2048 total in 2 blocks; 752 free (2 chunks); 1296 used: pg_event_trigger_evtname_index
2026-07-27 21:15:26.958 PDT [589846] LOG:  level: 3; index info: 3072 total in 2 blocks; 1224 free (3 chunks); 1848 used: pg_statistic_ext_name_index
2026-07-27 21:15:26.958 PDT [589846] LOG:  level: 3; index info: 2048 total in 2 blocks; 752 free (2 chunks); 1296 used: pg_publication_oid_index
