2026-07-28 10:13:17.370 PDT [640373] LOG:  registered custom cumulative statistics "ecaz" with ID 25
2026-07-28 10:13:17.382 PDT [640373] LOG:  starting PostgreSQL 18.3 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0, 64-bit
2026-07-28 10:13:17.382 PDT [640373] LOG:  listening on IPv4 address "127.0.0.1", port 42080
2026-07-28 10:13:17.388 PDT [640380] LOG:  database system was shut down at 2026-07-28 10:13:04 PDT
2026-07-28 10:13:17.392 PDT [640373] LOG:  database system is ready to accept connections
2026-07-28 10:13:24.812 PDT [640467] ERROR:  [EC_GENERATION_MISSING] physical seed graph record decode failed: Datum error: Postgres type bytea (Oid(17)) is not compatible with the Rust type pgrx_pg_sys::submodules::datum::Datum (Oid(20))
2026-07-28 10:13:24.812 PDT [640467] STATEMENT:  BEGIN; SELECT count(*) FROM (SELECT q.id, c.* FROM task179_physical_100k_queries q CROSS JOIN LATERAL ec_distann_physical_seed_coverage_benchmark('dm_idx'::regclass, q.source, 32, 32) c ORDER BY q.id LIMIT 200) coverage; SELECT pg_log_backend_memory_contexts(pg_backend_pid()); COMMIT;
2026-07-28 10:18:17.923 PDT [640378] LOG:  checkpoint starting: time
2026-07-28 10:18:17.941 PDT [640378] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.003 s, total=0.018 s; sync files=2, longest=0.002 s, average=0.001 s; distance=0 kB, estimate=0 kB; lsn=0/B3C17E28, redo lsn=0/B3C17DD0
2026-07-28 10:20:22.349 PDT [640373] LOG:  received fast shutdown request
2026-07-28 10:20:22.356 PDT [640373] LOG:  aborting any active transactions
2026-07-28 10:20:22.357 PDT [640373] LOG:  background worker "logical replication launcher" (PID 640383) exited with exit code 1
2026-07-28 10:20:22.357 PDT [640378] LOG:  shutting down
2026-07-28 10:20:22.360 PDT [640378] LOG:  checkpoint starting: shutdown immediate
2026-07-28 10:20:22.380 PDT [640378] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.001 s, total=0.023 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/B3C17ED8, redo lsn=0/B3C17ED8
2026-07-28 10:20:22.402 PDT [640373] LOG:  database system is shut down
2026-07-28 10:20:34.635 PDT [642582] LOG:  registered custom cumulative statistics "ecaz" with ID 25
2026-07-28 10:20:34.646 PDT [642582] LOG:  starting PostgreSQL 18.3 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0, 64-bit
2026-07-28 10:20:34.646 PDT [642582] LOG:  listening on IPv4 address "127.0.0.1", port 42080
2026-07-28 10:20:34.653 PDT [642589] LOG:  database system was shut down at 2026-07-28 10:20:22 PDT
2026-07-28 10:20:34.657 PDT [642582] LOG:  database system is ready to accept connections
2026-07-28 10:25:34.431 PDT [642587] LOG:  checkpoint starting: time
2026-07-28 10:25:34.450 PDT [642587] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.003 s, total=0.020 s; sync files=2, longest=0.002 s, average=0.002 s; distance=0 kB, estimate=0 kB; lsn=0/B3C17FE0, redo lsn=0/B3C17F88
2026-07-28 10:27:49.657 PDT [642691] LOG:  logging memory contexts of PID 642691
2026-07-28 10:27:49.657 PDT [642691] LOG:  level: 1; TopMemoryContext: 132256 total in 6 blocks; 27328 free (14 chunks); 104928 used
2026-07-28 10:27:49.657 PDT [642691] LOG:  level: 2; Operator lookup cache: 24576 total in 2 blocks; 10776 free (3 chunks); 13800 used
2026-07-28 10:27:49.657 PDT [642691] LOG:  level: 2; CFuncHash: 8192 total in 1 blocks; 576 free (0 chunks); 7616 used
2026-07-28 10:27:49.657 PDT [642691] LOG:  level: 2; TableSpace cache: 8192 total in 1 blocks; 2112 free (0 chunks); 6080 used
2026-07-28 10:27:49.657 PDT [642691] LOG:  level: 2; Map from relid to OID of cached composite type: 8192 total in 1 blocks; 2512 free (0 chunks); 5680 used
2026-07-28 10:27:49.657 PDT [642691] LOG:  level: 2; Type information cache: 24640 total in 2 blocks; 2640 free (0 chunks); 22000 used
2026-07-28 10:27:49.657 PDT [642691] LOG:  level: 2; Record information cache: 8192 total in 1 blocks; 1600 free (0 chunks); 6592 used
2026-07-28 10:27:49.657 PDT [642691] LOG:  level: 2; search_path processing cache: 8192 total in 1 blocks; 5408 free (9 chunks); 2784 used
2026-07-28 10:27:49.657 PDT [642691] LOG:  level: 2; RowDescriptionContext: 8192 total in 1 blocks; 6912 free (0 chunks); 1280 used
2026-07-28 10:27:49.657 PDT [642691] LOG:  level: 2; MessageContext: 16384 total in 2 blocks; 7488 free (0 chunks); 8896 used
2026-07-28 10:27:49.657 PDT [642691] LOG:  level: 3; per-parsetree message context: 8192 total in 1 blocks; 640 free (0 chunks); 7552 used
2026-07-28 10:27:49.657 PDT [642691] LOG:  level: 2; Operator class cache: 8192 total in 1 blocks; 576 free (0 chunks); 7616 used
2026-07-28 10:27:49.657 PDT [642691] LOG:  level: 2; PgStat Shared Ref Hash: 9280 total in 2 blocks; 704 free (0 chunks); 8576 used
2026-07-28 10:27:49.657 PDT [642691] LOG:  level: 2; PgStat Shared Ref: 16384 total in 5 blocks; 8064 free (3 chunks); 8320 used
2026-07-28 10:27:49.657 PDT [642691] LOG:  level: 2; PgStat Pending: 32768 total in 7 blocks; 7264 free (14 chunks); 25504 used
2026-07-28 10:27:49.658 PDT [642691] LOG:  level: 2; smgr relation table: 32768 total in 3 blocks; 8624 free (8 chunks); 24144 used
2026-07-28 10:27:49.658 PDT [642691] LOG:  level: 2; TopTransactionContext: 142606336 total in 27 blocks; 3509472 free (87 chunks); 139096864 used
2026-07-28 10:27:49.658 PDT [642691] LOG:  level: 2; TransactionAbortContext: 32768 total in 1 blocks; 32528 free (0 chunks); 240 used
2026-07-28 10:27:49.658 PDT [642691] LOG:  level: 2; Portal hash: 8192 total in 1 blocks; 576 free (0 chunks); 7616 used
2026-07-28 10:27:49.658 PDT [642691] LOG:  level: 2; TopPortalContext: 8192 total in 1 blocks; 7680 free (0 chunks); 512 used
2026-07-28 10:27:49.658 PDT [642691] LOG:  level: 3; PortalContext: 1024 total in 1 blocks; 616 free (0 chunks); 408 used: <unnamed>
2026-07-28 10:27:49.658 PDT [642691] LOG:  level: 4; ExecutorState: 8192 total in 1 blocks; 3560 free (0 chunks); 4632 used
2026-07-28 10:27:49.658 PDT [642691] LOG:  level: 5; printtup: 8192 total in 1 blocks; 7952 free (0 chunks); 240 used
2026-07-28 10:27:49.658 PDT [642691] LOG:  level: 5; ExprContext: 8192 total in 1 blocks; 7952 free (0 chunks); 240 used
2026-07-28 10:27:49.658 PDT [642691] LOG:  level: 2; Relcache by OID: 16384 total in 2 blocks; 2488 free (2 chunks); 13896 used
2026-07-28 10:27:49.658 PDT [642691] LOG:  level: 2; CacheMemoryContext: 2118512 total in 10 blocks; 1006960 free (2 chunks); 1111552 used
