2026-07-31 13:45:14.613 PDT [149753] LOG:  registered custom cumulative statistics "ecaz" with ID 25
2026-07-31 13:45:14.628 PDT [149753] LOG:  starting PostgreSQL 18.3 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0, 64-bit
2026-07-31 13:45:14.628 PDT [149753] LOG:  listening on IPv4 address "127.0.0.1", port 42642
2026-07-31 13:45:14.639 PDT [149759] LOG:  database system was shut down at 2026-07-31 13:45:14 PDT
2026-07-31 13:45:14.646 PDT [149753] LOG:  database system is ready to accept connections
2026-07-31 13:50:14.761 PDT [149757] LOG:  checkpoint starting: time
2026-07-31 13:51:01.298 PDT [149757] LOG:  checkpoint complete: wrote 481 buffers (2.9%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=46.431 s, sync=0.087 s, total=46.537 s; sync files=261, longest=0.020 s, average=0.001 s; distance=3992 kB, estimate=3992 kB; lsn=0/1B3A8C0, redo lsn=0/1B3A830
2026-07-31 13:58:47.166 PDT [150356] LOG:  skipping analyze of "_ecdz_graph_17746_71717171717141718171717171717171" --- lock not available
2026-07-31 13:59:46.435 PDT [150407] ERROR:  canceling autovacuum task
2026-07-31 13:59:46.435 PDT [150407] CONTEXT:  automatic vacuum of table "postgres.public._ecdz_row_17746_71717171717141718171717171717171"
2026-07-31 13:59:46.436 PDT [150407] LOG:  skipping vacuum of "_ecdz_graph_17746_71717171717141718171717171717171" --- lock not available
2026-07-31 14:00:14.022 PDT [149757] LOG:  checkpoint starting: time
2026-07-31 14:00:45.797 PDT [150469] ERROR:  canceling autovacuum task
2026-07-31 14:00:45.797 PDT [150469] CONTEXT:  automatic vacuum of table "postgres.public._ecdz_row_17746_71717171717141718171717171717171"
2026-07-31 14:00:45.799 PDT [150469] LOG:  skipping vacuum of "_ecdz_graph_17746_71717171717141718171717171717171" --- lock not available
2026-07-31 14:04:44.173 PDT [149757] LOG:  checkpoint complete: wrote 81 buffers (0.5%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 29 recycled; write=269.994 s, sync=0.038 s, total=270.152 s; sync files=62, longest=0.002 s, average=0.001 s; distance=476669 kB, estimate=476669 kB; lsn=0/31B54EF8, redo lsn=0/1ECB9C50
2026-07-31 14:05:14.205 PDT [149757] LOG:  checkpoint starting: time
2026-07-31 14:05:14.275 PDT [149757] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 19 recycled; write=0.004 s, sync=0.006 s, total=0.071 s; sync files=5, longest=0.002 s, average=0.002 s; distance=309871 kB, estimate=459989 kB; lsn=0/31B55BF0, redo lsn=0/31B55B98
2026-07-31 14:10:14.282 PDT [149757] LOG:  checkpoint starting: time
2026-07-31 14:14:43.794 PDT [149757] LOG:  checkpoint complete: wrote 2832 buffers (17.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=269.456 s, sync=0.028 s, total=269.512 s; sync files=26, longest=0.014 s, average=0.002 s; distance=19287 kB, estimate=415919 kB; lsn=0/32E2BB98, redo lsn=0/32E2BB08
2026-07-31 14:15:14.809 PDT [149757] LOG:  checkpoint starting: time
2026-07-31 14:15:15.046 PDT [149757] LOG:  checkpoint complete: wrote 1 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.117 s, sync=0.071 s, total=0.238 s; sync files=1, longest=0.071 s, average=0.071 s; distance=2 kB, estimate=374327 kB; lsn=0/32E2C580, redo lsn=0/32E2C528
2026-07-31 14:16:15.770 PDT [149753] LOG:  received fast shutdown request
2026-07-31 14:16:15.781 PDT [149753] LOG:  aborting any active transactions
2026-07-31 14:16:15.782 PDT [149753] LOG:  background worker "logical replication launcher" (PID 149762) exited with exit code 1
2026-07-31 14:16:15.785 PDT [149757] LOG:  shutting down
2026-07-31 14:16:15.790 PDT [149757] LOG:  checkpoint starting: shutdown immediate
2026-07-31 14:16:15.807 PDT [149757] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.001 s, total=0.023 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=336894 kB; lsn=0/32E2C630, redo lsn=0/32E2C630
2026-07-31 14:16:15.832 PDT [149753] LOG:  database system is shut down
