[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=0 rss_kb=20064 hwm_kb=20064
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=26 rss_kb=33196 hwm_kb=33196
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=53 rss_kb=63388 hwm_kb=63388
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=79 rss_kb=79956 hwm_kb=79956
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=106 rss_kb=108072 hwm_kb=108072
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=132 rss_kb=141540 hwm_kb=141540
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=158 rss_kb=146296 hwm_kb=154380
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=185 rss_kb=146296 hwm_kb=154380
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=211 rss_kb=146296 hwm_kb=154380
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=238 rss_kb=146296 hwm_kb=154380
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=263 rss_kb=146296 hwm_kb=154380
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=290 rss_kb=146296 hwm_kb=154380
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=317 rss_kb=146296 hwm_kb=154380
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=345 rss_kb=146296 hwm_kb=154380
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=370 rss_kb=146296 hwm_kb=154380
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=397 rss_kb=146296 hwm_kb=154380
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=423 rss_kb=146296 hwm_kb=154380
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=450 rss_kb=146296 hwm_kb=154380
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=476 rss_kb=146296 hwm_kb=154380
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=501 rss_kb=146296 hwm_kb=154380
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=528 rss_kb=146296 hwm_kb=154380
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=554 rss_kb=146296 hwm_kb=154380
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=581 rss_kb=146296 hwm_kb=154380
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=607 rss_kb=146296 hwm_kb=154380
[backend-memory] sweep=top_k=32 pid=951893 elapsed_ms=634 rss_kb=146296 hwm_kb=154380
