[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=0 rss_kb=19952 hwm_kb=19952
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=26 rss_kb=37544 hwm_kb=37544
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=53 rss_kb=73540 hwm_kb=73540
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=79 rss_kb=103368 hwm_kb=103368
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=105 rss_kb=144520 hwm_kb=144520
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=132 rss_kb=146204 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=158 rss_kb=146204 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=184 rss_kb=146204 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=211 rss_kb=146204 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=237 rss_kb=146204 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=263 rss_kb=146204 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=290 rss_kb=146204 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=316 rss_kb=146204 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=343 rss_kb=146204 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=369 rss_kb=146204 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=395 rss_kb=146204 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=422 rss_kb=146204 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=448 rss_kb=146204 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=475 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=501 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=527 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=554 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=580 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=607 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=633 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=659 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=686 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=712 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=738 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=765 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=791 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=817 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=844 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=870 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=897 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=923 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=950 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=976 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1001 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1028 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1054 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1081 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1107 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1133 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1160 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1186 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1213 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1239 rss_kb=146524 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1265 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1292 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1318 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1345 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1371 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1398 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1424 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1450 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1477 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1503 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1530 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1556 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1583 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1609 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1636 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1662 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1688 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1715 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1741 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1768 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1794 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1820 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1847 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1873 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1900 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1926 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1953 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=1979 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=2006 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=2032 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=2059 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=2085 rss_kb=147668 hwm_kb=154652
[backend-memory] sweep=top_k=32 pid=951927 elapsed_ms=2112 rss_kb=147668 hwm_kb=154652
