2026-08-24 07:59:56.318 PDT [1440018] LOG:  registered custom cumulative statistics "ecaz" with ID 25
2026-08-24 07:59:56.330 PDT [1440018] LOG:  starting PostgreSQL 18.3 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0, 64-bit
2026-08-24 07:59:56.330 PDT [1440018] LOG:  listening on IPv4 address "127.0.0.1", port 43701
2026-08-24 07:59:56.339 PDT [1440024] LOG:  database system was shut down at 2026-08-24 07:20:45 PDT
2026-08-24 07:59:56.348 PDT [1440018] LOG:  database system is ready to accept connections
2026-08-24 08:02:10.172 PDT [1440018] LOG:  received fast shutdown request
2026-08-24 08:02:10.198 PDT [1440018] LOG:  aborting any active transactions
2026-08-24 08:02:10.199 PDT [1440018] LOG:  background worker "logical replication launcher" (PID 1440027) exited with exit code 1
2026-08-24 08:02:10.199 PDT [1440022] LOG:  shutting down
2026-08-24 08:02:10.204 PDT [1440022] LOG:  checkpoint starting: shutdown immediate
2026-08-24 08:02:10.228 PDT [1440022] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.007 s, sync=0.003 s, total=0.029 s; sync files=2, longest=0.002 s, average=0.002 s; distance=0 kB, estimate=0 kB; lsn=0/324862A0, redo lsn=0/324862A0
2026-08-24 08:02:10.248 PDT [1440018] LOG:  database system is shut down
2026-08-24 08:15:44.898 PDT [1447282] LOG:  registered custom cumulative statistics "ecaz" with ID 25
2026-08-24 08:15:44.910 PDT [1447282] LOG:  starting PostgreSQL 18.3 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0, 64-bit
2026-08-24 08:15:44.910 PDT [1447282] LOG:  listening on IPv4 address "127.0.0.1", port 43701
2026-08-24 08:15:44.918 PDT [1447288] LOG:  database system was shut down at 2026-08-24 08:02:10 PDT
2026-08-24 08:15:44.925 PDT [1447282] LOG:  database system is ready to accept connections
2026-08-24 08:20:44.828 PDT [1447286] LOG:  checkpoint starting: time
2026-08-24 08:20:44.863 PDT [1447286] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.008 s, sync=0.004 s, total=0.035 s; sync files=2, longest=0.003 s, average=0.002 s; distance=0 kB, estimate=0 kB; lsn=0/324863A8, redo lsn=0/32486350
2026-08-24 09:04:46.935 PDT [1447282] LOG:  received fast shutdown request
2026-08-24 09:04:46.940 PDT [1447282] LOG:  aborting any active transactions
2026-08-24 09:04:46.941 PDT [1447282] LOG:  background worker "logical replication launcher" (PID 1447291) exited with exit code 1
2026-08-24 09:04:46.941 PDT [1447286] LOG:  shutting down
2026-08-24 09:04:46.945 PDT [1447286] LOG:  checkpoint starting: shutdown immediate
