[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=0 rss_kb=20036 hwm_kb=20036
[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=26 rss_kb=36400 hwm_kb=36400
[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=52 rss_kb=72136 hwm_kb=72136
[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=79 rss_kb=102024 hwm_kb=102024
[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=105 rss_kb=143304 hwm_kb=143304
[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=131 rss_kb=146784 hwm_kb=155116
[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=158 rss_kb=146784 hwm_kb=155116
[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=184 rss_kb=146784 hwm_kb=155116
[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=211 rss_kb=146784 hwm_kb=155116
[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=237 rss_kb=146784 hwm_kb=155116
[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=263 rss_kb=146784 hwm_kb=155116
[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=290 rss_kb=146784 hwm_kb=155116
[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=316 rss_kb=146784 hwm_kb=155116
[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=343 rss_kb=146784 hwm_kb=155116
[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=369 rss_kb=146784 hwm_kb=155116
[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=395 rss_kb=146784 hwm_kb=155116
[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=422 rss_kb=146784 hwm_kb=155116
[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=448 rss_kb=146784 hwm_kb=155116
[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=475 rss_kb=146784 hwm_kb=155116
[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=501 rss_kb=147104 hwm_kb=155116
[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=527 rss_kb=147104 hwm_kb=155116
[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=554 rss_kb=147104 hwm_kb=155116
[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=580 rss_kb=147104 hwm_kb=155116
[backend-memory] sweep=top_k=32 pid=981731 elapsed_ms=607 rss_kb=147104 hwm_kb=155116
