[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=0 rss_kb=20328 hwm_kb=20328
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=26 rss_kb=42796 hwm_kb=42796
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=52 rss_kb=76160 hwm_kb=76160
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=79 rss_kb=114084 hwm_kb=114084
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=105 rss_kb=149280 hwm_kb=149280
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=132 rss_kb=145212 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=158 rss_kb=145212 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=184 rss_kb=145212 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=210 rss_kb=145212 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=237 rss_kb=145212 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=264 rss_kb=145212 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=290 rss_kb=145212 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=317 rss_kb=145212 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=343 rss_kb=145212 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=370 rss_kb=145212 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=396 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=423 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=449 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=474 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=501 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=527 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=554 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=580 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=607 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=633 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=660 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=686 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=713 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=739 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=766 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=792 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=819 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=845 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=872 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=898 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=925 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=951 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=978 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1004 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1031 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1057 rss_kb=145532 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1084 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1110 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1137 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1163 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1188 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1215 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1241 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1268 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1294 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1321 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1348 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1374 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1401 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1427 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1454 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1480 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1507 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1533 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1560 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1586 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1613 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1639 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1666 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1692 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1719 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1745 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1772 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1798 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1825 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1851 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1878 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1904 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1931 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1957 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=1984 rss_kb=146560 hwm_kb=153604
[backend-memory] sweep=top_k=32 pid=999019 elapsed_ms=2010 rss_kb=146560 hwm_kb=153604
