[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=0 rss_kb=20096 hwm_kb=20096
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=26 rss_kb=40620 hwm_kb=40620
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=53 rss_kb=74128 hwm_kb=74128
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=79 rss_kb=112548 hwm_kb=112548
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=106 rss_kb=149476 hwm_kb=149476
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=132 rss_kb=146560 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=159 rss_kb=146560 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=185 rss_kb=146560 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=211 rss_kb=146560 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=238 rss_kb=146560 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=264 rss_kb=146560 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=291 rss_kb=146560 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=317 rss_kb=146560 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=344 rss_kb=146560 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=370 rss_kb=146560 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=397 rss_kb=146560 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=423 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=450 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=476 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=503 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=529 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=556 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=582 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=609 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=635 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=661 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=687 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=713 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=739 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=765 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=791 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=818 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=844 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=871 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=897 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=924 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=951 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=977 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1003 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1030 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1057 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1083 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1110 rss_kb=146880 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1136 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1163 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1189 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1215 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1242 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1268 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1295 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1322 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1348 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1375 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1401 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1428 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1454 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1481 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1507 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1534 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1560 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1587 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1614 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1640 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1667 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1693 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1720 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1746 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1773 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1799 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1826 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1852 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1879 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1905 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1932 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1958 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=1985 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=2011 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=2038 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=2064 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=2091 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=2117 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=2143 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=2169 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=2195 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=2221 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=2248 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=2274 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=2301 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=2327 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=2354 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=2380 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=2407 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=2433 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=2460 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=2486 rss_kb=147904 hwm_kb=155016
[backend-memory] sweep=top_k=32 pid=1014047 elapsed_ms=2513 rss_kb=147904 hwm_kb=155016
