[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=0 rss_kb=19936 hwm_kb=19936
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=26 rss_kb=41672 hwm_kb=41672
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=53 rss_kb=74000 hwm_kb=74000
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=79 rss_kb=110984 hwm_kb=110984
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=105 rss_kb=148296 hwm_kb=148296
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=132 rss_kb=146340 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=159 rss_kb=146340 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=184 rss_kb=146340 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=211 rss_kb=146340 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=236 rss_kb=146340 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=263 rss_kb=146340 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=289 rss_kb=146340 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=316 rss_kb=146340 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=342 rss_kb=146340 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=369 rss_kb=146340 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=395 rss_kb=146660 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=421 rss_kb=146660 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=448 rss_kb=146660 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=473 rss_kb=146660 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=499 rss_kb=146660 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=526 rss_kb=146660 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=552 rss_kb=146660 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=579 rss_kb=146660 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=605 rss_kb=146660 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=632 rss_kb=146660 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=658 rss_kb=146660 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=685 rss_kb=146660 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=711 rss_kb=146660 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=738 rss_kb=146660 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=764 rss_kb=146660 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=790 rss_kb=146660 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=817 rss_kb=146660 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=843 rss_kb=146660 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=870 rss_kb=146660 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=896 rss_kb=146660 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=923 rss_kb=146660 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=949 rss_kb=146660 hwm_kb=154860
[backend-memory] sweep=top_k=32 pid=1014101 elapsed_ms=976 rss_kb=146660 hwm_kb=154860
