2026-05-10 17:20:13.591 PDT [1966263] LOG:  starting PostgreSQL 18.3 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0, 64-bit
2026-05-10 17:20:13.593 PDT [1966263] LOG:  listening on Unix socket "/home/peter/dev/ecaz/target/spire-stage-e-transport-fault-pg18-30785/sockets/.s.PGSQL.39324"
2026-05-10 17:20:13.598 PDT [1966269] LOG:  database system was shut down at 2026-05-10 17:20:12 PDT
2026-05-10 17:20:13.602 PDT [1966263] LOG:  database system is ready to accept connections
2026-05-10 17:20:14.016 PDT [1966294] ERROR:  canceling statement due to user request
2026-05-10 17:20:14.016 PDT [1966294] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-10 17:20:14.016 PDT [1966294] LOG:  could not send data to client: Broken pipe
2026-05-10 17:20:14.016 PDT [1966294] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-10 17:20:14.016 PDT [1966294] FATAL:  connection to client lost
2026-05-10 17:20:14.016 PDT [1966295] ERROR:  canceling statement due to user request
2026-05-10 17:20:14.016 PDT [1966295] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-10 17:20:14.016 PDT [1966295] LOG:  could not send data to client: Broken pipe
2026-05-10 17:20:14.016 PDT [1966295] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-10 17:20:14.016 PDT [1966295] FATAL:  connection to client lost
2026-05-10 17:20:14.053 PDT [1966300] ERROR:  canceling statement due to user request
2026-05-10 17:20:14.053 PDT [1966300] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-10 17:20:14.053 PDT [1966300] LOG:  could not send data to client: Broken pipe
2026-05-10 17:20:14.053 PDT [1966300] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-10 17:20:14.053 PDT [1966300] FATAL:  connection to client lost
2026-05-10 17:20:14.054 PDT [1966301] ERROR:  canceling statement due to user request
2026-05-10 17:20:14.054 PDT [1966301] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-10 17:20:14.054 PDT [1966301] LOG:  could not send data to client: Broken pipe
2026-05-10 17:20:14.054 PDT [1966301] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-10 17:20:14.054 PDT [1966301] FATAL:  connection to client lost
2026-05-10 17:20:14.094 PDT [1966308] ERROR:  canceling statement due to user request
2026-05-10 17:20:14.094 PDT [1966308] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-10 17:20:14.094 PDT [1966308] LOG:  could not send data to client: Broken pipe
2026-05-10 17:20:14.094 PDT [1966308] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-10 17:20:14.094 PDT [1966308] FATAL:  connection to client lost
2026-05-10 17:20:14.094 PDT [1966309] ERROR:  canceling statement due to user request
2026-05-10 17:20:14.094 PDT [1966309] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-10 17:20:14.094 PDT [1966309] LOG:  could not send data to client: Broken pipe
2026-05-10 17:20:14.094 PDT [1966309] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-10 17:20:14.094 PDT [1966309] FATAL:  connection to client lost
2026-05-10 17:20:14.130 PDT [1966314] ERROR:  canceling statement due to user request
2026-05-10 17:20:14.130 PDT [1966314] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-10 17:20:14.130 PDT [1966314] LOG:  could not send data to client: Broken pipe
2026-05-10 17:20:14.130 PDT [1966314] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-10 17:20:14.130 PDT [1966314] FATAL:  connection to client lost
2026-05-10 17:20:14.130 PDT [1966315] ERROR:  canceling statement due to user request
2026-05-10 17:20:14.130 PDT [1966315] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-10 17:20:14.130 PDT [1966315] LOG:  could not send data to client: Broken pipe
2026-05-10 17:20:14.130 PDT [1966315] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-10 17:20:14.130 PDT [1966315] FATAL:  connection to client lost
2026-05-10 17:20:14.235 PDT [1966263] LOG:  received fast shutdown request
2026-05-10 17:20:14.269 PDT [1966263] LOG:  aborting any active transactions
2026-05-10 17:20:14.269 PDT [1966263] LOG:  background worker "logical replication launcher" (PID 1966272) exited with exit code 1
2026-05-10 17:20:14.269 PDT [1966267] LOG:  shutting down
2026-05-10 17:20:14.271 PDT [1966267] LOG:  checkpoint starting: shutdown immediate
2026-05-10 17:20:14.285 PDT [1966267] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.002 s, total=0.016 s; sync files=2, longest=0.001 s, average=0.001 s; distance=0 kB, estimate=0 kB; lsn=0/1754600, redo lsn=0/1754600
2026-05-10 17:20:14.296 PDT [1966263] LOG:  database system is shut down
