2026-05-11 23:03:07.224 PDT [3707409] LOG:  starting PostgreSQL 18.3 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0, 64-bit
2026-05-11 23:03:07.226 PDT [3707409] LOG:  listening on Unix socket "/home/peter/dev/ecaz/target/se95-fault-local-statement-timeout/sockets/.s.PGSQL.39324"
2026-05-11 23:03:07.233 PDT [3707415] LOG:  database system was shut down at 2026-05-11 23:03:05 PDT
2026-05-11 23:03:07.237 PDT [3707409] LOG:  database system is ready to accept connections
2026-05-11 23:03:07.632 PDT [3707442] ERROR:  canceling statement due to user request
2026-05-11 23:03:07.632 PDT [3707442] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-11 23:03:07.632 PDT [3707442] LOG:  could not send data to client: Broken pipe
2026-05-11 23:03:07.632 PDT [3707442] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-11 23:03:07.632 PDT [3707442] FATAL:  connection to client lost
2026-05-11 23:03:07.632 PDT [3707443] ERROR:  canceling statement due to user request
2026-05-11 23:03:07.632 PDT [3707443] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-11 23:03:07.632 PDT [3707443] LOG:  could not send data to client: Broken pipe
2026-05-11 23:03:07.632 PDT [3707443] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-11 23:03:07.632 PDT [3707443] FATAL:  connection to client lost
2026-05-11 23:03:07.645 PDT [3707448] ERROR:  canceling statement due to user request
2026-05-11 23:03:07.645 PDT [3707448] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-11 23:03:07.645 PDT [3707449] ERROR:  canceling statement due to user request
2026-05-11 23:03:07.645 PDT [3707449] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-11 23:03:07.645 PDT [3707449] LOG:  could not send data to client: Broken pipe
2026-05-11 23:03:07.645 PDT [3707449] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-11 23:03:07.645 PDT [3707448] LOG:  could not send data to client: Broken pipe
2026-05-11 23:03:07.645 PDT [3707448] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-11 23:03:07.645 PDT [3707449] FATAL:  connection to client lost
2026-05-11 23:03:07.645 PDT [3707448] FATAL:  connection to client lost
2026-05-11 23:03:07.660 PDT [3707456] ERROR:  canceling statement due to user request
2026-05-11 23:03:07.660 PDT [3707456] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-11 23:03:07.660 PDT [3707457] ERROR:  canceling statement due to user request
2026-05-11 23:03:07.660 PDT [3707457] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-11 23:03:07.660 PDT [3707457] LOG:  could not send data to client: Broken pipe
2026-05-11 23:03:07.660 PDT [3707457] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-11 23:03:07.660 PDT [3707456] LOG:  could not send data to client: Broken pipe
2026-05-11 23:03:07.660 PDT [3707456] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-11 23:03:07.660 PDT [3707457] FATAL:  connection to client lost
2026-05-11 23:03:07.660 PDT [3707456] FATAL:  connection to client lost
2026-05-11 23:03:07.672 PDT [3707463] ERROR:  canceling statement due to user request
2026-05-11 23:03:07.672 PDT [3707463] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-11 23:03:07.672 PDT [3707462] ERROR:  canceling statement due to user request
2026-05-11 23:03:07.672 PDT [3707462] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-11 23:03:07.672 PDT [3707463] LOG:  could not send data to client: Broken pipe
2026-05-11 23:03:07.672 PDT [3707463] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-11 23:03:07.672 PDT [3707462] LOG:  could not send data to client: Broken pipe
2026-05-11 23:03:07.672 PDT [3707462] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-11 23:03:07.672 PDT [3707463] FATAL:  connection to client lost
2026-05-11 23:03:07.672 PDT [3707462] FATAL:  connection to client lost
2026-05-11 23:03:07.777 PDT [3707409] LOG:  received fast shutdown request
2026-05-11 23:03:07.782 PDT [3707409] LOG:  aborting any active transactions
2026-05-11 23:03:07.782 PDT [3707409] LOG:  background worker "logical replication launcher" (PID 3707418) exited with exit code 1
2026-05-11 23:03:07.782 PDT [3707413] LOG:  shutting down
2026-05-11 23:03:07.784 PDT [3707413] LOG:  checkpoint starting: shutdown immediate
2026-05-11 23:03:07.798 PDT [3707413] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.002 s, total=0.016 s; sync files=2, longest=0.001 s, average=0.001 s; distance=0 kB, estimate=0 kB; lsn=0/1754600, redo lsn=0/1754600
2026-05-11 23:03:07.806 PDT [3707409] LOG:  database system is shut down
