2026-05-12 20:54:04.482 PDT [1374029] LOG:  starting PostgreSQL 18.3 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0, 64-bit
2026-05-12 20:54:04.484 PDT [1374029] LOG:  listening on Unix socket "/home/peter/dev/ecaz/target/se30961-fault-local-timeout/sockets/.s.PGSQL.39324"
2026-05-12 20:54:04.491 PDT [1374035] LOG:  database system was shut down at 2026-05-12 20:54:02 PDT
2026-05-12 20:54:04.495 PDT [1374029] LOG:  database system is ready to accept connections
2026-05-12 20:54:04.904 PDT [1374061] ERROR:  canceling statement due to user request
2026-05-12 20:54:04.904 PDT [1374061] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-12 20:54:04.904 PDT [1374061] LOG:  could not send data to client: Broken pipe
2026-05-12 20:54:04.904 PDT [1374061] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-12 20:54:04.904 PDT [1374061] FATAL:  connection to client lost
2026-05-12 20:54:04.905 PDT [1374060] ERROR:  canceling statement due to user request
2026-05-12 20:54:04.905 PDT [1374060] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-12 20:54:04.905 PDT [1374060] LOG:  could not send data to client: Broken pipe
2026-05-12 20:54:04.905 PDT [1374060] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-12 20:54:04.905 PDT [1374060] FATAL:  connection to client lost
2026-05-12 20:54:04.917 PDT [1374066] ERROR:  canceling statement due to user request
2026-05-12 20:54:04.917 PDT [1374066] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-12 20:54:04.917 PDT [1374067] ERROR:  canceling statement due to user request
2026-05-12 20:54:04.917 PDT [1374067] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-12 20:54:04.917 PDT [1374066] LOG:  could not send data to client: Broken pipe
2026-05-12 20:54:04.917 PDT [1374066] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-12 20:54:04.917 PDT [1374067] LOG:  could not send data to client: Broken pipe
2026-05-12 20:54:04.917 PDT [1374067] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-12 20:54:04.917 PDT [1374066] FATAL:  connection to client lost
2026-05-12 20:54:04.917 PDT [1374067] FATAL:  connection to client lost
2026-05-12 20:54:04.933 PDT [1374074] ERROR:  canceling statement due to user request
2026-05-12 20:54:04.933 PDT [1374074] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-12 20:54:04.933 PDT [1374075] ERROR:  canceling statement due to user request
2026-05-12 20:54:04.933 PDT [1374075] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-12 20:54:04.933 PDT [1374075] LOG:  could not send data to client: Broken pipe
2026-05-12 20:54:04.933 PDT [1374075] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-12 20:54:04.933 PDT [1374074] LOG:  could not send data to client: Broken pipe
2026-05-12 20:54:04.933 PDT [1374074] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-12 20:54:04.933 PDT [1374074] FATAL:  connection to client lost
2026-05-12 20:54:04.933 PDT [1374075] FATAL:  connection to client lost
2026-05-12 20:54:04.946 PDT [1374080] ERROR:  canceling statement due to user request
2026-05-12 20:54:04.946 PDT [1374080] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-12 20:54:04.946 PDT [1374081] ERROR:  canceling statement due to user request
2026-05-12 20:54:04.946 PDT [1374081] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-12 20:54:04.946 PDT [1374080] LOG:  could not send data to client: Broken pipe
2026-05-12 20:54:04.946 PDT [1374080] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-12 20:54:04.946 PDT [1374081] LOG:  could not send data to client: Broken pipe
2026-05-12 20:54:04.946 PDT [1374081] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-12 20:54:04.946 PDT [1374081] FATAL:  connection to client lost
2026-05-12 20:54:04.946 PDT [1374080] FATAL:  connection to client lost
2026-05-12 20:54:05.051 PDT [1374029] LOG:  received fast shutdown request
2026-05-12 20:54:05.092 PDT [1374029] LOG:  aborting any active transactions
2026-05-12 20:54:05.093 PDT [1374029] LOG:  background worker "logical replication launcher" (PID 1374038) exited with exit code 1
2026-05-12 20:54:05.093 PDT [1374033] LOG:  shutting down
2026-05-12 20:54:05.096 PDT [1374033] LOG:  checkpoint starting: shutdown immediate
2026-05-12 20:54:05.112 PDT [1374033] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.002 s, total=0.019 s; sync files=2, longest=0.002 s, average=0.001 s; distance=0 kB, estimate=0 kB; lsn=0/1754600, redo lsn=0/1754600
2026-05-12 20:54:05.119 PDT [1374029] LOG:  database system is shut down
