2026-05-26 07:47:46.745 PDT [2303007] LOG:  starting PostgreSQL 18.3 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0, 64-bit
2026-05-26 07:47:46.747 PDT [2303007] LOG:  listening on Unix socket "/home/peter/dev/ecaz/target/s-2791566123/.s.PGSQL.39647"
2026-05-26 07:47:46.753 PDT [2303013] LOG:  database system was shut down at 2026-05-26 07:47:45 PDT
2026-05-26 07:47:46.757 PDT [2303007] LOG:  database system is ready to accept connections
2026-05-26 07:47:47.199 PDT [2303038] ERROR:  canceling statement due to user request
2026-05-26 07:47:47.199 PDT [2303038] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:47.199 PDT [2303038] LOG:  could not send data to client: Broken pipe
2026-05-26 07:47:47.199 PDT [2303038] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:47.199 PDT [2303039] ERROR:  canceling statement due to user request
2026-05-26 07:47:47.199 PDT [2303039] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:47.199 PDT [2303038] FATAL:  connection to client lost
2026-05-26 07:47:47.199 PDT [2303039] LOG:  could not send data to client: Broken pipe
2026-05-26 07:47:47.199 PDT [2303039] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:47.199 PDT [2303039] FATAL:  connection to client lost
2026-05-26 07:47:47.237 PDT [2303044] ERROR:  canceling statement due to user request
2026-05-26 07:47:47.237 PDT [2303044] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:47.237 PDT [2303044] LOG:  could not send data to client: Broken pipe
2026-05-26 07:47:47.237 PDT [2303044] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:47.237 PDT [2303044] FATAL:  connection to client lost
2026-05-26 07:47:47.237 PDT [2303045] ERROR:  canceling statement due to user request
2026-05-26 07:47:47.237 PDT [2303045] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:47.237 PDT [2303045] LOG:  could not send data to client: Broken pipe
2026-05-26 07:47:47.237 PDT [2303045] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:47.237 PDT [2303045] FATAL:  connection to client lost
2026-05-26 07:47:47.278 PDT [2303052] ERROR:  canceling statement due to user request
2026-05-26 07:47:47.278 PDT [2303052] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:47.278 PDT [2303052] LOG:  could not send data to client: Broken pipe
2026-05-26 07:47:47.278 PDT [2303052] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:47.278 PDT [2303053] ERROR:  canceling statement due to user request
2026-05-26 07:47:47.278 PDT [2303053] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:47.278 PDT [2303052] FATAL:  connection to client lost
2026-05-26 07:47:47.278 PDT [2303053] LOG:  could not send data to client: Broken pipe
2026-05-26 07:47:47.278 PDT [2303053] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:47.278 PDT [2303053] FATAL:  connection to client lost
2026-05-26 07:47:47.316 PDT [2303058] ERROR:  canceling statement due to user request
2026-05-26 07:47:47.316 PDT [2303058] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:47.316 PDT [2303058] LOG:  could not send data to client: Broken pipe
2026-05-26 07:47:47.316 PDT [2303058] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:47.316 PDT [2303058] FATAL:  connection to client lost
2026-05-26 07:47:47.316 PDT [2303059] ERROR:  canceling statement due to user request
2026-05-26 07:47:47.316 PDT [2303059] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:47.316 PDT [2303059] LOG:  could not send data to client: Broken pipe
2026-05-26 07:47:47.316 PDT [2303059] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:47.316 PDT [2303059] FATAL:  connection to client lost
2026-05-26 07:47:47.421 PDT [2303007] LOG:  received fast shutdown request
2026-05-26 07:47:47.422 PDT [2303007] LOG:  aborting any active transactions
2026-05-26 07:47:47.423 PDT [2303007] LOG:  background worker "logical replication launcher" (PID 2303016) exited with exit code 1
2026-05-26 07:47:47.423 PDT [2303011] LOG:  shutting down
2026-05-26 07:47:47.425 PDT [2303011] LOG:  checkpoint starting: shutdown immediate
2026-05-26 07:47:47.436 PDT [2303011] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.002 s, total=0.013 s; sync files=2, longest=0.001 s, average=0.001 s; distance=0 kB, estimate=0 kB; lsn=0/1754600, redo lsn=0/1754600
2026-05-26 07:47:47.443 PDT [2303007] LOG:  database system is shut down
