2026-05-26 07:47:50.005 PDT [2303179] LOG:  starting PostgreSQL 18.3 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0, 64-bit
2026-05-26 07:47:50.007 PDT [2303179] LOG:  listening on Unix socket "/home/peter/dev/ecaz/target/s-2752126626/.s.PGSQL.39647"
2026-05-26 07:47:50.012 PDT [2303185] LOG:  database system was shut down at 2026-05-26 07:47:48 PDT
2026-05-26 07:47:50.016 PDT [2303179] LOG:  database system is ready to accept connections
2026-05-26 07:47:50.444 PDT [2303211] ERROR:  canceling statement due to user request
2026-05-26 07:47:50.444 PDT [2303211] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:50.444 PDT [2303211] LOG:  could not send data to client: Broken pipe
2026-05-26 07:47:50.444 PDT [2303211] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:50.444 PDT [2303211] FATAL:  connection to client lost
2026-05-26 07:47:50.444 PDT [2303210] ERROR:  canceling statement due to user request
2026-05-26 07:47:50.444 PDT [2303210] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:50.444 PDT [2303210] LOG:  could not send data to client: Broken pipe
2026-05-26 07:47:50.444 PDT [2303210] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:50.444 PDT [2303210] FATAL:  connection to client lost
2026-05-26 07:47:50.458 PDT [2303216] ERROR:  canceling statement due to user request
2026-05-26 07:47:50.458 PDT [2303216] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:50.458 PDT [2303217] ERROR:  canceling statement due to user request
2026-05-26 07:47:50.458 PDT [2303217] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:50.458 PDT [2303216] LOG:  could not send data to client: Broken pipe
2026-05-26 07:47:50.458 PDT [2303216] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:50.458 PDT [2303217] LOG:  could not send data to client: Broken pipe
2026-05-26 07:47:50.458 PDT [2303217] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:50.458 PDT [2303216] FATAL:  connection to client lost
2026-05-26 07:47:50.458 PDT [2303217] FATAL:  connection to client lost
2026-05-26 07:47:50.476 PDT [2303232] ERROR:  canceling statement due to user request
2026-05-26 07:47:50.476 PDT [2303232] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:50.476 PDT [2303233] ERROR:  canceling statement due to user request
2026-05-26 07:47:50.476 PDT [2303233] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:50.476 PDT [2303232] LOG:  could not send data to client: Broken pipe
2026-05-26 07:47:50.476 PDT [2303232] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:50.476 PDT [2303233] LOG:  could not send data to client: Broken pipe
2026-05-26 07:47:50.476 PDT [2303233] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:50.476 PDT [2303233] FATAL:  connection to client lost
2026-05-26 07:47:50.476 PDT [2303232] FATAL:  connection to client lost
2026-05-26 07:47:50.491 PDT [2303246] ERROR:  canceling statement due to user request
2026-05-26 07:47:50.491 PDT [2303246] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:50.491 PDT [2303247] ERROR:  canceling statement due to user request
2026-05-26 07:47:50.491 PDT [2303247] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:50.491 PDT [2303246] LOG:  could not send data to client: Broken pipe
2026-05-26 07:47:50.491 PDT [2303246] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:50.491 PDT [2303247] LOG:  could not send data to client: Broken pipe
2026-05-26 07:47:50.491 PDT [2303247] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 07:47:50.491 PDT [2303246] FATAL:  connection to client lost
2026-05-26 07:47:50.491 PDT [2303247] FATAL:  connection to client lost
2026-05-26 07:47:50.596 PDT [2303179] LOG:  received fast shutdown request
2026-05-26 07:47:50.598 PDT [2303179] LOG:  aborting any active transactions
2026-05-26 07:47:50.599 PDT [2303179] LOG:  background worker "logical replication launcher" (PID 2303188) exited with exit code 1
2026-05-26 07:47:50.599 PDT [2303183] LOG:  shutting down
2026-05-26 07:47:50.601 PDT [2303183] LOG:  checkpoint starting: shutdown immediate
2026-05-26 07:47:50.612 PDT [2303183] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.002 s, total=0.014 s; sync files=2, longest=0.001 s, average=0.001 s; distance=0 kB, estimate=0 kB; lsn=0/1754600, redo lsn=0/1754600
2026-05-26 07:47:50.621 PDT [2303179] LOG:  database system is shut down
