2026-05-25 20:27:18.558 PDT [1908610] LOG:  starting PostgreSQL 18.3 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0, 64-bit
2026-05-25 20:27:18.560 PDT [1908610] LOG:  listening on Unix socket "/home/peter/dev/ecaz/target/s-3994511108/.s.PGSQL.39647"
2026-05-25 20:27:18.565 PDT [1908616] LOG:  database system was shut down at 2026-05-25 20:27:16 PDT
2026-05-25 20:27:18.570 PDT [1908610] LOG:  database system is ready to accept connections
2026-05-25 20:27:18.994 PDT [1908642] ERROR:  canceling statement due to user request
2026-05-25 20:27:18.994 PDT [1908642] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-25 20:27:18.994 PDT [1908642] LOG:  could not send data to client: Broken pipe
2026-05-25 20:27:18.994 PDT [1908642] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-25 20:27:18.994 PDT [1908642] FATAL:  connection to client lost
2026-05-25 20:27:18.994 PDT [1908641] ERROR:  canceling statement due to user request
2026-05-25 20:27:18.994 PDT [1908641] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-25 20:27:18.994 PDT [1908641] LOG:  could not send data to client: Broken pipe
2026-05-25 20:27:18.994 PDT [1908641] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-25 20:27:18.994 PDT [1908641] FATAL:  connection to client lost
2026-05-25 20:27:19.007 PDT [1908647] ERROR:  canceling statement due to user request
2026-05-25 20:27:19.007 PDT [1908647] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-25 20:27:19.007 PDT [1908648] ERROR:  canceling statement due to user request
2026-05-25 20:27:19.007 PDT [1908648] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-25 20:27:19.007 PDT [1908647] LOG:  could not send data to client: Broken pipe
2026-05-25 20:27:19.007 PDT [1908647] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-25 20:27:19.007 PDT [1908648] LOG:  could not send data to client: Broken pipe
2026-05-25 20:27:19.007 PDT [1908648] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-25 20:27:19.007 PDT [1908647] FATAL:  connection to client lost
2026-05-25 20:27:19.007 PDT [1908648] FATAL:  connection to client lost
2026-05-25 20:27:19.023 PDT [1908655] ERROR:  canceling statement due to user request
2026-05-25 20:27:19.023 PDT [1908655] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-25 20:27:19.023 PDT [1908656] ERROR:  canceling statement due to user request
2026-05-25 20:27:19.023 PDT [1908656] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-25 20:27:19.023 PDT [1908656] LOG:  could not send data to client: Broken pipe
2026-05-25 20:27:19.023 PDT [1908656] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-25 20:27:19.023 PDT [1908655] LOG:  could not send data to client: Broken pipe
2026-05-25 20:27:19.023 PDT [1908655] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-25 20:27:19.024 PDT [1908656] FATAL:  connection to client lost
2026-05-25 20:27:19.024 PDT [1908655] FATAL:  connection to client lost
2026-05-25 20:27:19.038 PDT [1908661] ERROR:  canceling statement due to user request
2026-05-25 20:27:19.038 PDT [1908661] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-25 20:27:19.038 PDT [1908662] ERROR:  canceling statement due to user request
2026-05-25 20:27:19.038 PDT [1908662] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-25 20:27:19.038 PDT [1908662] LOG:  could not send data to client: Broken pipe
2026-05-25 20:27:19.038 PDT [1908662] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-25 20:27:19.038 PDT [1908661] LOG:  could not send data to client: Broken pipe
2026-05-25 20:27:19.038 PDT [1908661] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-25 20:27:19.038 PDT [1908662] FATAL:  connection to client lost
2026-05-25 20:27:19.038 PDT [1908661] FATAL:  connection to client lost
2026-05-25 20:27:19.142 PDT [1908610] LOG:  received fast shutdown request
2026-05-25 20:27:19.144 PDT [1908610] LOG:  aborting any active transactions
2026-05-25 20:27:19.145 PDT [1908610] LOG:  background worker "logical replication launcher" (PID 1908619) exited with exit code 1
2026-05-25 20:27:19.145 PDT [1908614] LOG:  shutting down
2026-05-25 20:27:19.146 PDT [1908614] LOG:  checkpoint starting: shutdown immediate
2026-05-25 20:27:19.160 PDT [1908614] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.003 s, total=0.016 s; sync files=2, longest=0.002 s, average=0.002 s; distance=0 kB, estimate=0 kB; lsn=0/1754600, redo lsn=0/1754600
2026-05-25 20:27:19.167 PDT [1908610] LOG:  database system is shut down
