2026-05-26 11:40:51.117 PDT [2472029] LOG:  starting PostgreSQL 18.3 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0, 64-bit
2026-05-26 11:40:51.119 PDT [2472029] LOG:  listening on Unix socket "/home/peter/dev/ecaz/target/s-511889422/.s.PGSQL.39647"
2026-05-26 11:40:51.125 PDT [2472035] LOG:  database system was shut down at 2026-05-26 11:40:49 PDT
2026-05-26 11:40:51.130 PDT [2472029] LOG:  database system is ready to accept connections
2026-05-26 11:40:51.573 PDT [2472060] ERROR:  canceling statement due to user request
2026-05-26 11:40:51.573 PDT [2472060] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:51.573 PDT [2472060] LOG:  could not send data to client: Broken pipe
2026-05-26 11:40:51.573 PDT [2472060] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:51.573 PDT [2472061] ERROR:  canceling statement due to user request
2026-05-26 11:40:51.573 PDT [2472061] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:51.573 PDT [2472061] LOG:  could not send data to client: Broken pipe
2026-05-26 11:40:51.573 PDT [2472061] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:51.573 PDT [2472060] FATAL:  connection to client lost
2026-05-26 11:40:51.573 PDT [2472061] FATAL:  connection to client lost
2026-05-26 11:40:51.610 PDT [2472066] ERROR:  canceling statement due to user request
2026-05-26 11:40:51.610 PDT [2472066] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:51.610 PDT [2472066] LOG:  could not send data to client: Broken pipe
2026-05-26 11:40:51.610 PDT [2472066] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:51.610 PDT [2472066] FATAL:  connection to client lost
2026-05-26 11:40:51.610 PDT [2472067] ERROR:  canceling statement due to user request
2026-05-26 11:40:51.610 PDT [2472067] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:51.610 PDT [2472067] LOG:  could not send data to client: Broken pipe
2026-05-26 11:40:51.610 PDT [2472067] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:51.610 PDT [2472067] FATAL:  connection to client lost
2026-05-26 11:40:51.650 PDT [2472074] ERROR:  canceling statement due to user request
2026-05-26 11:40:51.650 PDT [2472074] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:51.650 PDT [2472074] LOG:  could not send data to client: Broken pipe
2026-05-26 11:40:51.650 PDT [2472074] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:51.650 PDT [2472074] FATAL:  connection to client lost
2026-05-26 11:40:51.650 PDT [2472075] ERROR:  canceling statement due to user request
2026-05-26 11:40:51.650 PDT [2472075] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:51.650 PDT [2472075] LOG:  could not send data to client: Broken pipe
2026-05-26 11:40:51.650 PDT [2472075] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:51.650 PDT [2472075] FATAL:  connection to client lost
2026-05-26 11:40:51.686 PDT [2472080] ERROR:  canceling statement due to user request
2026-05-26 11:40:51.686 PDT [2472080] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:51.686 PDT [2472080] LOG:  could not send data to client: Broken pipe
2026-05-26 11:40:51.686 PDT [2472080] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:51.686 PDT [2472080] FATAL:  connection to client lost
2026-05-26 11:40:51.687 PDT [2472081] ERROR:  canceling statement due to user request
2026-05-26 11:40:51.687 PDT [2472081] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:51.687 PDT [2472081] LOG:  could not send data to client: Broken pipe
2026-05-26 11:40:51.687 PDT [2472081] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:51.687 PDT [2472081] FATAL:  connection to client lost
2026-05-26 11:40:51.792 PDT [2472029] LOG:  received fast shutdown request
2026-05-26 11:40:51.794 PDT [2472029] LOG:  aborting any active transactions
2026-05-26 11:40:51.795 PDT [2472029] LOG:  background worker "logical replication launcher" (PID 2472038) exited with exit code 1
2026-05-26 11:40:51.795 PDT [2472033] LOG:  shutting down
2026-05-26 11:40:51.797 PDT [2472033] LOG:  checkpoint starting: shutdown immediate
2026-05-26 11:40:51.808 PDT [2472033] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.002 s, total=0.013 s; sync files=2, longest=0.001 s, average=0.001 s; distance=0 kB, estimate=0 kB; lsn=0/1754600, redo lsn=0/1754600
2026-05-26 11:40:51.815 PDT [2472029] LOG:  database system is shut down
