2026-05-26 11:40:54.268 PDT [2472175] LOG:  starting PostgreSQL 18.3 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0, 64-bit
2026-05-26 11:40:54.270 PDT [2472175] LOG:  listening on Unix socket "/home/peter/dev/ecaz/target/s-3455222278/.s.PGSQL.39647"
2026-05-26 11:40:54.276 PDT [2472181] LOG:  database system was shut down at 2026-05-26 11:40:52 PDT
2026-05-26 11:40:54.281 PDT [2472175] LOG:  database system is ready to accept connections
2026-05-26 11:40:54.710 PDT [2472206] ERROR:  canceling statement due to user request
2026-05-26 11:40:54.710 PDT [2472206] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:54.710 PDT [2472206] LOG:  could not send data to client: Broken pipe
2026-05-26 11:40:54.710 PDT [2472206] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:54.710 PDT [2472206] FATAL:  connection to client lost
2026-05-26 11:40:54.710 PDT [2472207] ERROR:  canceling statement due to user request
2026-05-26 11:40:54.710 PDT [2472207] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:54.710 PDT [2472207] LOG:  could not send data to client: Broken pipe
2026-05-26 11:40:54.710 PDT [2472207] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:54.710 PDT [2472207] FATAL:  connection to client lost
2026-05-26 11:40:54.724 PDT [2472212] ERROR:  canceling statement due to user request
2026-05-26 11:40:54.724 PDT [2472212] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:54.724 PDT [2472213] ERROR:  canceling statement due to user request
2026-05-26 11:40:54.724 PDT [2472213] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:54.724 PDT [2472212] LOG:  could not send data to client: Broken pipe
2026-05-26 11:40:54.724 PDT [2472212] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:54.724 PDT [2472213] LOG:  could not send data to client: Broken pipe
2026-05-26 11:40:54.724 PDT [2472213] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:54.724 PDT [2472213] FATAL:  connection to client lost
2026-05-26 11:40:54.724 PDT [2472212] FATAL:  connection to client lost
2026-05-26 11:40:54.739 PDT [2472220] ERROR:  canceling statement due to user request
2026-05-26 11:40:54.739 PDT [2472220] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:54.739 PDT [2472221] ERROR:  canceling statement due to user request
2026-05-26 11:40:54.739 PDT [2472221] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:54.739 PDT [2472221] LOG:  could not send data to client: Broken pipe
2026-05-26 11:40:54.739 PDT [2472221] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:54.739 PDT [2472220] LOG:  could not send data to client: Broken pipe
2026-05-26 11:40:54.739 PDT [2472220] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:54.740 PDT [2472221] FATAL:  connection to client lost
2026-05-26 11:40:54.740 PDT [2472220] FATAL:  connection to client lost
2026-05-26 11:40:54.753 PDT [2472226] ERROR:  canceling statement due to user request
2026-05-26 11:40:54.753 PDT [2472226] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:54.753 PDT [2472227] ERROR:  canceling statement due to user request
2026-05-26 11:40:54.753 PDT [2472227] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:54.753 PDT [2472226] LOG:  could not send data to client: Broken pipe
2026-05-26 11:40:54.753 PDT [2472226] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:54.753 PDT [2472227] LOG:  could not send data to client: Broken pipe
2026-05-26 11:40:54.753 PDT [2472227] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 11:40:54.753 PDT [2472227] FATAL:  connection to client lost
2026-05-26 11:40:54.753 PDT [2472226] FATAL:  connection to client lost
2026-05-26 11:40:54.858 PDT [2472175] LOG:  received fast shutdown request
2026-05-26 11:40:54.859 PDT [2472175] LOG:  aborting any active transactions
2026-05-26 11:40:54.860 PDT [2472175] LOG:  background worker "logical replication launcher" (PID 2472184) exited with exit code 1
2026-05-26 11:40:54.860 PDT [2472179] LOG:  shutting down
2026-05-26 11:40:54.862 PDT [2472179] LOG:  checkpoint starting: shutdown immediate
2026-05-26 11:40:54.881 PDT [2472179] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.002 s, total=0.022 s; sync files=2, longest=0.001 s, average=0.001 s; distance=0 kB, estimate=0 kB; lsn=0/1754600, redo lsn=0/1754600
2026-05-26 11:40:54.889 PDT [2472175] LOG:  database system is shut down
