2026-05-26 14:41:22.540 PDT [2600116] LOG:  starting PostgreSQL 18.3 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0, 64-bit
2026-05-26 14:41:22.543 PDT [2600116] LOG:  listening on Unix socket "/home/peter/dev/ecaz/target/s-1227473358/.s.PGSQL.39647"
2026-05-26 14:41:22.550 PDT [2600122] LOG:  database system was shut down at 2026-05-26 14:41:21 PDT
2026-05-26 14:41:22.553 PDT [2600116] LOG:  database system is ready to accept connections
2026-05-26 14:41:23.018 PDT [2600147] ERROR:  canceling statement due to user request
2026-05-26 14:41:23.018 PDT [2600147] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:23.018 PDT [2600147] LOG:  could not send data to client: Broken pipe
2026-05-26 14:41:23.018 PDT [2600147] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:23.018 PDT [2600147] FATAL:  connection to client lost
2026-05-26 14:41:23.018 PDT [2600148] ERROR:  canceling statement due to user request
2026-05-26 14:41:23.018 PDT [2600148] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:23.018 PDT [2600148] LOG:  could not send data to client: Broken pipe
2026-05-26 14:41:23.018 PDT [2600148] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:23.018 PDT [2600148] FATAL:  connection to client lost
2026-05-26 14:41:23.057 PDT [2600153] ERROR:  canceling statement due to user request
2026-05-26 14:41:23.057 PDT [2600153] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:23.057 PDT [2600153] LOG:  could not send data to client: Broken pipe
2026-05-26 14:41:23.057 PDT [2600153] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:23.057 PDT [2600153] FATAL:  connection to client lost
2026-05-26 14:41:23.057 PDT [2600154] ERROR:  canceling statement due to user request
2026-05-26 14:41:23.057 PDT [2600154] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:23.057 PDT [2600154] LOG:  could not send data to client: Broken pipe
2026-05-26 14:41:23.057 PDT [2600154] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:23.057 PDT [2600154] FATAL:  connection to client lost
2026-05-26 14:41:23.098 PDT [2600161] ERROR:  canceling statement due to user request
2026-05-26 14:41:23.098 PDT [2600161] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:23.098 PDT [2600161] LOG:  could not send data to client: Broken pipe
2026-05-26 14:41:23.098 PDT [2600161] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:23.098 PDT [2600161] FATAL:  connection to client lost
2026-05-26 14:41:23.098 PDT [2600162] ERROR:  canceling statement due to user request
2026-05-26 14:41:23.098 PDT [2600162] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:23.098 PDT [2600162] LOG:  could not send data to client: Broken pipe
2026-05-26 14:41:23.098 PDT [2600162] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:23.098 PDT [2600162] FATAL:  connection to client lost
2026-05-26 14:41:23.137 PDT [2600167] ERROR:  canceling statement due to user request
2026-05-26 14:41:23.137 PDT [2600167] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:23.137 PDT [2600167] LOG:  could not send data to client: Broken pipe
2026-05-26 14:41:23.137 PDT [2600167] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:23.137 PDT [2600167] FATAL:  connection to client lost
2026-05-26 14:41:23.137 PDT [2600168] ERROR:  canceling statement due to user request
2026-05-26 14:41:23.137 PDT [2600168] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:23.137 PDT [2600168] LOG:  could not send data to client: Broken pipe
2026-05-26 14:41:23.137 PDT [2600168] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:23.137 PDT [2600168] FATAL:  connection to client lost
2026-05-26 14:41:23.242 PDT [2600116] LOG:  received fast shutdown request
2026-05-26 14:41:23.244 PDT [2600116] LOG:  aborting any active transactions
2026-05-26 14:41:23.245 PDT [2600116] LOG:  background worker "logical replication launcher" (PID 2600125) exited with exit code 1
2026-05-26 14:41:23.245 PDT [2600120] LOG:  shutting down
2026-05-26 14:41:23.247 PDT [2600120] LOG:  checkpoint starting: shutdown immediate
2026-05-26 14:41:23.259 PDT [2600120] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.002 s, total=0.015 s; sync files=2, longest=0.001 s, average=0.001 s; distance=0 kB, estimate=0 kB; lsn=0/1754600, redo lsn=0/1754600
2026-05-26 14:41:23.266 PDT [2600116] LOG:  database system is shut down
