2026-05-26 14:41:25.927 PDT [2600251] LOG:  starting PostgreSQL 18.3 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0, 64-bit
2026-05-26 14:41:25.929 PDT [2600251] LOG:  listening on Unix socket "/home/peter/dev/ecaz/target/s-1262498887/.s.PGSQL.39647"
2026-05-26 14:41:25.938 PDT [2600257] LOG:  database system was shut down at 2026-05-26 14:41:24 PDT
2026-05-26 14:41:25.942 PDT [2600251] LOG:  database system is ready to accept connections
2026-05-26 14:41:26.230 PDT [2600290] ERROR:  canceling statement due to user request
2026-05-26 14:41:26.230 PDT [2600290] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:26.230 PDT [2600290] LOG:  could not send data to client: Broken pipe
2026-05-26 14:41:26.230 PDT [2600290] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:26.230 PDT [2600290] FATAL:  connection to client lost
2026-05-26 14:41:26.230 PDT [2600289] ERROR:  canceling statement due to user request
2026-05-26 14:41:26.230 PDT [2600289] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:26.230 PDT [2600289] LOG:  could not send data to client: Broken pipe
2026-05-26 14:41:26.230 PDT [2600289] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:26.230 PDT [2600289] FATAL:  connection to client lost
2026-05-26 14:41:26.245 PDT [2600296] ERROR:  canceling statement due to user request
2026-05-26 14:41:26.245 PDT [2600296] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:26.245 PDT [2600295] ERROR:  canceling statement due to user request
2026-05-26 14:41:26.245 PDT [2600295] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:26.245 PDT [2600296] LOG:  could not send data to client: Broken pipe
2026-05-26 14:41:26.245 PDT [2600296] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:26.245 PDT [2600295] LOG:  could not send data to client: Broken pipe
2026-05-26 14:41:26.245 PDT [2600295] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:26.245 PDT [2600295] FATAL:  connection to client lost
2026-05-26 14:41:26.245 PDT [2600296] FATAL:  connection to client lost
2026-05-26 14:41:26.261 PDT [2600303] ERROR:  canceling statement due to user request
2026-05-26 14:41:26.261 PDT [2600303] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:26.262 PDT [2600303] LOG:  could not send data to client: Broken pipe
2026-05-26 14:41:26.262 PDT [2600303] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:26.262 PDT [2600304] ERROR:  canceling statement due to user request
2026-05-26 14:41:26.262 PDT [2600304] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:26.262 PDT [2600303] FATAL:  connection to client lost
2026-05-26 14:41:26.262 PDT [2600304] LOG:  could not send data to client: Broken pipe
2026-05-26 14:41:26.262 PDT [2600304] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:26.262 PDT [2600304] FATAL:  connection to client lost
2026-05-26 14:41:26.276 PDT [2600309] ERROR:  canceling statement due to user request
2026-05-26 14:41:26.276 PDT [2600309] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:26.276 PDT [2600310] ERROR:  canceling statement due to user request
2026-05-26 14:41:26.276 PDT [2600310] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:26.276 PDT [2600309] LOG:  could not send data to client: Broken pipe
2026-05-26 14:41:26.276 PDT [2600309] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:26.276 PDT [2600310] LOG:  could not send data to client: Broken pipe
2026-05-26 14:41:26.276 PDT [2600310] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 14:41:26.276 PDT [2600310] FATAL:  connection to client lost
2026-05-26 14:41:26.276 PDT [2600309] FATAL:  connection to client lost
2026-05-26 14:41:26.381 PDT [2600251] LOG:  received fast shutdown request
2026-05-26 14:41:26.383 PDT [2600251] LOG:  aborting any active transactions
2026-05-26 14:41:26.384 PDT [2600251] LOG:  background worker "logical replication launcher" (PID 2600260) exited with exit code 1
2026-05-26 14:41:26.384 PDT [2600255] LOG:  shutting down
2026-05-26 14:41:26.386 PDT [2600255] LOG:  checkpoint starting: shutdown immediate
2026-05-26 14:41:26.399 PDT [2600255] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.002 s, total=0.016 s; sync files=2, longest=0.001 s, average=0.001 s; distance=0 kB, estimate=0 kB; lsn=0/1754600, redo lsn=0/1754600
2026-05-26 14:41:26.406 PDT [2600251] LOG:  database system is shut down
