2026-05-26 13:40:04.228 PDT [2556948] LOG:  starting PostgreSQL 18.3 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0, 64-bit
2026-05-26 13:40:04.230 PDT [2556948] LOG:  listening on Unix socket "/home/peter/dev/ecaz/target/s-4071705100/.s.PGSQL.39647"
2026-05-26 13:40:04.236 PDT [2556954] LOG:  database system was shut down at 2026-05-26 13:40:02 PDT
2026-05-26 13:40:04.240 PDT [2556948] LOG:  database system is ready to accept connections
2026-05-26 13:40:04.659 PDT [2556987] ERROR:  canceling statement due to user request
2026-05-26 13:40:04.659 PDT [2556987] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 13:40:04.659 PDT [2556987] LOG:  could not send data to client: Broken pipe
2026-05-26 13:40:04.659 PDT [2556987] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 13:40:04.659 PDT [2556987] FATAL:  connection to client lost
2026-05-26 13:40:04.659 PDT [2556986] ERROR:  canceling statement due to user request
2026-05-26 13:40:04.659 PDT [2556986] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 13:40:04.659 PDT [2556986] LOG:  could not send data to client: Broken pipe
2026-05-26 13:40:04.659 PDT [2556986] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 13:40:04.659 PDT [2556986] FATAL:  connection to client lost
2026-05-26 13:40:04.672 PDT [2556992] ERROR:  canceling statement due to user request
2026-05-26 13:40:04.672 PDT [2556992] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 13:40:04.672 PDT [2556993] ERROR:  canceling statement due to user request
2026-05-26 13:40:04.672 PDT [2556993] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 13:40:04.672 PDT [2556992] LOG:  could not send data to client: Broken pipe
2026-05-26 13:40:04.672 PDT [2556992] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 13:40:04.672 PDT [2556993] LOG:  could not send data to client: Broken pipe
2026-05-26 13:40:04.672 PDT [2556993] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 13:40:04.672 PDT [2556993] FATAL:  connection to client lost
2026-05-26 13:40:04.672 PDT [2556992] FATAL:  connection to client lost
2026-05-26 13:40:04.688 PDT [2557000] ERROR:  canceling statement due to user request
2026-05-26 13:40:04.688 PDT [2557000] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 13:40:04.688 PDT [2557001] ERROR:  canceling statement due to user request
2026-05-26 13:40:04.688 PDT [2557001] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 13:40:04.688 PDT [2557000] LOG:  could not send data to client: Broken pipe
2026-05-26 13:40:04.688 PDT [2557000] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 13:40:04.688 PDT [2557001] LOG:  could not send data to client: Broken pipe
2026-05-26 13:40:04.688 PDT [2557001] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 13:40:04.688 PDT [2557001] FATAL:  connection to client lost
2026-05-26 13:40:04.688 PDT [2557000] FATAL:  connection to client lost
2026-05-26 13:40:04.701 PDT [2557007] ERROR:  canceling statement due to user request
2026-05-26 13:40:04.701 PDT [2557007] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 13:40:04.701 PDT [2557006] ERROR:  canceling statement due to user request
2026-05-26 13:40:04.701 PDT [2557006] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 13:40:04.701 PDT [2557006] LOG:  could not send data to client: Broken pipe
2026-05-26 13:40:04.701 PDT [2557006] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 13:40:04.701 PDT [2557007] LOG:  could not send data to client: Broken pipe
2026-05-26 13:40:04.701 PDT [2557007] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 13:40:04.701 PDT [2557007] FATAL:  connection to client lost
2026-05-26 13:40:04.701 PDT [2557006] FATAL:  connection to client lost
2026-05-26 13:40:04.806 PDT [2556948] LOG:  received fast shutdown request
2026-05-26 13:40:04.808 PDT [2556948] LOG:  aborting any active transactions
2026-05-26 13:40:04.809 PDT [2556948] LOG:  background worker "logical replication launcher" (PID 2556957) exited with exit code 1
2026-05-26 13:40:04.809 PDT [2556952] LOG:  shutting down
2026-05-26 13:40:04.811 PDT [2556952] LOG:  checkpoint starting: shutdown immediate
2026-05-26 13:40:04.823 PDT [2556952] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.002 s, total=0.015 s; sync files=2, longest=0.001 s, average=0.001 s; distance=0 kB, estimate=0 kB; lsn=0/1754600, redo lsn=0/1754600
2026-05-26 13:40:04.830 PDT [2556948] LOG:  database system is shut down
