2026-05-26 16:49:42.246 PDT [2711244] LOG:  starting PostgreSQL 18.3 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0, 64-bit
2026-05-26 16:49:42.248 PDT [2711244] LOG:  listening on Unix socket "/home/peter/dev/ecaz/target/s-1159611618/.s.PGSQL.39647"
2026-05-26 16:49:42.254 PDT [2711250] LOG:  database system was shut down at 2026-05-26 16:49:40 PDT
2026-05-26 16:49:42.258 PDT [2711244] LOG:  database system is ready to accept connections
2026-05-26 16:49:42.686 PDT [2711275] ERROR:  canceling statement due to user request
2026-05-26 16:49:42.686 PDT [2711275] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 16:49:42.686 PDT [2711275] LOG:  could not send data to client: Broken pipe
2026-05-26 16:49:42.686 PDT [2711275] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 16:49:42.686 PDT [2711275] FATAL:  connection to client lost
2026-05-26 16:49:42.686 PDT [2711276] ERROR:  canceling statement due to user request
2026-05-26 16:49:42.686 PDT [2711276] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 16:49:42.686 PDT [2711276] LOG:  could not send data to client: Broken pipe
2026-05-26 16:49:42.686 PDT [2711276] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 16:49:42.686 PDT [2711276] FATAL:  connection to client lost
2026-05-26 16:49:42.700 PDT [2711281] ERROR:  canceling statement due to user request
2026-05-26 16:49:42.700 PDT [2711281] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 16:49:42.700 PDT [2711282] ERROR:  canceling statement due to user request
2026-05-26 16:49:42.700 PDT [2711282] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 16:49:42.700 PDT [2711282] LOG:  could not send data to client: Broken pipe
2026-05-26 16:49:42.700 PDT [2711282] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 16:49:42.700 PDT [2711281] LOG:  could not send data to client: Broken pipe
2026-05-26 16:49:42.700 PDT [2711281] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 16:49:42.700 PDT [2711282] FATAL:  connection to client lost
2026-05-26 16:49:42.700 PDT [2711281] FATAL:  connection to client lost
2026-05-26 16:49:42.716 PDT [2711289] ERROR:  canceling statement due to user request
2026-05-26 16:49:42.716 PDT [2711289] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 16:49:42.716 PDT [2711289] LOG:  could not send data to client: Broken pipe
2026-05-26 16:49:42.716 PDT [2711289] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 16:49:42.716 PDT [2711290] ERROR:  canceling statement due to user request
2026-05-26 16:49:42.716 PDT [2711290] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 16:49:42.716 PDT [2711289] FATAL:  connection to client lost
2026-05-26 16:49:42.716 PDT [2711290] LOG:  could not send data to client: Broken pipe
2026-05-26 16:49:42.716 PDT [2711290] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 16:49:42.716 PDT [2711290] FATAL:  connection to client lost
2026-05-26 16:49:42.730 PDT [2711295] ERROR:  canceling statement due to user request
2026-05-26 16:49:42.730 PDT [2711295] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 16:49:42.730 PDT [2711296] ERROR:  canceling statement due to user request
2026-05-26 16:49:42.730 PDT [2711296] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 16:49:42.730 PDT [2711296] LOG:  could not send data to client: Broken pipe
2026-05-26 16:49:42.730 PDT [2711296] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 16:49:42.730 PDT [2711295] LOG:  could not send data to client: Broken pipe
2026-05-26 16:49:42.730 PDT [2711295] STATEMENT:  SELECT pg_sleep(0.30)
2026-05-26 16:49:42.730 PDT [2711295] FATAL:  connection to client lost
2026-05-26 16:49:42.730 PDT [2711296] FATAL:  connection to client lost
2026-05-26 16:49:42.835 PDT [2711244] LOG:  received fast shutdown request
2026-05-26 16:49:42.838 PDT [2711244] LOG:  aborting any active transactions
2026-05-26 16:49:42.839 PDT [2711244] LOG:  background worker "logical replication launcher" (PID 2711253) exited with exit code 1
2026-05-26 16:49:42.839 PDT [2711248] LOG:  shutting down
2026-05-26 16:49:42.841 PDT [2711248] LOG:  checkpoint starting: shutdown immediate
2026-05-26 16:49:42.854 PDT [2711248] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.002 s, total=0.016 s; sync files=2, longest=0.001 s, average=0.001 s; distance=0 kB, estimate=0 kB; lsn=0/1754600, redo lsn=0/1754600
2026-05-26 16:49:42.861 PDT [2711244] LOG:  database system is shut down
