Filename                                                              Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
am/common/cost.rs                                                         200               200     0.00%          20                20     0.00%         208               208     0.00%           0                 0         -
am/common/explain.rs                                                      302               302     0.00%          38                38     0.00%         305               305     0.00%           0                 0         -
am/common/parallel.rs                                                     465               465     0.00%          36                36     0.00%         399               399     0.00%           0                 0         -
am/common/stats.rs                                                        124               124     0.00%          27                27     0.00%         114               114     0.00%           0                 0         -
am/common/stream.rs                                                       151               151     0.00%          22                22     0.00%         156               156     0.00%           0                 0         -
am/common/training.rs                                                     568               568     0.00%          31                31     0.00%         379               379     0.00%           0                 0         -
am/ec_diskann/ambuild.rs                                                  848               848     0.00%          45                45     0.00%         561               561     0.00%           0                 0         -
am/ec_diskann/build.rs                                                    100               100     0.00%           4                 4     0.00%          99                99     0.00%           0                 0         -
am/ec_diskann/cost.rs                                                      73                73     0.00%           4                 4     0.00%          61                61     0.00%           0                 0         -
am/ec_diskann/diagnostics.rs                                              278               278     0.00%          10                10     0.00%         157               157     0.00%           0                 0         -
am/ec_diskann/insert.rs                                                  1685              1685     0.00%          72                72     0.00%        1298              1298     0.00%           0                 0         -
am/ec_diskann/mod.rs                                                      110               110     0.00%          10                10     0.00%          94                94     0.00%           0                 0         -
am/ec_diskann/options.rs                                                  176               176     0.00%          14                14     0.00%         164               164     0.00%           0                 0         -
am/ec_diskann/page.rs                                                     125               125     0.00%           3                 3     0.00%          91                91     0.00%           0                 0         -
am/ec_diskann/persist.rs                                                  222               222     0.00%           7                 7     0.00%         166               166     0.00%           0                 0         -
am/ec_diskann/reader.rs                                                   245               245     0.00%          28                28     0.00%         179               179     0.00%           0                 0         -
am/ec_diskann/routine.rs                                                 1870              1870     0.00%         112               112     0.00%        1518              1518     0.00%           0                 0         -
am/ec_diskann/scan.rs                                                     330               330     0.00%          26                26     0.00%         280               280     0.00%           0                 0         -
am/ec_diskann/scan_query.rs                                               120               120     0.00%           7                 7     0.00%          91                91     0.00%           0                 0         -
am/ec_diskann/scan_state.rs                                               272               272     0.00%          24                24     0.00%         232               232     0.00%           0                 0         -
am/ec_diskann/tuple.rs                                                    242               242     0.00%          11                11     0.00%         209               209     0.00%           0                 0         -
am/ec_diskann/vacuum.rs                                                    55                55     0.00%           4                 4     0.00%          43                43     0.00%           0                 0         -
am/ec_diskann/vamana.rs                                                   616               536    12.99%          30                22    26.67%         447               372    16.78%           0                 0         -
am/ec_hnsw/build.rs                                                      2286              2286     0.00%         132               132     0.00%        1772              1772     0.00%           0                 0         -
am/ec_hnsw/build_parallel.rs                                             2612              2612     0.00%         155               155     0.00%        2117              2117     0.00%           0                 0         -
am/ec_hnsw/graph.rs                                                      1267              1267     0.00%         115               115     0.00%        1311              1311     0.00%           0                 0         -
am/ec_hnsw/insert.rs                                                     2546              2546     0.00%         135               135     0.00%        2028              2028     0.00%           0                 0         -
am/ec_hnsw/mod.rs                                                          19                19     0.00%           5                 5     0.00%          23                23     0.00%           0                 0         -
am/ec_hnsw/options.rs                                                     180               180     0.00%          13                13     0.00%         166               166     0.00%           0                 0         -
am/ec_hnsw/page.rs                                                       1320              1320     0.00%         116               116     0.00%         941               941     0.00%           0                 0         -
am/ec_hnsw/routine.rs                                                      65                65     0.00%           4                 4     0.00%          70                70     0.00%           0                 0         -
am/ec_hnsw/scan.rs                                                       4074              4074     0.00%         330               330     0.00%        3302              3302     0.00%           0                 0         -
am/ec_hnsw/search.rs                                                      423               423     0.00%          56                56     0.00%         417               417     0.00%           0                 0         -
am/ec_hnsw/shared.rs                                                      637               637     0.00%          33                33     0.00%         483               483     0.00%           0                 0         -
am/ec_hnsw/source.rs                                                      688               688     0.00%          35                35     0.00%         458               458     0.00%           0                 0         -
am/ec_hnsw/vacuum.rs                                                     1850              1850     0.00%         106               106     0.00%        1486              1486     0.00%           0                 0         -
am/ec_ivf/admin.rs                                                        206               206     0.00%          12                12     0.00%         168               168     0.00%           0                 0         -
am/ec_ivf/build.rs                                                        946               946     0.00%          64                64     0.00%         654               654     0.00%           0                 0         -
