^Dcoverage ok: quant/codebook.rs actual=98.15 baseline=98.15
coverage ok: quant/grouped_pq.rs actual=94.72 baseline=94.72
coverage ok: quant/hadamard.rs actual=92.70 baseline=92.70
coverage ok: quant/mod.rs actual=0.00 baseline=0.00
coverage ok: quant/mse.rs actual=100.00 baseline=100.00
coverage ok: quant/prod.rs actual=93.02 baseline=93.02
coverage ok: quant/qjl.rs actual=100.00 baseline=100.00
coverage ok: quant/rabitq.rs actual=81.43 baseline=81.43
coverage ok: quant/rotation.rs actual=98.53 baseline=98.53
coverage ok: quant/simd.rs actual=95.18 baseline=94.59
coverage ok: storage/page.rs actual=97.90 baseline=97.90
coverage ok: storage/buffer_guard.rs actual=0.00 baseline=0.00
coverage ok: storage/lock_guard.rs actual=0.00 baseline=0.00
coverage ok: storage/relation_guard.rs actual=0.00 baseline=0.00
coverage ok: storage/scan_guard.rs actual=0.00 baseline=0.00
coverage ok: storage/slot_guard.rs actual=0.00 baseline=0.00
coverage ok: storage/snapshot_guard.rs actual=0.00 baseline=0.00
coverage ok: storage/spi_guard.rs actual=0.00 baseline=0.00
coverage ok: am/ec_diskann/page.rs actual=0.00 baseline=0.00
coverage ok: am/ec_hnsw/page.rs actual=0.00 baseline=0.00
coverage ok: am/ec_ivf/page.rs actual=0.00 baseline=0.00
coverage ok: am/ec_spire/page.rs actual=0.00 baseline=0.00
coverage ok: am/ec_spire/storage/assignment.rs actual=0.00 baseline=0.00
coverage ok: am/ec_spire/storage/header.rs actual=0.00 baseline=0.00
coverage ok: am/ec_spire/storage/helpers.rs actual=0.00 baseline=0.00
coverage ok: am/ec_spire/storage/leaf_v1.rs actual=0.00 baseline=0.00
coverage ok: am/ec_spire/storage/leaf_v2.rs actual=0.00 baseline=0.00
coverage ok: am/ec_spire/storage/leaf_v2_parts.rs actual=0.00 baseline=0.00
coverage ok: am/ec_spire/storage/local_store.rs actual=0.00 baseline=0.00
coverage ok: am/ec_spire/storage/local_store_set.rs actual=0.00 baseline=0.00
coverage ok: am/ec_spire/storage/relation_plan.rs actual=0.00 baseline=0.00
coverage ok: am/ec_spire/storage/relation_store.rs actual=0.00 baseline=0.00
coverage ok: am/ec_spire/storage/routing_delta.rs actual=0.00 baseline=0.00
coverage ok: am/ec_spire/storage/top_graph.rs actual=0.00 baseline=0.00
coverage ok: am/ec_spire/storage/vec_id.rs actual=0.00 baseline=0.00
coverage ok: am/ec_spire/coordinator/diagnostics.rs actual=0.00 baseline=0.00
coverage ok: am/ec_diskann/build.rs actual=0.00 baseline=0.00
coverage ok: am/ec_diskann/routine.rs actual=0.00 baseline=0.00
coverage ok: am/ec_diskann/scan.rs actual=0.00 baseline=0.00
coverage ok: am/common/cost.rs actual=0.00 baseline=0.00
