Filename                                                                                                 Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
am/common/cost.rs                                                                       282                 3    98.94%          25                 0   100.00%          294                 3    98.98%           0                 0         -
am/common/detoast.rs                                                                     51                51     0.00%           7                 7     0.00%           35                35     0.00%           0                 0         -
am/common/explain.rs                                                                    302               302     0.00%          38                38     0.00%          305               305     0.00%           0                 0         -
am/common/parallel.rs                                                                   346               346     0.00%          34                34     0.00%          317               317     0.00%           0                 0         -
am/common/parallel_slot.rs                                                              161               161     0.00%          11                11     0.00%          137               137     0.00%           0                 0         -
am/common/stats.rs                                                                      124               124     0.00%          27                27     0.00%          114               114     0.00%           0                 0         -
am/common/stream.rs                                                                     151               151     0.00%          22                22     0.00%          156               156     0.00%           0                 0         -
am/common/training.rs                                                                   628               353    43.79%          37                21    43.24%          411               252    38.69%           0                 0         -
am/ec_diskann/ambuild.rs                                                                824               824     0.00%          46                46     0.00%          546               546     0.00%           0                 0         -
am/ec_diskann/build.rs                                                                  435                 6    98.62%          22                 0   100.00%          272                 9    96.69%           0                 0         -
am/ec_diskann/cost.rs                                                                   136               136     0.00%           6                 6     0.00%          121               121     0.00%           0                 0         -
am/ec_diskann/diagnostics.rs                                                            278               278     0.00%          10                10     0.00%          157               157     0.00%           0                 0         -
am/ec_diskann/insert.rs                                                                1685              1685     0.00%          76                76     0.00%         1324              1324     0.00%           0                 0         -
am/ec_diskann/mod.rs                                                                    110               110     0.00%          10                10     0.00%           94                94     0.00%           0                 0         -
am/ec_diskann/options.rs                                                                176               176     0.00%          14                14     0.00%          164               164     0.00%           0                 0         -
am/ec_diskann/page.rs                                                                   229                 4    98.25%          11                 0   100.00%          154                 4    97.40%           0                 0         -
am/ec_diskann/persist.rs                                                                745                19    97.45%          30                 4    86.67%          414                13    96.86%           0                 0         -
am/ec_diskann/reader.rs                                                                1266                28    97.79%          79                 5    93.67%          704                15    97.87%           0                 0         -
am/ec_diskann/routine.rs                                                               1897              1897     0.00%         116               116     0.00%         1544              1544     0.00%           0                 0         -
am/ec_diskann/scan.rs                                                                  1369                26    98.10%          89                 1    98.88%          884                27    96.95%           0                 0         -
am/ec_diskann/scan_query.rs                                                             120               120     0.00%           7                 7     0.00%           91                91     0.00%           0                 0         -
am/ec_diskann/scan_state.rs                                                             291               291     0.00%          25                25     0.00%          249               249     0.00%           0                 0         -
am/ec_diskann/tuple.rs                                                                  588                13    97.79%          31                 2    93.55%          382                13    96.60%           0                 0         -
am/ec_diskann/vacuum.rs                                                                 321                 7    97.82%          19                 1    94.74%          181                 6    96.69%           0                 0         -
am/ec_diskann/vamana.rs                                                                1055                18    98.29%          57                 2    96.49%          676                12    98.22%           0                 0         -
am/ec_hnsw/build.rs                                                                    2274              2274     0.00%         133               133     0.00%         1767              1767     0.00%           0                 0         -
am/ec_hnsw/build_parallel.rs                                                           2703              2703     0.00%         172               172     0.00%         2190              2190     0.00%           0                 0         -
am/ec_hnsw/concurrent_dsm_state.rs                                                       38                38     0.00%           4                 4     0.00%           42                42     0.00%           0                 0         -
am/ec_hnsw/graph.rs                                                                    1262              1262     0.00%         116               116     0.00%         1312              1312     0.00%           0                 0         -
am/ec_hnsw/insert.rs                                                                   2511              2511     0.00%         145               145     0.00%         2050              2050     0.00%           0                 0         -
am/ec_hnsw/mod.rs                                                                        19                19     0.00%           5                 5     0.00%           23                23     0.00%           0                 0         -
am/ec_hnsw/options.rs                                                                   180               180     0.00%          13                13     0.00%          166               166     0.00%           0                 0         -
am/ec_hnsw/page.rs                                                                     2757                83    96.99%         163                 6    96.32%         1925                48    97.51%           0                 0         -
am/ec_hnsw/routine.rs                                                                    65                65     0.00%           4                 4     0.00%           70                70     0.00%           0                 0         -
am/ec_hnsw/scan.rs                                                                     4060              4060     0.00%         346               346     0.00%         3321              3321     0.00%           0                 0         -
am/ec_hnsw/search.rs                                                                   1337                57    95.74%         116                 9    92.24%         1069                35    96.73%           0                 0         -
am/ec_hnsw/shared.rs                                                                    662               662     0.00%          39                39     0.00%          530               530     0.00%           0                 0         -
am/ec_hnsw/source.rs                                                                    675               675     0.00%          37                37     0.00%          449               449     0.00%           0                 0         -
am/ec_hnsw/vacuum.rs                                                                   1801              1801     0.00%         123               123     0.00%         1499              1499     0.00%           0                 0         -
am/ec_ivf/admin.rs                                                                      206               206     0.00%          12                12     0.00%          168               168     0.00%           0                 0         -
am/ec_ivf/build.rs                                                                      928               928     0.00%          65                65     0.00%          645               645     0.00%           0                 0         -
am/ec_ivf/cost.rs                                                                       304               304     0.00%          20                20     0.00%          253               253     0.00%           0                 0         -
am/ec_ivf/insert.rs                                                                     431               431     0.00%          38                38     0.00%          377               377     0.00%           0                 0         -
am/ec_ivf/mod.rs                                                                          5                 5     0.00%           2                 2     0.00%            5                 5     0.00%           0                 0         -
am/ec_ivf/options.rs                                                                    298               298     0.00%          22                22     0.00%          257               257     0.00%           0                 0         -
am/ec_ivf/page.rs                                                                      1328                55    95.86%          98                 7    92.86%          999                45    95.50%           0                 0         -
am/ec_ivf/quantizer.rs                                                                  378               378     0.00%          20                20     0.00%          326               326     0.00%           0                 0         -
am/ec_ivf/routine.rs                                                                     62                62     0.00%           4                 4     0.00%           65                65     0.00%           0                 0         -
am/ec_ivf/scan.rs                                                                      1449              1449     0.00%         115               115     0.00%         1102              1102     0.00%           0                 0         -
am/ec_ivf/training.rs                                                                    32                32     0.00%           5                 5     0.00%           34                34     0.00%           0                 0         -
am/ec_ivf/vacuum.rs                                                                     270               270     0.00%          27                27     0.00%          228               228     0.00%           0                 0         -
am/ec_spire/assign/mod.rs                                                               338               338     0.00%          39                39     0.00%          325               325     0.00%           0                 0         -
am/ec_spire/build/drafts.rs                                                             660               660     0.00%          25                25     0.00%          482               482     0.00%           0                 0         -
am/ec_spire/build/object_store.rs                                                        84                84     0.00%          12                12     0.00%           96                96     0.00%           0                 0         -
am/ec_spire/build/publish.rs                                                            423               423     0.00%          38                38     0.00%          386               386     0.00%           0                 0         -
am/ec_spire/build/recursive.rs                                                         1150              1150     0.00%          68                68     0.00%          979               979     0.00%           0                 0         -
