^DFound 456 mutants to test
ok       Unmutated baseline in 1s build + 1s test
 INFO Auto-set test timeout to 20s
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:363:9: replace RaBitQQuantizer::dimensions -> usize with 0 in 1s build + 2s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:363:9: replace RaBitQQuantizer::dimensions -> usize with 1 in 1s build + 2s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:367:9: replace RaBitQQuantizer::bits_per_dim -> u8 with 0 in 1s build + 2s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:367:9: replace RaBitQQuantizer::bits_per_dim -> u8 with 1 in 1s build + 2s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:409:32: replace > with >= in <impl crate::quant::Quantizer for RaBitQQuantizer>::encode_code in 1s build + 2s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:409:44: replace / with % in <impl crate::quant::Quantizer for RaBitQQuantizer>::encode_code in 1s build + 2s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:419:28: replace << with >> in <impl crate::quant::Quantizer for RaBitQQuantizer>::encode_code in 1s build + 2s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:422:61: replace * with + in <impl crate::quant::Quantizer for RaBitQQuantizer>::encode_code in 1s build + 2s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:425:40: replace * with / in <impl crate::quant::Quantizer for RaBitQQuantizer>::encode_code in 1s build + 2s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:430:30: replace > with >= in <impl crate::quant::Quantizer for RaBitQQuantizer>::encode_code in 1s build + 2s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:469:9: replace <impl crate::quant::Quantizer for RaBitQQuantizer>::wire_format_version -> u32 with 1 in 1s build + 2s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:590:50: replace * with / in RaBitQQuantizer::encode_code_centered in 1s build + 2s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:593:41: replace > with >= in RaBitQQuantizer::encode_code_centered in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:671:9: replace CenterContext::raw -> &[f32] with Vec::leak(Vec::new()) in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:671:9: replace CenterContext::raw -> &[f32] with Vec::leak(vec![0.0]) in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:671:9: replace CenterContext::raw -> &[f32] with Vec::leak(vec![1.0]) in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:671:9: replace CenterContext::raw -> &[f32] with Vec::leak(vec![-1.0]) in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:733:49: replace * with / in CenteredScorer::score_at in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:758:13: replace || with && in CenteredScorer::score_at in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:757:13: replace || with && in CenteredScorer::score_at in 1s build + 3s test
