^DFound 456 mutants to test
ok       Unmutated baseline in 0s build + 2s test
 INFO Auto-set test timeout to 20s
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:409:32: replace > with >= in <impl crate::quant::Quantizer for RaBitQQuantizer>::encode_code in 9s build + 15s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:409:44: replace / with % in <impl crate::quant::Quantizer for RaBitQQuantizer>::encode_code in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:419:28: replace << with >> in <impl crate::quant::Quantizer for RaBitQQuantizer>::encode_code in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:422:61: replace * with + in <impl crate::quant::Quantizer for RaBitQQuantizer>::encode_code in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:425:40: replace * with / in <impl crate::quant::Quantizer for RaBitQQuantizer>::encode_code in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:430:30: replace > with >= in <impl crate::quant::Quantizer for RaBitQQuantizer>::encode_code in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:590:50: replace * with / in RaBitQQuantizer::encode_code_centered in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:593:41: replace > with >= in RaBitQQuantizer::encode_code_centered in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:733:49: replace * with / in CenteredScorer::score_at in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:755:24: replace < with <= in CenteredScorer::score_at in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:757:35: replace < with == in CenteredScorer::score_at in 2s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:757:35: replace < with <= in CenteredScorer::score_at in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:772:54: replace / with % in CenteredScorer::score_at in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:772:54: replace / with * in CenteredScorer::score_at in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:772:80: replace * with + in CenteredScorer::score_at in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:772:80: replace * with / in CenteredScorer::score_at in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:998:38: replace * with + in quantize_level in 2s build + 5s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1056:23: replace / with % in read_level in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1135:9: replace || with && in estimate_ip_impl in 2s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1134:9: replace || with && in estimate_ip_impl in 2s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1133:9: replace || with && in estimate_ip_impl in 1s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1132:30: replace < with == in estimate_ip_impl in 2s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1132:30: replace < with <= in estimate_ip_impl in 2s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1155:50: replace / with % in estimate_ip_impl in 2s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1155:50: replace / with * in estimate_ip_impl in 2s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1155:71: replace * with + in estimate_ip_impl in 2s build + 4s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1155:71: replace * with / in estimate_ip_impl in 2s build + 4s test
456 mutants tested in 44m: 27 missed, 408 caught, 21 unviable
