backend=avx512f+vpopcntdq+bw+bf16
dim=1536
candidates=1000
iterations=1000
variant	mode	bits	clip	iterations	scores	total_ns	ns_per_score	checksum
bits1	single-dispatch	1	2.0	1000	1000	124835	124.83	2.677600
bits1	single-scalar	1	2.0	1000	1000	127695	127.69	2.677600
bits1	batch	1	2.0	1000	1000000	81672801	81.67	-81.672661
bits4	single-dispatch	4	2.0	1000	1000	404279	404.28	2.495209
bits4	single-scalar	4	2.0	1000	1000	395302	395.30	2.495209
bits4	batch	4	2.0	1000	1000000	393131888	393.13	-61.663654
bits8	single-dispatch	8	2.0	1000	1000	145895	145.90	2.462769
bits8	single-scalar	8	2.0	1000	1000	131090	131.09	2.462769
bits8	batch	8	2.0	1000	1000000	69497335	69.50	-60.397095
bits8c3	single-dispatch	8	3.0	1000	1000	141293	141.29	2.474319
bits8c3	single-scalar	8	3.0	1000	1000	129682	129.68	2.474319
bits8c3	batch	8	3.0	1000	1000000	69392604	69.39	-54.729404
bits8c4	single-dispatch	8	4.0	1000	1000	158162	158.16	2.472688
bits8c4	single-scalar	8	4.0	1000	1000	154849	154.85	2.472688
bits8c4	batch	8	4.0	1000	1000000	69554831	69.55	-54.846825
