backend=scalar
dim=1536
candidates=1000
iterations=1000
variant	mode	bits	clip	iterations	scores	total_ns	ns_per_score	checksum
bits1	single-dispatch	1	2.0	1000	1000	469952	469.95	2.677587
bits1	single-scalar	1	2.0	1000	1000	473285	473.29	2.677587
bits1	batch	1	2.0	1000	1000000	456830623	456.83	-81.672661
bits4	single-dispatch	4	2.0	1000	1000	3589916	3589.92	2.495197
bits4	single-scalar	4	2.0	1000	1000	3429570	3429.57	2.495197
bits4	batch	4	2.0	1000	1000000	3547625885	3547.63	-61.663651
bits8	single-dispatch	8	2.0	1000	1000	827943	827.94	2.462746
bits8	single-scalar	8	2.0	1000	1000	812735	812.74	2.462746
bits8	batch	8	2.0	1000	1000000	817250948	817.25	-60.397099
bits8c3	single-dispatch	8	3.0	1000	1000	811836	811.84	2.474327
bits8c3	single-scalar	8	3.0	1000	1000	809421	809.42	2.474327
bits8c3	batch	8	3.0	1000	1000000	819064027	819.06	-54.729393
bits8c4	single-dispatch	8	4.0	1000	1000	889273	889.27	2.472701
bits8c4	single-scalar	8	4.0	1000	1000	842595	842.60	2.472701
bits8c4	batch	8	4.0	1000	1000000	818388747	818.39	-54.846828
