backend=avx512f+vpopcntdq+bw+bf16
dim=1536
candidates=1000
iterations=1000
variant	mode	bits	clip	iterations	scores	total_ns	ns_per_score	checksum
bits1	single-dispatch	1	2.0	1000	1000	134192	134.19	2.677600
bits1	single-scalar	1	2.0	1000	1000	100074	100.07	2.677600
bits1	batch	1	2.0	1000	1000000	81712631	81.71	-81.672661
bits4	single-dispatch	4	2.0	1000	1000	403561	403.56	2.495209
bits4	single-scalar	4	2.0	1000	1000	394043	394.04	2.495209
bits4	batch	4	2.0	1000	1000000	393003652	393.00	-61.663654
bits8	single-dispatch	8	2.0	1000	1000	142447	142.45	2.462769
bits8	single-scalar	8	2.0	1000	1000	127197	127.20	2.462769
bits8ls	single-least-squares	8	2.0	1000	1000	120740	120.74	2.446484
bits8	batch	8	2.0	1000	1000000	68319902	68.32	-60.397095
bits8c3	single-dispatch	8	3.0	1000	1000	135496	135.50	2.474319
bits8c3	single-scalar	8	3.0	1000	1000	126958	126.96	2.474319
bits8c3	batch	8	3.0	1000	1000000	70247910	70.25	-54.729404
bits8c4	single-dispatch	8	4.0	1000	1000	131472	131.47	2.472688
bits8c4	single-scalar	8	4.0	1000	1000	126841	126.84	2.472688
bits8c4	batch	8	4.0	1000	1000000	70132420	70.13	-54.846825
