backend=avx2+fma
dim=256
candidates=16
iterations=10
variant	mode	bits	clip	iterations	scores	total_ns	ns_per_score	checksum
bits1	single-dispatch	1	2.0	10	10	17823	1782.30	3.747468
bits1	single-scalar	1	2.0	10	10	17716	1771.60	3.747468
bits1	batch	1	2.0	10	160	224221	1401.38	-0.433242
bits4	single-dispatch	4	2.0	10	10	23799	2379.90	3.765099
bits4	single-scalar	4	2.0	10	10	23799	2379.90	3.765099
bits4	batch	4	2.0	10	160	328808	2055.05	0.221699
bits8	single-dispatch	8	2.0	10	10	23905	2390.50	3.763798
bits8	single-scalar	8	2.0	10	10	23586	2358.60	3.763798
bits8ls	single-least-squares	8	2.0	10	10	24119	2411.90	3.753853
bits8	batch	8	2.0	10	160	285052	1781.58	0.278008
bits8c3	single-dispatch	8	3.0	10	10	23799	2379.90	3.716264
bits8c3	single-scalar	8	3.0	10	10	23692	2369.20	3.716264
bits8c3	batch	8	3.0	10	160	271925	1699.53	0.212796
bits8c4	single-dispatch	8	4.0	10	10	23906	2390.60	3.711038
bits8c4	single-scalar	8	4.0	10	10	23693	2369.30	3.711038
bits8c4	batch	8	4.0	10	160	282491	1765.57	0.203587
