backend=scalar
dim=1536
candidates=1000
iterations=1000
variant	mode	bits	clip	iterations	scores	total_ns	ns_per_score	checksum
bits1	single-dispatch	1	2.0	1000	1000	449235	449.24	2.677587
bits1	single-scalar	1	2.0	1000	1000	466280	466.28	2.677587
bits1	batch	1	2.0	1000	1000000	461735177	461.74	-81.672661
bits4	single-dispatch	4	2.0	1000	1000	3522706	3522.71	2.495197
bits4	single-scalar	4	2.0	1000	1000	3435248	3435.25	2.495197
bits4	batch	4	2.0	1000	1000000	3546692293	3546.69	-61.663651
bits8	single-dispatch	8	2.0	1000	1000	890636	890.64	2.462746
bits8	single-scalar	8	2.0	1000	1000	808860	808.86	2.462746
bits8ls	single-least-squares	8	2.0	1000	1000	807715	807.72	2.446483
bits8	batch	8	2.0	1000	1000000	819561817	819.56	-60.397099
bits8c3	single-dispatch	8	3.0	1000	1000	818141	818.14	2.474327
bits8c3	single-scalar	8	3.0	1000	1000	897539	897.54	2.474327
bits8c3	batch	8	3.0	1000	1000000	819551072	819.55	-54.729393
bits8c4	single-dispatch	8	4.0	1000	1000	830110	830.11	2.472701
bits8c4	single-scalar	8	4.0	1000	1000	808555	808.55	2.472701
bits8c4	batch	8	4.0	1000	1000000	819424325	819.42	-54.846828
