# Suite Report: task78-rabitq-current-cutoff

- config: `reviews/task-78/002-rabitq-suite-evidence/suite-rabitq-current.json`
- config_sha256: `cbe81eabe055bfc33644cda51585c0abbc4a1db447f72508624b2494a033fa19`
- dry_run: `false`
- steps: completed 9, failed 0, skipped 0, dry-run 0, missing artifacts 0, stale 0

| Step | Kind | Status | Duration ms | Artifacts |
| --- | --- | --- | ---: | --- |
| drop-task78-current-database | raw | Succeeded | 22 | `/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/current/drop-database.log` |
| create-task78-current-database | raw | Succeeded | 110 | `/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/current/create-database.log` |
| precheck-current-host-and-extension | raw | Succeeded | 246 | `/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/current/precheck-host-and-extension.log` |
| load-100k-rabitq-tg64-b0 | load | Succeeded | 306634 | `/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/current/load-100k-rabitq-tg64-b0.log` |
| pipeline-100k-rabitq-tg64-b0 | spire-pipeline | Succeeded | 126605 | `/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/current/pipeline-100k-rabitq-tg64-b0.log`<br>`/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/current/funnel-100k-rabitq-tg64-b0.jsonl` |
| rebuild-100k-rabitq-tg96-b0 | raw | Succeeded | 9295 | `/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/current/rebuild-100k-rabitq-tg96-b0.log` |
| pipeline-100k-rabitq-tg96-b0 | spire-pipeline | Succeeded | 148850 | `/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/current/pipeline-100k-rabitq-tg96-b0.log`<br>`/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/current/funnel-100k-rabitq-tg96-b0.jsonl` |
| rebuild-100k-rabitq-tg128-b0 | raw | Succeeded | 9178 | `/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/current/rebuild-100k-rabitq-tg128-b0.log` |
| pipeline-100k-rabitq-tg128-b0 | spire-pipeline | Succeeded | 165201 | `/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/current/pipeline-100k-rabitq-tg128-b0.log`<br>`/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/current/funnel-100k-rabitq-tg128-b0.jsonl` |

## Parsed Results

| Step | Kind | Metric | Values |
| --- | --- | --- | --- |
| load-100k-rabitq-tg64-b0 | load | load_timing | `phase=copy_corpus`, `prefix=task78_rabitq_current_100k`, `profile=ec_spire`, `seconds=94.770000`, `storage_format=rabitq`, `subject=task78_rabitq_current_100k_corpus`, `suite_database=task78_spire_rabitq_current`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-100k-rabitq-tg64-b0 | load | load_timing | `phase=encode_corpus`, `prefix=task78_rabitq_current_100k`, `profile=ec_spire`, `seconds=32.720000`, `storage_format=rabitq`, `subject=task78_rabitq_current_100k_corpus`, `suite_database=task78_spire_rabitq_current`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-100k-rabitq-tg64-b0 | load | load_timing | `phase=copy_queries`, `prefix=task78_rabitq_current_100k`, `profile=ec_spire`, `seconds=1.020000`, `storage_format=rabitq`, `subject=task78_rabitq_current_100k_queries`, `suite_database=task78_spire_rabitq_current`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-100k-rabitq-tg64-b0 | load | load_timing | `phase=build_index`, `prefix=task78_rabitq_current_100k`, `profile=ec_spire`, `seconds=9.360000`, `storage_format=rabitq`, `subject=task78_rabitq_current_100k_idx`, `suite_database=task78_spire_rabitq_current`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-100k-rabitq-tg64-b0 | load | load_timing | `phase=total`, `prefix=task78_rabitq_current_100k`, `profile=ec_spire`, `seconds=306.620000`, `storage_format=rabitq`, `subject=task78_rabitq_current_100k`, `suite_database=task78_spire_rabitq_current`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| pipeline-100k-rabitq-tg64-b0 | spire-pipeline | spire-pipeline | `field=tuple_transport_capabilities`, `prefix=task78_rabitq_current_100k`, `storage_format=rabitq`, `suite_database=task78_spire_rabitq_current`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=pg_binary_attr_v1` |
| pipeline-100k-rabitq-tg64-b0 | spire-pipeline | spire-pipeline | `field=tuple_transport_default`, `prefix=task78_rabitq_current_100k`, `storage_format=rabitq`, `suite_database=task78_spire_rabitq_current`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=pg_binary_attr_v1` |
| pipeline-100k-rabitq-tg64-b0 | spire-pipeline | spire-pipeline | `field=tuple_transport_status`, `prefix=task78_rabitq_current_100k`, `storage_format=rabitq`, `suite_database=task78_spire_rabitq_current`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=ready` |
| pipeline-100k-rabitq-tg64-b0 | spire-pipeline | spire-pipeline | `field=pg_binary_attr_v1_ready`, `prefix=task78_rabitq_current_100k`, `storage_format=rabitq`, `suite_database=task78_spire_rabitq_current`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=true` |
