# Suite Report: task78-turboquant-current-comparison

- config: `reviews/task-78/002-rabitq-suite-evidence/suite-turboquant-current.json`
- config_sha256: `44042e8da3842ef44ddc36c2c1a1f088de9d614fd0fd3ed706785c8a878c2843`
- dry_run: `false`
- steps: completed 9, failed 0, skipped 0, dry-run 0, missing artifacts 0, stale 0

| Step | Kind | Status | Duration ms | Artifacts |
| --- | --- | --- | ---: | --- |
| drop-task78-turboquant-database | raw | Succeeded | 16 | `/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/turboquant-current/drop-database.log` |
| create-task78-turboquant-database | raw | Succeeded | 75 | `/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/turboquant-current/create-database.log` |
| precheck-turboquant-host-and-extension | raw | Succeeded | 205 | `/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/turboquant-current/precheck-host-and-extension.log` |
| load-100k-turboquant-tg64-b0 | load | Succeeded | 280001 | `/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/turboquant-current/load-100k-turboquant-tg64-b0.log` |
| pipeline-100k-turboquant-tg64-b0 | spire-pipeline | Succeeded | 168475 | `/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/turboquant-current/pipeline-100k-turboquant-tg64-b0.log`<br>`/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/turboquant-current/funnel-100k-turboquant-tg64-b0.jsonl` |
| rebuild-100k-turboquant-tg96-b0 | raw | Succeeded | 8371 | `/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/turboquant-current/rebuild-100k-turboquant-tg96-b0.log` |
| pipeline-100k-turboquant-tg96-b0 | spire-pipeline | Succeeded | 213861 | `/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/turboquant-current/pipeline-100k-turboquant-tg96-b0.log`<br>`/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/turboquant-current/funnel-100k-turboquant-tg96-b0.jsonl` |
| rebuild-100k-turboquant-tg128-b0 | raw | Succeeded | 8243 | `/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/turboquant-current/rebuild-100k-turboquant-tg128-b0.log` |
| pipeline-100k-turboquant-tg128-b0 | spire-pipeline | Succeeded | 252503 | `/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/turboquant-current/pipeline-100k-turboquant-tg128-b0.log`<br>`/home/peter/dev/ecaz/reviews/task-78/002-rabitq-suite-evidence/artifacts/turboquant-current/funnel-100k-turboquant-tg128-b0.jsonl` |

## Parsed Results

| Step | Kind | Metric | Values |
| --- | --- | --- | --- |
| load-100k-turboquant-tg64-b0 | load | load_timing | `phase=copy_corpus`, `prefix=task78_turboquant_current_100k`, `profile=ec_spire`, `seconds=92.170000`, `storage_format=turboquant`, `subject=task78_turboquant_current_100k_corpus`, `suite_database=task78_spire_turboquant_current`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-100k-turboquant-tg64-b0 | load | load_timing | `phase=encode_corpus`, `prefix=task78_turboquant_current_100k`, `profile=ec_spire`, `seconds=27.150000`, `storage_format=turboquant`, `subject=task78_turboquant_current_100k_corpus`, `suite_database=task78_spire_turboquant_current`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-100k-turboquant-tg64-b0 | load | load_timing | `phase=copy_queries`, `prefix=task78_turboquant_current_100k`, `profile=ec_spire`, `seconds=0.945110`, `storage_format=turboquant`, `subject=task78_turboquant_current_100k_queries`, `suite_database=task78_spire_turboquant_current`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-100k-turboquant-tg64-b0 | load | load_timing | `phase=build_index`, `prefix=task78_turboquant_current_100k`, `profile=ec_spire`, `seconds=8.510000`, `storage_format=turboquant`, `subject=task78_turboquant_current_100k_idx`, `suite_database=task78_spire_turboquant_current`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-100k-turboquant-tg64-b0 | load | load_timing | `phase=total`, `prefix=task78_turboquant_current_100k`, `profile=ec_spire`, `seconds=279.990000`, `storage_format=turboquant`, `subject=task78_turboquant_current_100k`, `suite_database=task78_spire_turboquant_current`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| pipeline-100k-turboquant-tg64-b0 | spire-pipeline | spire-pipeline | `field=tuple_transport_capabilities`, `prefix=task78_turboquant_current_100k`, `storage_format=turboquant`, `suite_database=task78_spire_turboquant_current`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=pg_binary_attr_v1` |
| pipeline-100k-turboquant-tg64-b0 | spire-pipeline | spire-pipeline | `field=tuple_transport_default`, `prefix=task78_turboquant_current_100k`, `storage_format=turboquant`, `suite_database=task78_spire_turboquant_current`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=pg_binary_attr_v1` |
| pipeline-100k-turboquant-tg64-b0 | spire-pipeline | spire-pipeline | `field=tuple_transport_status`, `prefix=task78_turboquant_current_100k`, `storage_format=turboquant`, `suite_database=task78_spire_turboquant_current`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=ready` |
| pipeline-100k-turboquant-tg64-b0 | spire-pipeline | spire-pipeline | `field=pg_binary_attr_v1_ready`, `prefix=task78_turboquant_current_100k`, `storage_format=turboquant`, `suite_database=task78_spire_turboquant_current`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=true` |
