# Suite Report: task79-rabitq-leaf-contrast-calibration

- config: `reviews/task-79/036-rabitq-leaf-contrast-calibration/suite-rabitq-leaf-contrast-calibration.json`
- config_sha256: `77e789670b3efd06704bbd1bba742800ac8d7d2712d67da6b213198d3551d27c`
- dry_run: `false`
- steps: completed 8, failed 0, skipped 0, dry-run 0, missing artifacts 0, stale 0

| Step | Kind | Status | Duration ms | Artifacts |
| --- | --- | --- | ---: | --- |
| precheck-existing-task79-surface | raw | Succeeded | 46 | `reviews/task-79/036-rabitq-leaf-contrast-calibration/artifacts/precheck-existing-task79-surface.log` |
| rebuild-100k-rabitq-n128-f8-b0-tg96-block32-leaf-contrast | raw | Succeeded | 16542 | `reviews/task-79/036-rabitq-leaf-contrast-calibration/artifacts/rebuild-100k-rabitq-n128-f8-b0-tg96-block32-leaf-contrast.log` |
| pipeline-100k-rabitq-leaf-contrast-global640-cw000-rw025 | spire-pipeline | Succeeded | 128449 | `reviews/task-79/036-rabitq-leaf-contrast-calibration/artifacts/pipeline-100k-rabitq-leaf-contrast-global640-cw000-rw025.log`<br>`reviews/task-79/036-rabitq-leaf-contrast-calibration/artifacts/funnel-100k-rabitq-leaf-contrast-global640-cw000-rw025.jsonl` |
| pipeline-100k-rabitq-leaf-contrast-global640-cw025-rw025 | spire-pipeline | Succeeded | 128752 | `reviews/task-79/036-rabitq-leaf-contrast-calibration/artifacts/pipeline-100k-rabitq-leaf-contrast-global640-cw025-rw025.log`<br>`reviews/task-79/036-rabitq-leaf-contrast-calibration/artifacts/funnel-100k-rabitq-leaf-contrast-global640-cw025-rw025.jsonl` |
| pipeline-100k-rabitq-leaf-contrast-global640-cw050-rw025 | spire-pipeline | Succeeded | 127920 | `reviews/task-79/036-rabitq-leaf-contrast-calibration/artifacts/pipeline-100k-rabitq-leaf-contrast-global640-cw050-rw025.log`<br>`reviews/task-79/036-rabitq-leaf-contrast-calibration/artifacts/funnel-100k-rabitq-leaf-contrast-global640-cw050-rw025.jsonl` |
| pipeline-100k-rabitq-leaf-contrast-global640-cw100-rw025 | spire-pipeline | Succeeded | 127848 | `reviews/task-79/036-rabitq-leaf-contrast-calibration/artifacts/pipeline-100k-rabitq-leaf-contrast-global640-cw100-rw025.log`<br>`reviews/task-79/036-rabitq-leaf-contrast-calibration/artifacts/funnel-100k-rabitq-leaf-contrast-global640-cw100-rw025.jsonl` |
| pipeline-100k-rabitq-leaf-contrast-global640-cw200-rw025 | spire-pipeline | Succeeded | 128616 | `reviews/task-79/036-rabitq-leaf-contrast-calibration/artifacts/pipeline-100k-rabitq-leaf-contrast-global640-cw200-rw025.log`<br>`reviews/task-79/036-rabitq-leaf-contrast-calibration/artifacts/funnel-100k-rabitq-leaf-contrast-global640-cw200-rw025.jsonl` |
| pipeline-100k-rabitq-leaf-contrast-global640-cw400-rw025 | spire-pipeline | Succeeded | 128492 | `reviews/task-79/036-rabitq-leaf-contrast-calibration/artifacts/pipeline-100k-rabitq-leaf-contrast-global640-cw400-rw025.log`<br>`reviews/task-79/036-rabitq-leaf-contrast-calibration/artifacts/funnel-100k-rabitq-leaf-contrast-global640-cw400-rw025.jsonl` |

## Parsed Results

| Step | Kind | Metric | Values |
| --- | --- | --- | --- |
| pipeline-100k-rabitq-leaf-contrast-global640-cw000-rw025 | spire-pipeline | spire-pipeline | `field=tuple_transport_capabilities`, `prefix=task79_surface_100k`, `storage_format=rabitq`, `suite_database=task79_spire_candidate_surface`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=pg_binary_attr_v1` |
| pipeline-100k-rabitq-leaf-contrast-global640-cw000-rw025 | spire-pipeline | spire-pipeline | `field=tuple_transport_default`, `prefix=task79_surface_100k`, `storage_format=rabitq`, `suite_database=task79_spire_candidate_surface`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=pg_binary_attr_v1` |
| pipeline-100k-rabitq-leaf-contrast-global640-cw000-rw025 | spire-pipeline | spire-pipeline | `field=tuple_transport_status`, `prefix=task79_surface_100k`, `storage_format=rabitq`, `suite_database=task79_spire_candidate_surface`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=ready` |
| pipeline-100k-rabitq-leaf-contrast-global640-cw000-rw025 | spire-pipeline | spire-pipeline | `field=pg_binary_attr_v1_ready`, `prefix=task79_surface_100k`, `storage_format=rabitq`, `suite_database=task79_spire_candidate_surface`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=true` |
| pipeline-100k-rabitq-leaf-contrast-global640-cw000-rw025 | spire-pipeline | spire-pipeline | `field=status`, `prefix=task79_surface_100k`, `storage_format=rabitq`, `suite_database=task79_spire_candidate_surface`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=ready` |
| pipeline-100k-rabitq-leaf-contrast-global640-cw000-rw025 | spire-pipeline | spire-pipeline | `field=recommendation`, `prefix=task79_surface_100k`, `storage_format=rabitq`, `suite_database=task79_spire_candidate_surface`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=none` |
| pipeline-100k-rabitq-leaf-contrast-global640-cw000-rw025 | spire-pipeline | spire-pipeline | `leaf_dim=0.010000`, `nprobe=96`, `page=1.000000`, `prefix=task79_surface_100k`, `rerank_effective=1.000000`, `rerank_guc=1.350000`, `rerank_width=25`, `routing_dim=0.010000`, `storage=rabitq`, `storage_effective=0.450000`, `storage_format=rabitq`, `storage_guc=1.000000`, `store_fanout=0.050000`, `suite_database=task79_spire_candidate_surface`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| pipeline-100k-rabitq-leaf-contrast-global640-cw000-rw025 | spire-pipeline | spire-pipeline | `adaptive=disabled`, `beam_width=96`, `deduped_route_sum=19200`, `effective_nprobe=96`, `expanded_parent_sum=1600`, `input_frontier_sum=1600`, `level=1`, `max_leaf_routes=96`, `max_routing_expansions=128`, `nprobe=96`, `prefix=task79_surface_100k`, `queries=200`, `selected_child_sum=25600`, `source=session`, `storage_format=rabitq`, `suite_database=task79_spire_candidate_surface`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `truncation=max_leaf_routes` |
| pipeline-100k-rabitq-leaf-contrast-global640-cw000-rw025 | spire-pipeline | spire-pipeline | `adaptive=disabled`, `beam_width=96`, `deduped_route_sum=1600`, `effective_nprobe=96`, `expanded_parent_sum=200`, `input_frontier_sum=200`, `level=2`, `max_leaf_routes=96`, `max_routing_expansions=128`, `nprobe=96`, `prefix=task79_surface_100k`, `queries=200`, `selected_child_sum=1600`, `source=session`, `storage_format=rabitq`, `suite_database=task79_spire_candidate_surface`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `truncation=none` |
