row	global_blocks	route_prior_weight	candidates	candidate_delta_vs_1216	route_sum	selected_pid_sum	object_bytes_sum	latency_p50_ms	latency_p95_ms	production_total_p50_ms	production_total_p95_ms	recall_at_10	returned_sum	interpretation
global1216_rp000	1216	0.00	3877368	0	19200	19200	14967100324	56.145	65.566	51.000	63.000	0.9940	2000	high_recall_control
global1024_rp000	1024	0.00	3265373	-611995	19200	19200	14967100324	51.254	58.828	47.000	55.000	0.9920	2000	cuts_candidates_but_loses_recall
global896_rp000	896	0.00	2857174	-1020194	19200	19200	14967100324	51.176	61.618	47.000	58.000	0.9900	2000	cuts_candidates_but_loses_recall
global768_rp000	768	0.00	2449116	-1428252	19200	19200	14967100324	49.375	60.366	45.000	55.000	0.9865	2000	cuts_candidates_but_loses_recall
global1024_rp002	1024	0.02	3265165	-612203	19200	19200	14967100324	51.782	63.126	47.000	57.000	0.9920	2000	route_prior_does_not_recover_recall
global1024_rp005	1024	0.05	3264990	-612378	19200	19200	14967100324	51.219	58.757	47.000	54.000	0.9920	2000	route_prior_does_not_recover_recall
global1024_rp010	1024	0.10	3264907	-612461	19200	19200	14967100324	50.933	61.204	46.000	53.000	0.9920	2000	route_prior_does_not_recover_recall
global896_rp002	896	0.02	2857174	-1020194	19200	19200	14967100324	50.098	56.725	46.000	51.000	0.9900	2000	route_prior_does_not_recover_recall
global896_rp005	896	0.05	2857058	-1020310	19200	19200	14967100324	50.413	58.340	46.000	53.000	0.9900	2000	route_prior_does_not_recover_recall
global896_rp010	896	0.10	2856882	-1020486	19200	19200	14967100324	50.966	58.777	47.000	54.000	0.9900	2000	route_prior_does_not_recover_recall
global768_rp005	768	0.05	2449011	-1428357	19200	19200	14967100324	48.318	53.177	44.000	50.000	0.9865	2000	lowest_latency_but_recall_too_low
global768_rp010	768	0.10	2448882	-1428486	19200	19200	14967100324	50.142	59.306	45.000	53.000	0.9865	2000	route_prior_does_not_recover_recall
