                 prefix                 | has_corpus | has_queries |         ams          |                                                                                                                                                                                                                                                                                                                                                                    indexes                                                                                                                                                                                                                                                                                                                                                                    
----------------------------------------+------------+-------------+----------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 current_intel_real100k_hnsw            | t          | t           | btree,ec_hnsw        | current_intel_real100k_hnsw_corpus_pkey,current_intel_real100k_hnsw_m16_idx
 ec_hnsw_real_ann_benchmarks_anchor     | t          | t           | btree,ec_hnsw        | ec_hnsw_real_ann_benchmarks_anchor_corpus_pkey,ec_hnsw_real_ann_benchmarks_anchor_m16_w8_idx
 task28_a9_100k_ivf                     | t          | t           | btree,ec_ivf         | task28_a9_100k_ivf_corpus_pkey,task28_a9_100k_ivf_idx
 task28_ivf_anchor10k1536               | t          | t           | btree,ec_ivf         | task28_ivf_anchor10k1536_corpus_pkey,task28_ivf_anchor10k1536_n32_idx
 task28_ivf_postopt10k_n128w25          | t          | t           | btree,ec_hnsw,ec_ivf | task28_ivf_postopt10k_n128w25_corpus_pkey,task28_ivf_postopt10k_n128w25_hnsw_idx,task28_ivf_postopt10k_n128w25_idx
 task28_ivf_postopt10k_n32w25           | t          | t           | btree,ec_ivf         | task28_ivf_postopt10k_n32w25_corpus_pkey,task28_ivf_postopt10k_n32w25_idx
 task28_ivf_postopt10k_n64w25           | t          | t           | btree,ec_ivf         | task28_ivf_postopt10k_n64w25_corpus_pkey,task28_ivf_postopt10k_n64w25_idx
 task28_ivf_postopt25k_n128w25          | t          | t           | btree,ec_ivf         | task28_ivf_postopt25k_n128w25_corpus_pkey,task28_ivf_postopt25k_n128w25_idx
 task28_ivf_postopt25k_n32w25           | t          | t           | btree,ec_ivf         | task28_ivf_postopt25k_n32w25_corpus_pkey,task28_ivf_postopt25k_n32w25_idx
 task28_ivf_postopt25k_n64w25           | t          | t           | btree,ec_ivf         | task28_ivf_postopt25k_n64w25_corpus_pkey,task28_ivf_postopt25k_n64w25_idx
 task28_ivf_pqg100k_g8                  | t          | t           | btree,ec_ivf         | task28_ivf_pqg100k_g8_corpus_pkey,task28_ivf_pqg100k_g8_idx
 task28_ivf_pqg100k_g8_n128             | t          | t           | btree,ec_ivf         | task28_ivf_pqg100k_g8_n128_corpus_pkey,task28_ivf_pqg100k_g8_n128_idx
 task28_ivf_pqg100k_g8_n256             | t          | t           | btree,ec_ivf         | task28_ivf_pqg100k_g8_n256_corpus_pkey,task28_ivf_pqg100k_g8_n256_idx
 task28_ivf_pqg10k_g16                  | t          | t           | btree,ec_ivf         | task28_ivf_pqg10k_g16_corpus_pkey,task28_ivf_pqg10k_g16_idx
 task28_ivf_pqg10k_g32                  | t          | t           | btree,ec_ivf         | task28_ivf_pqg10k_g32_corpus_pkey,task28_ivf_pqg10k_g32_idx
 task28_ivf_pqg10k_g8                   | t          | t           | btree,ec_ivf         | task28_ivf_pqg10k_g8_corpus_pkey,task28_ivf_pqg10k_g8_idx
 task28_ivf_pqg10k_g8_n128              | t          | t           | btree,ec_ivf         | task28_ivf_pqg10k_g8_n128_corpus_pkey,task28_ivf_pqg10k_g8_n128_idx
 task28_ivf_pqg25k_g8                   | t          | t           | btree,ec_ivf         | task28_ivf_pqg25k_g8_corpus_pkey,task28_ivf_pqg25k_g8_idx
 task28_ivf_pqg25k_g8_n128              | t          | t           | btree,ec_ivf         | task28_ivf_pqg25k_g8_n128_corpus_pkey,task28_ivf_pqg25k_g8_n128_idx
 task28_ivf_pqg990k_g8_n128             | t          | t           | btree,ec_ivf         | task28_ivf_pqg990k_g8_n128_corpus_pkey,task28_ivf_pqg990k_g8_n128_idx
 task28_ivf_qcmp10k_pqfastscan          | t          | t           | btree,ec_ivf         | task28_ivf_qcmp10k_pqfastscan_corpus_pkey,task28_ivf_qcmp10k_pqfastscan_idx
 task28_ivf_qcmp10k_rabitq              | t          | t           | btree,ec_ivf         | task28_ivf_qcmp10k_rabitq_corpus_pkey,task28_ivf_qcmp10k_rabitq_idx
 task28_ivf_qcmp10k_turboquant          | t          | t           | btree,ec_ivf         | task28_ivf_qcmp10k_turboquant_corpus_pkey,task28_ivf_qcmp10k_turboquant_idx
 task28_ivf_qcmp25k_rabitq              | t          | t           | btree,ec_ivf         | task28_ivf_qcmp25k_rabitq_corpus_pkey,task28_ivf_qcmp25k_rabitq_idx
 task28_ivf_smoke10k                    | t          | t           | btree,ec_ivf         | task28_ivf_smoke10k_corpus_pkey,task28_ivf_smoke10k_n64_idx
 task28_ivf_tq100k_n64w25               | t          | t           | btree,ec_ivf         | task28_ivf_tq100k_n64w25_corpus_pkey,task28_ivf_tq100k_n64w25_idx
 task30_spire_boundary_off              | t          | t           | btree,ec_spire       | task30_spire_boundary_off_corpus_pkey,task30_spire_boundary_off_turboquant_idx
 task30_spire_boundary_rep1             | t          | t           | btree,ec_spire       | task30_spire_boundary_rep1_corpus_pkey,task30_spire_boundary_rep1_turboquant_idx
 task30_spire_real10k_tq                | t          | t           | btree,ec_spire       | task30_spire_real10k_tq_corpus_pkey,task30_spire_real10k_tq_turboquant_idx
 task30_spire_real10k_tq_2e             | t          | t           | btree,ec_spire       | task30_spire_real10k_tq_2e_corpus_pkey,task30_spire_real10k_tq_2e_turboquant_idx
 task30_spire_real10k_tq_2same          | t          | t           | btree,ec_spire       | task30_spire_real10k_tq_2same_corpus_pkey,task30_spire_real10k_tq_2same_turboquant_idx
 task67_current_shape_real50k_hnsw      | t          | t           | btree,ec_hnsw        | task67_current_shape_real50k_hnsw_corpus_pkey,task67_current_shape_real50k_hnsw_m16_idx
 task67_local_50k_ivfrabitq             | t          | t           | btree,ec_ivf         | task67_local_50k_ivfrabitq_corpus_pkey,task67_local_50k_ivfrabitq_rabitq_idx
 task67_local_fullq_100k_hnsw           | t          | t           | btree,ec_hnsw        | task67_local_fullq_100k_hnsw_corpus_pkey,task67_local_fullq_100k_hnsw_m16_idx,task67_local_fullq_100k_hnsw_m8_idx
 task67_local_fullq_100k_ivfrabitq      | t          | t           | btree,ec_ivf         | task67_local_fullq_100k_ivfrabitq_corpus_pkey,task67_local_fullq_100k_ivfrabitq_rabitq_idx
 task67_local_fullq_50k_hnsw            | t          | t           | btree,ec_hnsw        | task67_local_fullq_50k_hnsw_corpus_pkey,task67_local_fullq_50k_hnsw_m16_idx,task67_local_fullq_50k_hnsw_m8_idx
 task67_local_fullq_50k_ivfrabitq       | t          | t           | btree,ec_ivf         | task67_local_fullq_50k_ivfrabitq_corpus_pkey,task67_local_fullq_50k_ivfrabitq_rabitq_idx
 task74_intel_ivf_control               | t          | t           | btree,ec_ivf         | task74_intel_ivf_control_corpus_pkey,task74_intel_ivf_control_pq_fastscan_idx
 task74_intel_spire_highrecall_tg128_b0 | t          | t           | btree,ec_spire       | task74_intel_spire_highrecall_tg128_b0_corpus_pkey,task74_intel_spire_highrecall_tg128_b0_idx
 task87_synth2k                         | t          | t           | btree,ec_spire       | task87_synth2k_corpus_pkey,task87_synth2k_idx
 tqhnsw_real_50k_reloaded               | t          | t           | btree,ec_hnsw        | tqhnsw_real_50k_reloaded_corpus_pkey,tqhnsw_real_50k_reloaded_m16_idx,tqhnsw_real_50k_reloaded_m16_parallel_dsm_avx_accum_idx,tqhnsw_real_50k_reloaded_m16_parallel_dsm_avx_idx,tqhnsw_real_50k_reloaded_m16_parallel_dsm_backlink_cache_idx,tqhnsw_real_50k_reloaded_m16_parallel_dsm_idx,tqhnsw_real_50k_reloaded_m16_parallel_dsm_scratchbuf_idx,tqhnsw_real_50k_reloaded_m16_parallel_dsm_sweep_w1_idx,tqhnsw_real_50k_reloaded_m16_parallel_dsm_sweep_w2_idx,tqhnsw_real_50k_reloaded_m16_parallel_dsm_sweep_w4_idx,tqhnsw_real_50k_reloaded_m16_parallel_dsm_sweep_w8_idx,tqhnsw_real_50k_reloaded_m16_parallel_dsm_timing_idx,tqhnsw_real_50k_reloaded_m16_parallel_dsm_w8_headroom_idx,tqhnsw_real_50k_reloaded_m16_serial_timing_idx
(41 rows)

